application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10442066,14,2007-05-29,CTEQ,0,,0,
10442066,15,2007-05-30,MCTEQ,1043,PTO,-1,
10442066,16,2007-08-29,XT/G,0,,0,
10442066,17,2007-08-29,A.QU,0,,0,
10442066,19,2007-08-29,LTDR,0,,0,
10442066,18,2007-09-10,FWDX,0,,0,
10442066,21,2007-10-02,N/=.,0,,0,
10442066,22,2007-10-02,DVER,0,,0,
10442066,24,2007-10-04,MN/=.,0,,0,
09350251,44,2002-01-11,WIDS,0,PTO,0,Y
09350251,39,2002-01-11,BRCE,0,PTO,0,Y
09350251,40,2002-01-11,FRCE,0,PTO,0,Y
09350251,42,2002-01-11,RCEX,0,PTO,0,Y
09350251,44.7,2002-01-11,M844,0,PTO,0,Y
09350251,41,2002-01-30,ABN9,0,PTO,0,Y
09350251,43,2002-01-30,FWDX,0,PTO,0,Y
09350251,45,2002-02-05,CTNF,0,PTO,0,Y
09350251,46,2002-02-06,MCTNF,0,PTO,0,Y
09350251,48,2002-03-26,DOCK,0,PTO,0,Y
09350251,49,2002-06-19,XT/G,0,PTO,0,Y
09350251,50,2002-06-19,A...,0,PTO,0,Y
09350251,51,2002-07-17,FWDX,0,PTO,0,Y
09350251,52,2002-09-04,CTRS,0,PTO,0,Y
09350251,53,2002-09-04,MCTRS,0,PTO,0,Y
09350251,54,2002-10-04,WIDS,0,PTO,0,Y
09350251,54.7,2002-10-04,M844,0,PTO,0,Y
09350251,55,2002-10-15,ELC.,0,PTO,0,Y
09350251,55.1,2002-10-15,A.I.,0,PTO,0,Y
09350251,56,2002-10-17,FWDX,0,PTO,0,Y
09350251,57,2002-12-26,NINA,0,PTO,0,Y
09350251,58,2003-02-03,ELC.,0,PTO,0,Y
09350251,59,2003-02-12,FWDX,0,PTO,0,Y
09350251,60,2003-04-15,CTFR,0,PTO,0,Y
09350251,61,2003-04-15,MCTFR,0,PTO,0,Y
09350251,62,2003-06-20,A.NE,0,PTO,0,Y
09350251,63,2003-06-26,FWDX,0,PTO,0,Y
09350251,64,2003-06-30,CTAV,0,PTO,0,Y
09350251,65,2003-07-01,MCTAV,0,PTO,0,Y
09350251,66,2003-07-21,N/AP,0,PTO,0,Y
09350251,67,2003-09-26,AP.B,0,PTO,0,Y
09350251,68,2003-10-03,FWDX,0,PTO,0,Y
09350251,69,2003-11-14,CTNF,0,PTO,0,Y
09350251,70,2003-11-19,MCTNF,0,PTO,0,Y
09350251,71,2004-04-23,WAMD,0,PTO,0,Y
09350251,74,2004-04-23,A...,0,PTO,0,Y
09350251,73,2004-04-23,XT/G,0,PTO,0,Y
09350251,75,2004-05-19,FWDX,0,PTO,0,Y
09350251,76,2004-06-07,CTFR,0,PTO,0,Y
09350251,77,2004-06-10,MCTFR,0,PTO,0,Y
09350251,78,2004-09-14,WAMD,0,PTO,0,Y
09350251,79,2004-09-14,A.NE,0,PTO,0,Y
09350251,80,2004-09-21,FWDX,0,PTO,0,Y
09350251,81,2004-09-21,TSSCOMP,0,PTO,0,Y
09350251,82,2004-09-24,CTAV,0,PTO,0,Y
09350251,83,2004-09-30,MCTAV,0,PTO,0,Y
10885306,1,2004-07-07,IEXX,0,,0,
10885306,19,2004-07-07,A.PE,0,,0,
10885306,20,2004-07-07,WIDS,0,,0,
10885306,20.7,2004-07-07,M844,0,,0,
10885306,21,2004-07-07,RCAP,0,,0,
11675896,1,2007-02-16,IEXX,0,,0,
10885306,24,2004-07-07,IDSC,0,,0,
10885306,2,2004-07-28,SCAN,0,,0,
10885306,4,2004-08-17,L198,0,,0,
10885306,5,2004-08-26,L128,0,,0,
10885306,7,2004-08-31,OIPE,0,,0,
10885306,6,2004-09-01,COMP,0,,0,
10885306,8,2004-09-01,ROIPE,0,,0,
10885306,9,2004-09-01,WROIPE,0,,0,
10885306,10,2004-09-01,ROIPE,0,,0,
10885306,12,2004-09-01,WROIPE,0,,0,
10885306,11,2004-09-02,COMP,0,,0,
10885306,13,2004-09-07,WAMD,0,,0,
10885306,14,2004-09-07,A.PE,0,,0,
10885306,15,2005-07-01,DOCK,0,,0,
10885306,16,2005-07-25,DOCK,0,,0,
10885306,17,2005-08-15,C.ADB,0,,0,
10885306,18,2005-09-09,DOCK,0,,0,
10885306,22,2005-09-14,TSSCOMP,0,,0,
10885306,23,2005-10-24,DOCK,0,,0,
10885306,25,2006-10-02,CTNF,0,,0,
10885306,26,2006-10-13,MCTNF,401,PTO,-1,
10885306,27,2007-01-16,A...,3,APPL,26,
10885306,46,2007-01-16,DIST,0,APPL,27,
10885306,28,2007-01-29,FWDX,0,,0,
10885306,29,2007-03-05,CTFR,0,,0,
10885306,30,2007-03-09,MCTFR,0,,0,
10885306,31,2007-07-03,XT/G,0,,0,
10885306,32,2007-07-03,N/AP,24,APPL,30,
10885306,33,2007-07-03,AP/A,0,,0,
10885306,34,2007-07-03,FWDX,0,,0,
10885306,35,2007-07-11,CTAV,0,,0,
10885306,36,2007-07-16,MCTAV,0,,0,
10885306,37,2007-07-16,EML_NTF,0,,0,
10885306,38,2007-07-17,ELC_RVW,0,,0,
10885306,39,2007-07-18,BRCE,0,,0,
10885306,41,2007-07-18,RCEX,0,,0,
10885306,40,2007-07-19,ABN9,0,,0,
10885306,42,2007-07-19,FWDX,0,,0,
10885306,44,2007-07-19,FWDX,0,,0,
10885306,47,2007-09-17,P574,0,,0,
10885306,48,2007-09-18,EX.A,0,,0,
10885306,49,2007-09-18,N/=.,0,,0,
10885306,50,2007-09-18,DVER,0,,0,
10897336,40,2007-10-05,MN/=.,0,,0,
09350251,84,2004-12-15,WAMD,0,PTO,0,Y
09350251,87,2004-12-15,LET.,0,PTO,0,Y
09350251,86,2004-12-15,N/AP,0,PTO,0,Y
09350251,85,2004-12-15,XT/G,0,PTO,0,Y
09350251,88.1,2005-02-15,APBI,0,PTO,0,Y
09350251,88,2005-02-15,AP.B,0,PTO,0,Y
09350251,89,2005-03-01,FWDX,0,PTO,0,Y
09350251,90,2005-04-20,APBD,0,PTO,0,Y
09350251,91,2005-05-19,SAPB,0,PTO,0,Y
09350251,93,2005-05-19,AP.B,0,PTO,0,Y
09350251,93.1,2005-05-19,APBI,0,PTO,0,Y
09350251,92,2005-05-23,FWDX,0,PTO,0,Y
09350251,94,2005-12-20,FWDX,0,PTO,0,Y
09350251,95,2006-01-27,APBD,0,PTO,0,Y
09350251,96,2006-06-13,PA..,0,PTO,0,Y
09350251,97,2006-06-13,C.AD,0,PTO,0,Y
09350251,99,2006-06-27,XT/G,0,PTO,0,Y
09350251,100,2006-06-27,AP.B,0,PTO,0,Y
09350251,102,2006-06-27,LET.,0,PTO,0,Y
09350251,101,2006-07-05,FWDX,0,PTO,0,Y
09350251,103,2006-08-21,CTNF,0,PTO,0,Y
09350251,104,2006-08-25,MCTNF,0,PTO,0,Y
09350251,105,2006-11-22,C.AD,0,PTO,0,Y
09350251,106,2006-12-04,A...,0,PTO,0,Y
09350251,107,2006-12-19,FWDX,0,PTO,0,Y
09350251,108,2007-02-01,CTFR,0,PTO,0,Y
09350251,109,2007-02-05,MCTFR,0,PTO,0,Y
