application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12711508,2,2010-02-24,SCAN,0,,0,
12711508,3,2010-02-24,WIDS,0,,0,
12711508,5,2010-02-24,PDREQUST,0,,0,
12711508,10,2010-02-24,EIDS.,0,,0,
12711508,11,2010-02-24,RQPR,0,,0,
12711508,16,2010-02-24,IDSC,0,,0,
12711508,4,2010-02-25,L194,0,,0,
12711508,7,2010-03-12,PGPC,0,,0,
12711508,6,2010-03-15,FLRCPT.O,0,,0,
12711508,8,2010-03-15,EML_NTR,0,,0,
12711508,9,2010-04-01,OIPE,0,,0,
12711508,12,2010-09-07,PG-ISSUE,0,,0,
12711508,13,2010-09-07,EML_NTR,0,,0,
12711508,14,2011-05-25,DOCK,0,,0,
12711508,15,2011-12-14,DOCK,0,,0,
12711508,17,2012-08-03,CTNF,0,,0,
12711508,19,2012-08-09,MCTNF,473,PTO,.5,
12711508,20,2012-08-09,EML_NTF,0,,0,
12711508,21,2012-08-09,ELC_RVW,0,,0,
12711508,22,2012-11-01,A...,0,,0,
12711508,23,2012-11-07,FWDX,0,,0,
12711508,24,2012-12-05,CTFR,0,,0,
12711508,26,2012-12-11,MCTFR,0,,0,
12711508,27,2012-12-11,EML_NTF,0,,0,
12711508,28,2012-12-11,ELC_RVW,0,,0,
12711508,29,2013-04-03,WIDS,0,,0,
12711508,30,2013-04-03,EIDS.,0,,0,
12711508,31,2013-04-03,IDSC,0,,0,
12711508,36,2013-05-06,EX.A,0,,0,
12711508,37,2013-05-07,DVER,0,,0,
12711508,38,2013-05-07,N/=.,0,,0,
12711508,41,2013-05-10,MN/=.,0,,0,
12711508,.5,2010-02-24,EFILE,0,,0,
12711508,49,2013-07-31,N084,0,,0,
12711508,48,2013-07-31,IFEE,0,,0,
12711508,51,2013-08-01,D1935,0,,0,
12711508,50,2013-08-01,PILS,0,,0,
12711508,53,2013-09-03,PTAC,0,,0,
12711508,53.5,2013-09-03,PTA36M,191,PTO,.5,
13346712,21,2013-01-07,MCTNF,0,,0,
13346712,22,2013-01-07,EML_NTF,0,,0,
13346712,23,2013-01-07,ELC_RVW,0,,0,
13346712,25,2013-03-08,RQPR,0,,0,
13346712,26,2013-03-08,RQPR,0,,0,
13346712,27,2013-04-07,A...,0,,0,
13346712,28,2013-04-12,FWDX,0,,0,
13346712,33,2013-04-30,EX.R,0,,0,
13346712,34,2013-05-02,N/=.,0,,0,
13346712,35,2013-05-02,DVER,0,,0,
13346712,39,2013-05-07,MN/=.,0,,0,
13346712,.5,2012-01-09,EFILE,0,,0,
13346712,45,2013-08-05,N084,0,,0,
13346712,44,2013-08-05,IFEE,0,,0,
13346712,47,2013-08-06,D1935,0,,0,
13346712,46,2013-08-06,PILS,0,,0,
13346712,49,2013-09-03,PTAC,0,,0,
13346712,49.5,2013-09-03,PTA36M,0,PTO,.5,
12483287,1,2009-06-12,IEXX,0,,0,
12483287,2,2009-06-12,SCAN,0,,0,
12483287,3,2009-06-16,L194,0,,0,
12483287,4,2009-07-01,FLRCPT.O,0,,0,
12483287,5,2009-07-01,PGPC,0,,0,
12483287,6,2009-07-16,PA..,0,,0,
12483287,7,2009-07-23,OIPE,0,,0,
12483287,8,2009-09-14,WIDS,0,,0,
12483287,10,2009-09-14,EIDS.,0,,0,
12483287,23,2009-09-14,IDSC,0,,0,
12483287,9,2009-09-28,WIDS,0,,0,
12483287,11,2009-09-28,EIDS.,0,,0,
12483287,24,2009-09-28,IDSC,0,,0,
12483287,12,2009-12-24,PG-ISSUE,0,,0,
12483287,13,2011-01-06,C.AD,0,,0,
12483287,14,2011-01-10,PA..,0,,0,
12483287,15,2011-02-07,DOCK,0,,0,
12483287,16,2011-07-05,DOCK,0,,0,
12483287,18,2011-07-19,CTRS,0,,0,
12483287,20,2011-07-25,MCTRS,347,PTO,.5,
12483287,21,2011-08-18,ELC.,0,,0,
12483287,22,2011-08-26,FWDX,0,,0,
12483287,25,2011-11-02,CTNF,0,,0,
12483287,27,2011-11-04,MCTNF,0,,0,
12483287,29,2012-04-04,XT/G,0,,0,
12483287,30,2012-04-04,A...,60,APPL,27,
12483287,32,2012-04-04,C614,0,,0,
12483287,31,2012-04-05,FWDX,0,,0,
12483287,33,2012-08-27,CTFR,0,,0,
12483287,35,2012-08-29,MCTFR,0,PTO,30,
12483287,36,2012-11-09,A.NE,0,,0,
12483287,38,2012-11-09,C614,0,,0,
12483287,37,2012-11-12,FWDX,0,,0,
12483287,39,2012-11-16,CTFR,0,,0,
12483287,41,2012-11-20,MCTFR,0,,0,
12483287,42,2013-03-01,C.AD,0,,0,
12483287,43,2013-03-05,PA..,0,,0,
12483287,44,2013-04-19,BRCE,0,,0,
12483287,46,2013-04-19,RCEX,58,APPL,41,
12483287,45,2013-04-22,ABN9,0,,0,
12483287,48,2013-04-22,FWDX,0,,0,
12483287,53,2013-04-30,EX.A,0,,0,
12483287,54,2013-04-30,EX.R,0,,0,
12483287,55,2013-05-01,N/=.,0,,0,
12483287,56,2013-05-02,DVER,0,,0,
12483287,61,2013-05-07,MN/=.,0,,0,
12483287,.5,2009-06-12,EFILE,0,,0,
12483287,63,2013-06-13,LET.,83,APPL,0,
12483287,65,2013-08-01,N084,0,,0,
12483287,64,2013-08-01,IFEE,0,,0,
12483287,66,2013-08-02,PILS,0,,0,
12483287,67,2013-08-05,D1935,0,,0,
12483287,70,2013-09-03,PTAC,0,,0,
12483287,70.5,2013-04-18,PTA36M,310,PTO,.5,
12483287,35,2012-08-29,MCTFR,25,,30,
11791945,1,2007-05-30,IEXX,0,,0,
11791945,2,2007-05-30,WIDS,0,,0,
11791945,8,2007-05-30,371COMP,0,,0,
11791945,10,2007-05-30,A.PE,0,,0,
11791945,11,2007-05-30,M844,0,,0,
11791945,12,2007-05-30,RCAP,0,,0,
11791945,27,2007-05-30,IDSC,0,,0,
11791945,3,2007-06-22,SCAN,0,,0,
11791945,4,2007-06-22,L194,0,,0,
11791945,5,2008-02-21,M903,0,,0,
11791945,6,2008-02-21,FLRCPT.O,0,,0,
11791945,7,2008-02-21,PGPC,0,,0,
11791945,9,2008-03-04,OIPE,0,,0,
11791945,14,2008-04-14,TSSCOMP,0,,0,
11791945,15,2008-05-29,PG-ISSUE,0,,0,
11791945,16,2008-06-10,PA..,0,,0,
11791945,17,2008-06-10,EML_NTR,0,,0,
11791945,18,2008-10-24,WIDS,0,,0,
11791945,20,2008-10-24,M844,0,,0,
11791945,26,2008-10-24,IDSC,0,,0,
11791945,19,2008-11-07,DOCK,0,,0,
11791945,21,2009-07-16,C.AD,0,,0,
11791945,22,2009-07-23,PA..,0,,0,
11791945,32,2010-09-11,CTNF,0,,0,
11791945,33,2010-09-14,MCTNF,669,PTO,8,
11791945,34,2011-02-14,XT/G,0,,0,
11791945,35,2011-02-14,A...,62,APPL,33,
11791945,36,2011-02-18,FWDX,0,,0,
11791945,37,2011-04-25,CTFR,0,,0,
11791945,39,2011-04-28,MCTFR,0,,0,
11791945,41,2011-09-08,XT/G,0,,0,
11791945,42,2011-09-08,A.NE,0,,0,
11791945,43,2011-09-10,FWDX,0,,0,
11791945,44,2011-09-13,CTAV,0,,0,
11791945,46,2011-09-19,MCTAV,0,,0,
11791945,47,2011-09-28,BRCE,0,,0,
11791945,49,2011-09-28,RCEX,62,APPL,39,
11791945,48,2011-09-29,ABN9,0,,0,
11791945,51,2011-09-29,FWDX,0,,0,
11791945,52,2011-11-16,CTNF,0,,0,
11791945,55,2011-11-22,MCTNF,0,,0,
11791945,56,2011-11-29,WIDS,0,,0,
11791945,57,2011-11-29,M844,0,,0,
11791945,68,2011-11-29,IDSC,0,,0,
11791945,58,2012-04-23,XT/G,0,,0,
11791945,59,2012-04-23,A...,61,APPL,55,
11791945,60,2012-04-24,FWDX,0,,0,
11791945,61,2012-06-07,SA..,0,,0,
11791945,63,2012-06-07,AF/D,0,,0,
11791945,62,2012-06-11,FWDX,0,,0,
11791945,64,2013-01-08,DOCK,0,,0,
11791945,66,2013-01-12,DOCK,0,,0,
11791945,73,2013-03-27,EXIE,0,,0,
11791945,74,2013-03-27,EXIA,0,,0,
11791945,69,2013-04-10,DIST,352,APPL,59,
11791945,70,2013-04-10,P574,0,,0,
11791945,72,2013-04-21,EX.A,0,,0,
11791945,75,2013-04-29,N/=.,0,,0,
11791945,76,2013-04-29,DVER,0,,0,
11791945,82,2013-05-02,MN/=.,252,PTO,59,
11791945,.5,2004-11-30,NEFILE,0,,0,
11791945,88,2013-08-01,N084,0,,0,
11791945,87,2013-08-01,IFEE,0,,0,
11791945,89,2013-08-03,PILS,0,,0,
11791945,91,2013-08-07,D1935,0,,0,
11791945,90,2013-08-07,D1935,0,,0,
11791945,93,2013-09-03,PTAC,0,,0,
11791945,93.5,2011-09-27,PTA36M,485,PTO,93.4,
11791945,93.4,2007-05-30,COMMN,0,,0,
11791945,33,2010-09-14,MCTNF,107,,8,
13115456,2,2011-05-25,SCAN,0,,0,
13115456,3,2011-05-26,L194,0,,0,
13115456,5,2011-06-07,PGPC,0,,0,
13115456,4,2011-06-08,FLRCPT.O,0,,0,
13115456,6,2011-06-08,EML_NTR,0,,0,
13115456,7,2011-06-08,COMP,0,,0,
13115456,8,2011-07-01,OIPE,0,,0,
13115456,9,2011-09-15,PG-ISSUE,0,,0,
13115456,10,2011-09-16,EML_NTR,0,,0,
13115456,11,2012-06-20,DOCK,0,,0,
