application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12070035,58,2010-06-30,N/=.,0,,0,
12070035,59,2010-07-01,MN/=.,0,,0,
12070035,63,2010-09-07,N084,0,,0,
12070035,62,2010-09-07,IFEE,0,,0,
12070035,64,2010-09-16,PILS,0,,0,
12070035,65,2010-09-16,D1935,0,,0,
12070035,67,2010-10-12,PTAC,0,,0,
12070035,67.5,2010-10-12,PTA36M,0,PTO,0,
11395995,1,2006-03-31,IEXX,0,,0,
11395995,2,2006-04-11,SCAN,0,,0,
11395995,3,2006-04-14,L198,0,,0,
11395995,4,2006-05-07,L128,0,,0,
11395995,6,2006-05-09,OIPE,0,,0,
11395995,5,2006-05-10,COMP,0,,0,
11395995,7,2006-07-13,DOCK,0,,0,
11395995,8,2006-07-13,TSSCOMP,0,,0,
11395995,9,2007-01-29,PA..,0,,0,
11395995,10,2007-05-17,WIDS,0,,0,
11395995,11,2007-05-17,EIDS.,0,,0,
11395995,12,2007-05-17,RCAP,0,,0,
11395995,26,2007-05-17,IDSC,0,,0,
11395995,14,2007-06-09,CTRS,0,,0,
11395995,15,2007-06-12,MCTRS,12,PTO,-1,
11395995,16,2007-07-11,ELC.,0,,0,
11395995,17,2007-07-17,FWDX,0,,0,
11395995,18,2007-07-18,DOCK,0,,0,
11395995,19,2007-09-24,CTRS,0,,0,
11395995,20,2007-09-27,MCTRS,0,,0,
11395995,21,2007-10-29,ELC.,0,,0,
11395995,22,2007-11-02,FWDX,0,,0,
11395995,23,2007-11-16,C.AD,0,,0,
11395995,24,2007-11-20,PA..,0,,0,
11395995,27,2008-01-07,CTNF,0,,0,
11395995,28,2008-01-08,MCTNF,0,,0,
11395995,29,2008-01-08,DOCK,0,,0,
11395995,30,2008-04-08,A...,0,,0,
11395995,31,2008-05-02,FWDX,0,,0,
11849087,1,2007-08-31,IEXX,0,,0,
11849087,2,2007-08-31,SCAN,0,,0,
11849087,3,2007-08-31,WIDS,0,,0,
11849087,9,2007-08-31,EIDS.,0,,0,
11849087,10,2007-08-31,RCAP,0,,0,
11849087,19,2007-08-31,IDSC,0,,0,
11849087,4,2007-09-01,L194,0,,0,
11849087,5,2007-09-12,COMP,0,,0,
11849087,6,2007-09-12,PGPC,0,,0,
11849087,7,2007-12-11,OIPE,0,,0,
11849087,8,2008-01-11,TSSCOMP,0,,0,
12132504,1,2008-06-03,IEXX,0,,0,
12132504,2,2008-06-03,SCAN,0,,0,
12132504,5,2008-06-03,PDREQUST,0,,0,
12132504,3,2008-06-05,L194,0,,0,
12132504,4,2008-06-05,WIDS,0,,0,
12132504,13,2008-06-05,M844,0,,0,
12132504,14,2008-06-05,RCAP,0,,0,
12132504,19,2008-06-05,IDSC,0,,0,
12132504,6,2008-06-20,FLRCPT.O,0,,0,
12132504,7,2008-06-20,INCD,0,,0,
12132504,15,2008-10-28,RQPR,0,,0,
12132504,8,2008-12-18,OATHDECL,0,,0,
12132504,9,2008-12-18,FLFEE,0,,0,
12132504,10,2009-01-07,FLRCPT.U,0,,0,
12132504,11,2009-01-07,PGPC,0,,0,
12132504,12,2009-02-02,OIPE,0,,0,
12132504,16,2009-04-02,TSSCOMP,0,,0,
12132504,17,2009-04-16,PG-ISSUE,0,,0,
12132504,18,2009-07-14,DOCK,0,,0,
12132504,24,2010-06-25,DOCK,0,,0,
12132504,25,2010-06-25,N/=.,0,,0,
12132504,26,2010-06-25,DVER,0,,0,
12132504,28,2010-06-29,MN/=.,330,PTO,-1,
12132504,32,2010-09-07,N084,0,,0,
12132504,31,2010-09-07,IFEE,0,,0,
12132504,33,2010-09-15,PILS,0,,0,
12132504,34,2010-09-15,D1935,0,,0,
12132504,36,2010-10-12,PTAC,0,,0,
12132504,36.5,2010-10-12,PTA36M,0,PTO,0,
10554232,47,2010-09-07,IFEE,0,,0,
10554232,48,2010-09-07,N084,0,,0,
10554232,49,2010-09-08,PILS,0,,0,
10554232,50,2010-09-08,D1935,0,,0,
10554232,52,2010-10-12,PTAC,0,,0,
10554232,52.5,2010-10-12,PTA36M,718,PTO,0,
10554232,22,2009-09-04,MCTNF,315,,5,
10554232,28,2010-03-18,MCTNF,1,,25,
11541274,43,2010-09-13,IFEE,0,,0,
11541274,44,2010-09-13,N084,0,,0,
11541274,45,2010-09-14,PILS,0,,0,
11541274,46,2010-09-15,D1935,0,,0,
11541274,48,2010-10-12,PTAC,0,,0,
11541274,48.5,2010-10-12,PTA36M,379,PTO,0,
11619433,1,2007-01-03,IEXX,0,,0,
11619433,2,2007-01-06,SCAN,0,,0,
11619433,3,2007-01-16,L194,0,,0,
11619433,4,2007-02-01,COMP,0,,0,
11619433,5,2007-02-01,OIPE,0,,0,
11619433,6,2007-02-01,ROIPE,0,,0,
11619433,8,2007-02-01,WROIPE,0,,0,
11619433,7,2007-02-02,COMP,0,,0,
11619433,9,2007-02-12,TSSCOMP,0,,0,
11619433,10,2007-04-17,DOCK,0,,0,
11619433,11,2007-10-16,F525,0,,0,
11619433,12,2007-10-17,W525,0,,0,
11619433,13,2007-11-01,C.AD,0,,0,
11619433,14,2007-11-09,PA..,0,,0,
11619433,15,2008-05-01,WIDS,0,,0,
11619433,16,2008-05-01,M844,0,,0,
11619433,17,2008-05-01,RCAP,0,,0,
11619433,29,2008-05-01,IDSC,0,,0,
11619433,18,2008-07-03,PG-ISSUE,0,,0,
11619433,19,2009-03-18,WIDS,0,,0,
11619433,21,2009-03-18,M844,0,,0,
10446773,1,2003-05-29,IEXX,0,,0,
10446773,14,2003-05-29,WIDS,0,,0,
10446773,14.7,2003-05-29,M844,0,,0,
10446773,20,2003-05-29,IDSC,0,,0,
10446773,2,2003-06-06,SCAN,0,,0,
10446773,13,2003-06-26,RQPR,0,,0,
10446773,3,2003-07-30,L198,0,,0,
10446773,4,2003-08-11,L128,0,,0,
10446773,5,2003-08-15,COMP,0,,0,
10446773,6,2003-08-15,OIPE,0,,0,
10446773,7,2003-08-15,ROIPE,0,,0,
10446773,9,2003-08-15,WROIPE,0,,0,
10446773,8,2003-08-18,COMP,0,,0,
10446773,10,2003-08-18,ROIPE,0,,0,
10446773,11,2003-08-18,COMP,0,,0,
10446773,12,2003-08-18,WROIPE,0,,0,
10446773,15,2004-03-18,DOCK,0,,0,
10446773,16,2004-09-10,TSSCOMP,0,,0,
10446773,17,2006-03-21,DOCK,0,,0,
10446773,18,2006-04-07,DOCK,0,,0,
10446773,19,2007-03-23,DOCK,0,,0,
10446773,21,2007-06-25,CTNF,0,,0,
10446773,22,2007-07-02,MCTNF,669,PTO,-1,
11439796,1,2006-05-23,IEXX,0,,0,
11439796,2,2006-06-01,SCAN,0,,0,
11439796,3,2006-06-03,L194,0,,0,
11439796,4,2006-06-13,COMP,0,,0,
11439796,5,2006-06-13,OIPE,0,,0,
11439796,6,2006-07-11,TSSCOMP,0,,0,
11439796,7,2007-05-25,WIDS,0,,0,
11439796,8,2007-05-25,M844,0,,0,
11439796,9,2007-05-25,RCAP,0,,0,
11439796,34,2007-05-25,IDSC,0,,0,
11439796,10,2007-08-01,APPERMS,0,,0,
11439796,11,2007-11-29,PG-ISSUE,0,,0,
11439796,12,2008-01-10,DOCK,0,,0,
11439796,13,2008-04-14,WIDS,0,,0,
11439796,14,2008-04-14,M844,0,,0,
11439796,33,2008-04-14,IDSC,0,,0,
11439796,15,2008-09-12,WIDS,0,,0,
11439796,16,2008-09-12,M844,0,,0,
11439796,17,2008-09-12,RCAP,0,,0,
11439796,32,2008-09-12,IDSC,0,,0,
11439796,18,2009-01-15,WIDS,0,,0,
11439796,22,2009-01-15,M844,0,,0,
11439796,23,2009-01-15,RCAP,0,,0,
11439796,31,2009-01-15,IDSC,0,,0,
11439796,19,2009-07-28,WIDS,0,,0,
11439796,24,2009-07-28,M844,0,,0,
11439796,25,2009-07-28,RCAP,0,,0,
11439796,30,2009-07-28,IDSC,0,,0,
11439796,20,2009-09-01,DOCK,0,,0,
11439796,21,2009-09-01,DOCK,0,,0,
11439796,26,2009-10-13,WIDS,0,,0,
11439796,29,2009-10-13,IDSC,0,,0,
11439796,39,2009-10-13,M844,0,,0,
11439796,40,2009-10-13,RCAP,0,,0,
11439796,27,2009-12-07,WIDS,0,,0,
11439796,28,2009-12-07,IDSC,0,,0,
11439796,41,2009-12-07,M844,0,,0,
10882316,1,2004-07-02,IEXX,0,,0,
10882316,13,2004-07-02,RQPR,0,,0,
10882316,14,2004-07-02,WIDS,0,,0,
10882316,14.7,2004-07-02,M844,0,,0,
10882316,26,2004-07-02,IDSC,0,,0,
10882316,2,2004-07-27,SCAN,0,,0,
10882316,4,2004-08-12,L198,0,,0,
11582020,25,2010-01-16,CTFR,0,,0,
11582020,26,2010-01-20,MCTFR,0,,0,
11582020,32,2010-04-15,EXIN,0,,0,
11582020,27,2010-04-16,BRCE,0,,0,
11582020,29,2010-04-16,RCEX,0,,0,
11582020,28,2010-04-20,ABN9,0,,0,
11582020,31,2010-04-20,FWDX,0,,0,
11582020,33,2010-04-21,MEXIN,0,,0,
11582020,34,2010-04-28,WIDS,0,,0,
11582020,35,2010-04-28,M844,0,,0,
11582020,36,2010-04-28,RCAP,0,,0,
11582020,37,2010-04-28,IDSC,0,,0,
11582020,41,2010-06-08,DVER,0,,0,
11582020,42,2010-06-08,DOCK,0,,0,
11582020,43,2010-06-08,N/=.,0,,0,
11582020,45,2010-06-11,MN/=.,0,,0,
11582020,49,2010-09-10,N084,0,,0,
11582020,48,2010-09-10,IFEE,0,,0,
11582020,50,2010-09-14,PILS,0,,0,
11582020,51,2010-09-14,D1935,0,,0,
11582020,53,2010-10-12,PTAC,0,,0,
11582020,53.5,2010-04-15,PTA36M,180,PTO,0,
11803065,53,2010-06-25,MEX.A,0,,0,
11803065,54,2010-06-25,MEXIN,0,,0,
11803065,55,2010-06-25,MEXIN,0,,0,
11803065,56,2010-06-25,EML_NTR,0,,0,
11803065,57,2010-06-25,EML_NTR,0,,0,
11803065,58,2010-06-25,EML_NTR,0,,0,
11803065,59,2010-07-12,MN/=.,0,,0,
11803065,63,2010-09-07,IFEE,0,,0,
11803065,64,2010-09-07,N084,0,,0,
11803065,65,2010-09-09,PILS,0,,0,
11803065,66,2010-09-13,D1935,0,,0,
11803065,69,2010-10-12,PTAC,0,,0,
11803065,69.5,2010-10-12,PTA36M,154,PTO,0,
11610805,42,2010-08-09,EX.A,0,,0,
11610805,43,2010-08-09,DOCK,0,,0,
11610805,44,2010-08-09,N/=.,0,,0,
11610805,45,2010-08-09,DVER,0,,0,
11610805,47,2010-08-09,MN/=.,0,,0,
11610805,50,2010-08-20,REAS,0,,0,
11610805,51,2010-09-07,IFEE,0,,0,
11610805,53,2010-09-07,N084,0,,0,
11610805,54,2010-09-09,PILS,0,,0,
11610805,55,2010-09-09,D1935,0,,0,
11610805,57,2010-10-12,PTAC,0,,0,
11610805,57.5,2010-10-12,PTA36M,302,PTO,0,
11143245,1,2005-06-02,IEXX,0,,0,
11143245,15,2005-06-02,WIDS,0,,0,
11143245,15.7,2005-06-02,M844,0,,0,
11143245,16,2005-06-02,RCAP,0,,0,
11143245,22,2005-06-02,IDSC,0,,0,
11143245,2,2005-06-09,SCAN,0,,0,
11143245,3,2005-06-14,L194,0,,0,
11143245,5,2005-06-16,OIPE,0,,0,
11143245,4,2005-06-17,COMP,0,,0,
11143245,6,2005-06-17,ROIPE,0,,0,
11143245,8,2005-06-17,WROIPE,0,,0,
11143245,7,2005-06-20,COMP,0,,0,
11143245,9,2005-06-20,ROIPE,0,,0,
11143245,11,2005-06-20,WROIPE,0,,0,
11143245,12,2005-06-20,ROIPE,0,,0,
11143245,14,2005-06-20,WROIPE,0,,0,
11143245,10,2005-06-21,COMP,0,,0,
11143245,13,2005-06-21,COMP,0,,0,
11143245,17,2006-05-04,DOCK,0,,0,
11143245,18,2006-05-04,TSSCOMP,0,,0,
11143245,19,2006-06-06,A.PE,0,,0,
11143245,20,2006-06-06,LET.,0,,0,
11143245,21,2008-03-17,DOCK,0,,0,
