application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10409189,5,2003-04-09,M844,0,,0,
10409189,10,2003-04-09,RCAP,0,,0,
10409189,2,2003-04-26,SCAN,0,,0,
10409189,3,2003-06-06,COMP,0,,0,
10409189,4,2003-06-17,OIPE,0,,0,
10409189,6,2003-07-15,DOCK,0,,0,
10409189,7,2003-07-15,TSSCOMP,0,,0,
10409189,8,2005-05-20,PA..,0,,0,
10409189,9,2005-05-20,C.AD,0,,0,
10409189,12,2005-05-24,EXIN,0,,0,
10409189,13,2005-05-26,EX.A,0,,0,
10409189,14,2005-06-01,N/=.,0,,0,
10409189,16,2005-08-16,MEX.A,0,,0,
10409189,17,2005-08-16,MN/=.,433,PTO,-1,
10480298,1,2003-12-11,IEXX,0,,0,
10480298,4,2003-12-11,371COMP,0,,0,
10480298,7,2003-12-11,M844,0,,0,
10480298,8,2003-12-11,RCAP,0,,0,
10480298,10,2004-02-17,M844,0,,0,
10480298,2,2004-06-04,M903,0,,0,
10480298,3,2004-06-04,OIPE,0,,0,
10480298,5,2004-06-18,L194,0,,0,
10480298,6,2004-07-01,DOCK,0,,0,
10480298,9,2004-07-01,TSSCOMP,0,,0,
10480298,12,2005-08-08,N/=.,0,,0,
10480298,14,2005-08-16,MN/=.,186,PTO,-1,
10674544,1,2003-10-01,IEXX,0,,0,
10674544,9,2003-10-01,M844,0,,0,
10674544,11,2003-10-01,A.PE,0,,0,
10674544,2,2003-11-15,SCAN,0,,0,
10674544,3,2003-12-16,L194,0,,0,
10674544,6,2003-12-22,OIPE,0,,0,
10674544,5,2003-12-23,COMP,0,,0,
10674544,7,2003-12-23,ROIPE,0,,0,
10674544,8,2003-12-23,WROIPE,0,,0,
10674544,10,2004-04-12,RCAP,0,,0,
10674544,12,2004-04-13,DOCK,0,,0,
10674544,13,2004-04-13,TSSCOMP,0,,0,
10674544,14,2004-09-02,CTRS,0,,0,
10674544,15,2004-09-07,MCTRS,0,,0,
10674544,16,2004-10-06,WAMD,0,,0,
10674544,17,2004-10-06,ELC.,0,,0,
10674544,18,2004-10-26,FWDX,0,,0,
10674544,19,2004-12-01,CTNF,0,,0,
10674544,20,2004-12-03,MCTNF,0,,0,
10674544,21,2005-02-09,EXIN,0,,0,
10674544,22,2005-02-17,MEXIN,0,,0,
10674544,23,2005-02-17,A...,0,,0,
10674544,24,2005-03-09,FWDX,0,,0,
10674544,25,2005-03-10,LET.,0,,0,
10674544,26,2005-05-12,CTFR,0,,0,
10674544,27,2005-05-17,MCTFR,0,,0,
10674544,28,2005-08-02,A.NE,0,,0,
10674544,29,2005-08-10,FWDX,0,,0,
10674544,31,2005-08-12,N/=.,0,,0,
10674544,33,2005-08-16,MN/=.,0,,0,
10445951,45,2005-05-27,SENT,0,,0,
10445951,46,2005-07-13,R1021,0,,0,
10445951,47,2005-07-29,IFEE,0,,0,
10445951,48,2005-07-29,N084,0,,0,
10445951,49,2005-07-29,DRWF,40,APPL,0,
10445951,52,2005-08-09,R1021,0,,0,
10445951,50,2005-08-09,PILS,0,,0,
10445951,51,2005-08-09,D1935,0,,0,
10445951,53,2005-09-06,PTAC,0,,0,
10428605,43,2005-06-15,SENT,0,,0,
10428605,44,2005-07-28,IFEE,0,,0,
10428605,46,2005-07-28,REAS,0,,0,
10428605,47,2005-07-28,N084,0,,0,
10428605,45,2005-08-04,R1021,0,,0,
10428605,48,2005-08-10,PILS,0,,0,
10428605,49,2005-08-10,D1935,0,,0,
10428605,50,2005-08-12,R1021,0,,0,
10428605,51,2005-09-06,PTAC,0,,0,
10483238,28,2005-07-15,MM327,0,,0,
10483238,31,2005-07-21,C600,48,APPL,0,
10483238,30,2005-08-01,R1021,0,,0,
10483238,33,2005-08-08,PILS,0,,0,
10483238,35,2005-08-08,R1021,0,,0,
10483238,34,2005-08-08,D1935,0,,0,
10483238,36,2005-09-06,PTAC,0,,0,
10468570,1,2003-08-21,IEXX,0,,0,
10468570,6,2003-08-21,A.PE,0,,0,
10468570,7,2003-08-21,M844,0,,0,
10468570,8,2003-08-21,RQPR,0,,0,
10468570,4,2003-08-22,371COMP,0,,0,
10468570,2,2003-12-12,M903,0,,0,
10468570,3,2003-12-12,OIPE,0,,0,
10468570,5,2004-01-06,L194,0,,0,
10468570,9,2004-03-29,DOCK,0,,0,
10468570,10,2004-03-29,TSSCOMP,0,,0,
10468570,11,2005-01-31,CTNF,0,,0,
10468570,12,2005-02-17,MCTNF,119,PTO,-1,
