application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12866480,12,2010-08-06,371COMP,0,,0,
12866480,14,2010-08-06,RQPR,0,,0,
12866480,3,2010-08-27,WIDS,0,,0,
12866480,15,2010-08-27,M844,0,,0,
12866480,24,2010-08-27,IDSC,0,,0,
12866480,5,2010-12-01,M922,0,,0,
12866480,8,2010-12-10,MPEN,0,,0,
12866480,9,2010-12-10,M903,0,,0,
12866480,10,2010-12-10,FLRCPT.O,0,,0,
12866480,11,2010-12-10,PGPC,0,,0,
12866480,13,2010-12-28,OIPE,0,,0,
12866480,16,2011-02-15,DOCK,0,,0,
12866480,17,2011-03-24,PG-ISSUE,0,,0,
12866480,18,2011-06-21,DOCK,0,,0,
12866480,19,2012-02-02,DOCK,0,,0,
12866480,25,2012-02-13,CTEQ,0,,0,
12866480,27,2012-02-15,MCTEQ,132,PTO,12,
12866480,28,2012-05-07,XT/G,0,,0,
12866480,29,2012-05-07,A.QU,0,,0,
12866480,30,2012-05-14,FWDX,0,,0,
12866480,32,2012-05-19,EX.R,0,,0,
12866480,33,2012-05-22,N/=.,0,,0,
12866480,34,2012-05-22,DVER,0,,0,
12866480,38,2012-05-23,MN/=.,0,,0,
12866480,.5,2009-02-02,NEFILE,0,,0,
12866480,40,2012-06-05,R1021,0,,0,
12866480,43,2012-08-16,N084,0,,0,
12866480,42,2012-08-16,IFEE,0,,0,
12866480,44,2012-08-17,PILS,0,,0,
12866480,45,2012-08-20,D1935,0,,0,
12512230,1,2009-07-30,IEXX,0,,0,
12512230,2,2009-07-30,SCAN,0,,0,
12512230,3,2009-08-04,L194,0,,0,
12512230,4,2009-08-19,INCD,0,,0,
12512230,5,2009-08-19,FLRCPT.O,0,,0,
12512230,6,2009-08-19,EML_NTF,0,,0,
12512230,7,2009-08-19,EML_NTR,0,,0,
12512230,8,2009-08-19,ELC_RVW,0,,0,
12512230,9,2009-09-29,OATHDECL,0,,0,
12512230,10,2009-09-29,ADDFLFEE,0,,0,
12512230,12,2009-10-08,PGPC,0,,0,
12512230,11,2009-10-09,FLRCPT.U,0,,0,
12512230,13,2009-10-09,EML_NTR,0,,0,
12512230,14,2009-10-21,OIPE,0,,0,
12512230,15,2009-11-20,C.ADB,0,,0,
12512230,16,2010-03-28,DOCK,0,,0,
12512230,17,2010-07-07,DOCK,0,,0,
12512230,18,2010-10-21,DOCK,0,,0,
12512230,19,2011-02-03,PG-ISSUE,0,,0,
12512230,20,2011-02-04,EML_NTR,0,,0,
12512230,24,2012-01-01,CTRS,0,,0,
12512230,26,2012-01-06,MCTRS,463,PTO,.5,
12512230,27,2012-01-06,EML_NTF,0,,0,
12512230,28,2012-01-06,ELC_RVW,0,,0,
12512230,29,2012-02-03,ELC.,0,,0,
12512230,30,2012-02-07,FWDX,0,,0,
12512230,31,2012-05-10,DOCK,0,,0,
13312749,28,2012-06-13,MN/=.,0,,0,
13312749,.5,2011-12-06,EFILE,0,,0,
13312749,30,2012-07-30,FLRCPT.C,0,,0,
13312749,33,2012-08-20,N084,0,,0,
13312749,32,2012-08-20,IFEE,0,,0,
13312749,35,2012-08-21,D1935,0,,0,
13312749,34,2012-08-21,PILS,0,,0,
13312749,37,2012-09-18,PTAC,0,,0,
13312749,37.5,2012-09-18,PTA36M,0,PTO,.5,
12401568,43,2012-08-20,N084,0,,0,
12401568,42,2012-08-20,IFEE,0,,0,
12401568,46,2012-08-21,PILS,0,,0,
12401568,44,2012-08-21,C.AD,0,,0,
12401568,47,2012-08-22,D1935,0,,0,
12401568,45,2012-08-22,PA..,0,,0,
12401568,49,2012-09-18,PTAC,0,,0,
12401568,49.5,2012-09-18,PTA36M,192,PTO,.5,
12467111,50,2012-05-21,MN/=.,670,PTO,.5,
12467111,.5,2009-05-15,EFILE,0,,0,
12467111,56,2012-08-21,N084,0,,0,
12467111,55,2012-08-21,IFEE,0,,0,
12467111,57,2012-08-22,PILS,0,,0,
12467111,58,2012-08-22,D1935,0,,0,
12467111,60,2012-09-18,PTAC,0,,0,
12467111,60.5,2012-09-18,PTA36M,126,PTO,.5,
12467111,50,2012-05-21,MN/=.,6,,.5,
12512230,36,2012-06-14,EX.A,0,,0,
12512230,37,2012-06-14,EX.R,0,,0,
12512230,38,2012-06-19,DVER,0,,0,
12512230,39,2012-06-19,DOCK,0,,0,
12512230,40,2012-06-19,N/=.,0,,0,
12512230,45,2012-06-25,MN/=.,22,PTO,29,
12512230,.5,2009-07-30,EFILE,0,,0,
12512230,49,2012-07-06,DOCK,0,,0,
12512230,50,2012-07-06,DOCK,0,,0,
12512230,52,2012-08-13,IFEE,0,,0,
12512230,53,2012-08-13,N084,0,,0,
12512230,55,2012-08-15,D1935,0,,0,
12512230,54,2012-08-15,PILS,0,,0,
12512230,57,2012-09-18,PTAC,0,,0,
12512230,57.5,2012-09-18,PTA36M,50,PTO,.5,
12412910,1,2009-03-27,IEXX,0,,0,
12412910,2,2009-03-27,SCAN,0,,0,
12412910,4,2009-03-27,PDREQUST,0,,0,
12412910,3,2009-03-31,L194,0,,0,
12412910,5,2009-04-30,INCD,0,,0,
12412910,6,2009-04-30,FLRCPT.O,0,,0,
12412910,7,2009-04-30,EML_NTF,0,,0,
12412910,8,2009-04-30,EML_NTR,0,,0,
12412910,9,2009-04-30,ELC_RVW,0,,0,
12412910,10,2009-06-04,WIDS,0,,0,
12412910,19,2009-06-04,M844,0,,0,
12412910,23,2009-06-04,IDSC,0,,0,
12412910,11,2009-06-11,OATHDECL,0,,0,
12412910,12,2009-06-11,ADDFLFEE,0,,0,
12412910,14,2009-06-23,PGPC,0,,0,
12412910,13,2009-06-24,FLRCPT.U,0,,0,
12412910,15,2009-06-24,EML_NTR,0,,0,
12412910,16,2009-07-07,OIPE,0,,0,
12412910,20,2009-07-12,RQPR,0,,0,
12412910,17,2009-10-01,PG-ISSUE,0,,0,
12412910,18,2009-10-02,EML_NTR,0,,0,
12635892,1,2009-12-11,IEXX,0,,0,
12635892,2,2009-12-11,SCAN,0,,0,
12635892,4,2009-12-11,NPRQ,0,,0,
12635892,3,2009-12-17,L194,0,,0,
12635892,5,2010-01-05,FLRCPT.O,0,,0,
12635892,6,2010-01-05,PGPC,0,,0,
12635892,7,2010-01-13,OIPE,0,,0,
12635892,8,2010-02-04,DOCK,0,,0,
12635892,9,2010-03-16,DOCK,0,,0,
12635892,10,2010-07-06,DOCK,0,,0,
12635892,11,2011-08-03,RFAI,0,,0,
12635892,12,2011-11-23,DOCK,0,,0,
12635892,16,2012-02-23,PICO,0,,0,
12635892,18,2012-02-29,MPICO,383,PTO,.5,
12635892,24,2012-03-28,M865,0,,0,
12635892,25,2012-03-28,RPICO,0,,0,
12635892,27,2012-04-04,FAIA,0,,0,
12635892,28,2012-04-04,EXIA,0,,0,
12635892,29,2012-04-11,MEXIA,0,,0,
12635892,30,2012-04-11,MFAIA,0,,0,
12635892,26,2012-04-13,FWDX,0,,0,
12635892,32,2012-05-11,A...,0,,0,
12483577,1,2009-06-12,IEXX,0,,0,
12483577,3,2009-06-12,WIDS,0,,0,
12483577,5,2009-06-12,APPERMS,0,,0,
12483577,9,2009-06-12,M844,0,,0,
12483577,10,2009-06-12,RCAP,0,,0,
12483577,29,2009-06-12,IDSC,0,,0,
12866480,46,2012-08-20,D1935,0,,0,
12866480,48,2012-09-18,PTAC,0,,0,
12866480,48.5,2012-09-18,PTA36M,0,PTO,48.4,
12866480,48.4,2010-08-06,COMMN,0,,0,
12412910,21,2010-02-25,DOCK,0,,0,
12412910,22,2010-04-29,DOCK,0,,0,
12412910,24,2011-02-10,CTNF,0,,0,
12412910,25,2011-02-14,MCTNF,263,PTO,.5,
12412910,26,2011-02-14,EML_NTF,0,,0,
12412910,27,2011-02-14,ELC_RVW,0,,0,
12412910,28,2011-02-23,WIDS,0,,0,
12412910,29,2011-02-23,M844,0,,0,
12412910,32,2011-02-23,IDSC,0,,0,
12412910,30,2011-05-12,A...,0,,0,
12412910,31,2011-05-19,FWDX,0,,0,
12412910,33,2011-07-27,CTFR,0,,0,
