application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09797873,5,2001-04-13,INCD,0,,0,
10706899,5,2004-02-11,COMP,0,,0,
10706899,7,2004-02-11,COMP,0,,0,
10706899,10,2004-03-23,DOCK,0,,0,
10706899,11,2004-03-23,TSSCOMP,0,,0,
10706899,12,2004-10-21,CTRS,0,,0,
10706899,13,2004-10-26,MCTRS,0,,0,
10706899,14,2004-11-10,WAMD,0,,0,
10706899,15,2004-11-10,ELC.,0,,0,
10706899,16,2004-11-22,FWDX,0,,0,
10706899,18,2004-11-29,EX.A,0,,0,
10706899,20,2004-12-01,N/=.,0,,0,
10706899,21,2004-12-06,MEX.A,0,,0,
10706899,22,2004-12-06,MN/=.,0,,0,
10354799,1,2003-01-29,IEXX,0,,0,
10354799,11,2003-01-29,M844,0,,0,
10354799,12,2003-01-29,RQPR,0,,0,
10354799,2,2003-02-14,SCAN,0,,0,
10354799,3,2003-03-14,INCD,0,,0,
10354799,4,2003-05-06,CORRDRW,0,,0,
10354799,5,2003-05-06,OATHDECL,0,,0,
10354799,6,2003-05-06,ADDFLFEE,0,,0,
10354799,10,2003-05-06,C614,0,,0,
10354799,7,2003-06-03,COMP,0,,0,
10354799,8,2003-06-18,OIPE,0,,0,
10354799,9,2003-06-30,TI1050,0,,0,
10354799,13,2003-07-25,DOCK,0,,0,
10354799,14,2003-11-03,CTNF,0,,0,
10354799,15,2003-11-10,MCTNF,0,,0,
10354799,16,2004-02-13,A...,3,APPL,15,
10354799,18,2004-02-13,C614,0,,0,
10354799,17,2004-03-03,FWDX,0,,0,
10354799,19,2004-03-03,TSSA,0,,0,
10354799,20,2004-04-19,CTFR,0,,0,
10354799,21,2004-04-23,MCTFR,0,,0,
10354799,22,2004-06-17,WAMD,0,,0,
10354799,23,2004-06-17,A.NE,0,,0,
10354799,24,2004-06-23,FWDX,0,,0,
10354799,25,2004-07-08,CTAV,0,,0,
10354799,26,2004-07-12,MCTAV,0,,0,
10354799,27,2004-08-26,EXIN,0,,0,
10354799,28,2004-10-18,WAMD,0,,0,
10354799,29,2004-10-18,XT/G,0,,0,
10354799,36,2004-10-18,C614,0,,0,
10354799,30,2004-10-25,BRCE,0,,0,
