application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09606873,8,2000-06-28,M844,0,,0,
09606873,2,2000-07-21,SCAN,0,,0,
09606873,3,2000-08-24,C.AD,0,,0,
09606873,4,2000-08-25,INCD,0,,0,
09606873,5,2000-11-27,COMP,152,APPL,-1,
09606873,6,2000-11-27,OIPE,0,,0,
09606873,7,2000-12-18,DOCK,0,,0,
09606873,9,2001-06-20,CTNF,0,,0,
09606873,10,2001-06-21,MCTNF,0,,0,
09606873,11,2001-09-24,A...,3,APPL,10,
09606873,12,2001-10-02,FWDX,0,,0,
09606873,13,2001-10-04,EXIN,0,,0,
09606873,15,2001-10-09,N/=.,0,,0,
09606873,16,2001-10-09,MN/=.,0,,0,
09822319,1,2001-03-30,IEXX,0,,0,
09822319,2,2001-04-15,SCAN,0,,0,
09822319,3,2001-05-08,C.AD,0,,0,
09822319,4,2001-05-11,OIPE,0,,0,
09822319,5,2001-06-05,DOCK,0,,0,
09822319,7,2001-08-08,N/=.,0,,0,
09822319,8,2001-08-08,MN/=.,0,,0,
09822319,11,2001-08-28,DRWM,0,,0,
09822319,14,2001-08-28,N084,0,,0,
09822319,9,2001-08-28,DRWR,56,APPL,9,
09822319,10,2001-08-28,DRWI,0,,0,
09822319,12,2001-08-28,DRWF,0,,0,
09822319,13,2001-09-18,DRWS,0,,0,
09822319,15,2001-09-20,PILS,0,,0,
09822319,16,2001-10-23,PTAC,0,,0,
09785828,12,2001-08-20,A...,2,APPL,9,
09785828,13,2001-08-28,FWDX,0,,0,
09785828,15,2001-08-30,DISQ,0,,0,
09785828,17,2001-10-05,N/=.,0,,0,
09785828,18,2001-10-05,MN/=.,0,,0,
09788183,7,2001-02-16,A.PE,0,,0,
09788183,1,2001-02-16,IEXX,0,,0,
09788183,2,2001-03-16,SCAN,0,,0,
09788183,3,2001-04-19,C.AD,0,,0,
09788183,4,2001-04-20,COMP,0,,0,
09788183,5,2001-06-01,OIPE,0,,0,
09788183,6,2001-06-19,DOCK,0,,0,
09788183,8,2001-07-09,A.PE,0,,0,
09788183,9,2001-07-09,M844,0,,0,
09788183,10,2001-07-09,AF/D,0,,0,
09788183,12,2001-10-05,N/=.,0,,0,
09788183,13,2001-10-05,MN/=.,0,,0,
09668062,1,2000-09-25,IEXX,0,,0,
09668062,6,2000-10-06,PET.,0,,0,
09668062,2,2000-10-11,SCAN,0,,0,
09668062,3,2000-11-02,C.AD,0,,0,
09668062,4,2000-11-06,OIPE,0,,0,
09668062,5,2001-02-20,DOCK,0,,0,
09668062,7,2001-03-13,MPTGR,0,,0,
09668062,8,2001-04-19,CTNF,0,,0,
09668062,9,2001-04-24,MCTNF,0,,0,
09668062,10,2001-08-20,XT/G,0,,0,
09668062,11,2001-08-20,LTDR,0,,0,
09668062,12,2001-08-20,A...,27,APPL,9,
09668062,13,2001-08-24,FWDX,0,,0,
09668062,14,2001-08-29,CTFR,0,,0,
09668062,15,2001-08-29,MCTFR,0,,0,
09668062,16,2001-09-24,A.NE,0,,0,
09668062,17,2001-09-27,FWDX,0,,0,
09668062,19,2001-10-04,N/=.,0,,0,
09668062,20,2001-10-04,MN/=.,0,,0,
09684867,1,2000-10-06,IEXX,0,,0,
09684867,7,2000-10-06,M844,0,,0,
09684867,2,2000-11-14,SCAN,0,,0,
09684867,3,2000-11-22,C.AD,0,,0,
09684867,4,2000-11-30,C.AD,0,,0,
09684867,5,2000-12-08,OIPE,0,,0,
09684867,6,2000-12-29,DOCK,0,,0,
09684867,8,2001-02-22,M844,0,,0,
09684867,9,2001-07-02,CTNF,0,,0,
09684867,10,2001-07-05,MCTNF,0,,0,
09684867,11,2001-09-24,A...,0,,0,
09684867,12,2001-10-03,FWDX,0,,0,
09684867,14,2001-10-05,N/=.,0,,0,
09684867,15,2001-10-05,MN/=.,0,,0,
09060679,20,2000-10-31,BCPA,0,,0,
09060679,21,2000-10-31,XT/G,0,,0,
09060679,23,2000-10-31,XT/G,0,,0,
09060679,22,2000-10-31,XT/G,0,,0,
09060679,25,2000-10-31,MABN3,0,,0,
09060679,26,2000-10-31,ACPA,0,,0,
09060679,28,2000-10-31,A.PE,0,,0,
09060679,24,2000-10-31,ABN3,0,,0,
09060679,27,2000-11-29,FWDX,0,,0,
09060679,29,2000-12-06,CTNF,0,,0,
09060679,30,2000-12-07,MCTNF,0,,0,
09060679,31,2001-03-21,XT/G,0,,0,
09060679,32,2001-03-21,A...,14,APPL,30,
09060679,33,2001-03-27,FWDX,0,,0,
