application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10610144,11,2003-09-25,WROIPE,0,,0,
10610144,10,2003-09-25,COMP,0,,0,
10610144,13,2003-09-25,WROIPE,0,,0,
10610144,15,2003-11-03,TSSCOMP,0,,0,
10610144,16,2003-11-03,DOCK,0,,0,
10610144,17,2003-11-03,DOCK,0,,0,
10610144,18,2004-03-10,CTNF,0,,0,
10610144,19,2004-03-17,MCTNF,0,,0,
10610144,22,2004-06-17,A...,0,,0,
10610144,21,2004-06-17,WAMD,0,,0,
10610144,20,2004-06-17,WAMD,0,,0,
10610144,23,2004-06-29,FWDX,0,,0,
10610144,24,2004-07-01,CTFR,0,,0,
10610144,25,2004-07-02,MCTFR,0,,0,
10610144,26,2004-08-30,WAMD,0,,0,
10610144,27,2004-08-30,WAMD,0,,0,
10610144,29,2004-08-30,A.NE,0,,0,
10610144,30,2004-09-02,FWDX,0,,0,
10610144,33,2004-09-09,N/=.,0,,0,
10610144,32,2004-09-09,DOCK,0,,0,
10610144,35,2004-09-10,MN/=.,0,,0,
10073198,1,2002-02-13,IEXX,0,,0,
10073198,6,2002-02-13,M844,0,,0,
10073198,2,2002-02-27,SCAN,0,,0,
10073198,3,2002-03-08,COMP,0,,0,
10073198,4,2002-03-12,OIPE,0,,0,
10073198,5,2002-03-22,DOCK,0,,0,
10073198,7,2002-03-26,DOCK,0,,0,
10073198,8,2002-03-26,DOCK,0,,0,
10073198,9,2003-09-17,CTNF,0,,0,
10073198,10,2003-09-24,MCTNF,164,PTO,-1,
10073198,11,2004-01-23,XT/G,0,,0,
10073198,12,2004-01-23,A...,30,APPL,10,
10073198,13,2004-02-09,FWDX,0,,0,
10073198,14,2004-04-08,CTFR,0,,0,
10073198,15,2004-04-09,MCTFR,0,,0,
10073198,17,2004-06-24,A.NE,0,,0,
10073198,16,2004-06-24,WAMD,0,,0,
10427497,1,2003-04-30,IEXX,0,,0,
10427497,2,2003-05-16,SCAN,0,,0,
10427497,4,2003-06-26,OIPE,0,,0,
10427497,3,2003-06-27,COMP,0,,0,
10427497,5,2003-07-22,DOCK,0,,0,
10427497,6,2003-10-20,TSSCOMP,0,,0,
10427497,7,2004-03-03,C614,0,,0,
10427497,15,2004-03-03,C614,0,,0,
10427497,8,2004-03-22,CTNF,0,,0,
10427497,9,2004-03-29,MCTNF,0,,0,
10427497,11,2004-07-01,A...,2,APPL,9,
10266628,2,2002-10-18,SCAN,0,,0,
10266628,4,2002-11-15,CPAP,0,,0,
10266628,5,2003-01-15,CORRDRW,0,,0,
10266628,6,2003-01-15,ADDFLFEE,0,,0,
10266628,8,2003-01-28,COMP,0,,0,
10266628,9,2003-02-03,OIPE,0,,0,
10266628,10,2003-06-09,DOCK,0,,0,
10266628,16,2003-06-11,M844,0,,0,
10266628,14,2003-06-20,CTNF,0,,0,
10266628,15,2003-06-24,MCTNF,0,,0,
10266628,17,2003-09-24,A...,0,,0,
10266628,18,2003-10-02,FWDX,0,,0,
10266628,19,2003-12-09,CTFR,0,,0,
10266628,20,2003-12-10,MCTFR,0,,0,
10266628,21,2004-01-28,M844,0,,0,
10266628,22,2004-02-12,EXIN,0,,0,
10266628,23,2004-03-03,MEXIN,0,,0,
10266628,24,2004-03-10,A.NE,0,,0,
10266628,25,2004-03-15,FWDX,0,,0,
10266628,26,2004-03-20,CTAV,0,,0,
10266628,27,2004-03-24,MCTAV,0,,0,
10266628,28,2004-04-09,BRCE,0,,0,
10266628,29,2004-04-09,WAMD,0,,0,
10266628,34,2004-04-09,M844,0,,0,
10266628,32,2004-04-09,RCEX,30,APPL,20,
10266628,30,2004-04-09,XT/G,0,,0,
10266628,31,2004-04-20,ABN9,0,,0,
10266628,33,2004-04-20,FWDX,0,,0,
10266628,35,2004-05-14,CTNF,0,,0,
10266628,36,2004-05-18,MCTNF,0,,0,
10266628,37,2004-08-18,WAMD,0,,0,
10266628,38,2004-08-18,A...,0,,0,
10266628,39,2004-08-31,FWDX,0,,0,
10266628,41,2004-09-07,N/=.,0,,0,
10266628,43,2004-09-10,MN/=.,0,,0,
10247549,24,2002-09-20,RCAP,0,,0,
10247549,1,2002-09-20,IEXX,0,,0,
10247549,10,2002-09-20,M844,0,,0,
10247549,11,2002-09-20,RQPR,0,,0,
10247549,2,2002-09-28,SCAN,0,,0,
10247549,3,2002-10-07,SCAN,0,,0,
10247549,4,2002-10-15,INCD,0,,0,
10247549,5,2002-12-16,OATHDECL,0,,0,
10247549,6,2002-12-16,ADDFLFEE,0,,0,
