application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12068399,80.5,2010-12-05,PTA36M,0,PTO,.5,
12874667,35,2011-04-08,D1935,0,,0,
12874667,37,2011-05-10,PTAC,0,,0,
12874667,37.5,2011-05-10,PTA36M,0,PTO,.5,
11460849,1,2006-07-28,IEXX,0,,0,
11460849,6,2006-07-28,WIDS,0,,0,
11460849,6.7,2006-07-28,EIDS.,0,,0,
11460849,13,2006-07-28,IDSC,0,,0,
11460849,2,2006-08-03,SCAN,0,,0,
11460849,3,2006-08-09,L194,0,,0,
11460849,4,2006-08-15,COMP,0,,0,
11460849,5,2006-08-15,OIPE,0,,0,
11460849,7,2006-08-19,TSSCOMP,0,,0,
11460849,8,2007-08-17,TI1050,0,,0,
11460849,9,2007-08-18,DOCK,0,,0,
11460849,10,2008-01-31,PG-ISSUE,0,,0,
11460849,11,2009-03-10,DOCK,0,,0,
11460849,12,2009-03-18,DOCK,0,,0,
11460849,17,2009-04-13,CTNF,0,,0,
11460849,18,2009-04-14,MCTNF,564,PTO,.5,
11460849,19,2009-07-10,A...,0,,0,
11460849,20,2009-09-08,FWDX,0,,0,
11460849,24,2009-10-21,CTFR,0,,0,
11460849,25,2009-10-22,MCTFR,0,,0,
11460849,26,2010-01-22,BRCE,0,,0,
11460849,28,2010-01-22,RCEX,0,,0,
11460849,27,2010-01-26,ABN9,0,,0,
11460849,30,2010-01-26,FWDX,0,,0,
11460849,34,2010-04-12,CTNF,0,,0,
11460849,35,2010-04-14,MCTNF,0,,0,
11460849,36,2010-07-13,A...,0,,0,
11460849,37,2010-07-17,FWDX,0,,0,
11460849,40,2010-09-13,CTFR,0,,0,
11460849,41,2010-09-17,MCTFR,0,,0,
11460849,42,2010-09-17,EML_NTF,0,,0,
11460849,43,2010-09-17,ELC_RVW,0,,0,
11460849,44,2010-12-17,BRCE,0,,0,
11460849,46,2010-12-17,RCEX,0,,0,
11460849,45,2010-12-28,ABN9,0,,0,
11460849,48,2010-12-28,FWDX,0,,0,
11997622,7,2008-06-30,CRFL,0,,0,
11997622,8,2008-06-30,SEQLIST,0,,0,
11997622,10,2008-06-30,ADDFLFEE,0,,0,
11997622,6,2008-08-08,CRFE,0,,0,
11997622,11,2009-02-03,M903,0,,0,
11997622,12,2009-02-03,FLRCPT.O,0,,0,
11997622,13,2009-02-03,PGPC,0,,0,
11997622,16,2009-02-04,PET.,0,,0,
11997622,15,2009-02-16,OIPE,0,,0,
11997622,17,2009-04-03,TSSCOMP,0,,0,
11997622,23,2009-04-30,DOCK,0,,0,
11997622,24,2009-05-14,PG-ISSUE,0,,0,
11997622,25,2009-05-15,EML_NTR,0,,0,
11997622,26,2009-06-03,C.AD,0,,0,
11997622,27,2009-06-04,P033,0,,0,
11997622,28,2009-06-04,MP033,0,,0,
11997622,29,2009-07-14,C.AD,0,,0,
11997622,30,2009-07-20,PA..,0,,0,
11997622,31,2010-03-18,CTRS,0,,0,
11997622,32,2010-03-23,MCTRS,356,PTO,14,
11997622,33,2010-04-22,ELC.,0,,0,
11997622,34,2010-05-04,FWDX,0,,0,
11997622,40,2010-05-12,CTNF,0,,0,
11997622,41,2010-05-20,MCTNF,0,,0,
11997622,42,2010-08-18,M844,0,,0,
11997622,43,2010-08-18,A...,0,,0,
11997622,45,2010-08-18,M844,0,APPL,43,
11997622,46,2010-08-18,WIDS,0,,0,
11997622,48,2010-08-18,IDSC,0,,0,
11997622,44,2010-08-25,FWDX,0,,0,
11997622,47,2010-09-15,CRFE,0,,0,
11997622,49,2010-10-28,CTFR,0,,0,
11997622,50,2010-11-01,MCTFR,0,,0,
11997622,51,2010-11-01,EML_NTF,0,,0,
11997622,52,2010-11-01,ELC_RVW,0,,0,
11997622,53,2010-12-29,A.NE,0,,0,
11997622,54,2010-12-30,FWDX,0,,0,
11997622,55,2011-01-25,CTEQ,0,,0,
11997622,56,2011-01-27,MCTEQ,0,,0,
11997622,57,2011-01-27,EML_NTF,0,,0,
11997622,58,2011-01-27,ELC_RVW,0,,0,
11997622,59,2011-03-28,A.QU,0,,0,
11997622,60,2011-03-30,FWDX,0,,0,
11997622,65,2011-04-13,DOCK,0,,0,
11997622,66,2011-04-13,N/=.,0,,0,
10009036,9,2002-09-30,OATHDECL,0,,0,
10009036,10,2002-09-30,INFODSCL,0,,0,
10009036,11,2002-09-30,ADDFLFEE,0,,0,
10009036,35,2002-11-15,WIDS,0,,0,
10009036,35.7,2002-11-15,M844,0,,0,
10009036,36,2002-11-15,IDSC,0,,0,
10009036,12,2003-01-22,M903,0,,0,
10009036,13,2003-01-31,SCAN,0,,0,
10009036,14,2003-02-10,OIPE,0,,0,
10009036,15,2003-04-10,DOCK,0,,0,
10009036,16,2003-04-14,WIDS,0,,0,
10009036,16.7,2003-04-14,M844,0,,0,
10009036,17,2003-06-11,L126,0,,0,
10009036,18,2003-07-31,C.AD,0,,0,
10009036,19,2003-07-31,L194,0,,0,
10009036,20,2003-08-22,TSSCOMP,0,,0,
10009036,21,2005-06-28,DOCK,0,,0,
10009036,22,2005-07-18,PA..,0,,0,
10009036,23,2005-07-18,C.AD,0,,0,
10009036,24,2005-10-21,DOCK,0,,0,
10009036,25,2005-11-01,CTRS,0,,0,
10009036,26,2005-11-04,MCTRS,705,PTO,-1,
10009036,27,2005-12-05,ELC.,0,,0,
10009036,28,2005-12-07,FWDX,0,,0,
10009036,29,2005-12-22,CTNF,0,,0,
10009036,30,2005-12-29,MCTNF,0,,0,
10009036,31,2006-06-28,XT/G,0,,0,
10009036,32,2006-06-28,A...,91,APPL,30,
10009036,34,2006-06-28,AF/D,0,,0,
10009036,33,2006-07-10,FWDX,0,,0,
10009036,37,2006-09-18,CTFR,0,,0,
10009036,38,2006-09-22,MCTFR,0,,0,
10009036,39,2007-01-22,XT/G,0,,0,
10009036,40,2007-01-22,A.NE,0,,0,
10009036,41,2007-02-13,FWDX,0,,0,
10009036,42,2007-02-21,CTAV,0,,0,
10009036,44,2007-02-22,XT/G,0,,0,
10009036,45,2007-02-22,N/AP,62,APPL,38,
10009036,43,2007-02-23,MCTAV,0,,0,
10009036,49,2007-08-22,RCEX,181,,45,
10009036,51,2007-08-22,BRCE,0,,0,
10009036,52,2007-09-07,SA..,16,APPL,49,
10009036,47,2007-09-13,FWDX,0,,0,
10009036,48,2007-09-13,ABN9,0,,0,
10009036,50,2007-09-13,FWDX,0,,0,
10009036,53,2007-09-13,FWDX,0,,0,
10009036,54,2007-10-16,DOCK,0,,0,
10009036,56,2007-11-20,CTNF,0,,0,
10009036,57,2007-11-23,MCTNF,0,,0,
10009036,58,2008-05-23,XT/G,0,,0,
10009036,59,2008-05-23,A...,90,APPL,57,
10009036,61,2008-05-23,AF/D,0,,0,
10009036,62,2008-05-27,SA..,4,APPL,59,
10009036,60,2008-06-11,FWDX,0,,0,
