application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13137382,10,2011-10-03,C.AD,0,,0,
13137382,11,2011-10-03,DOCK,0,,0,
13137382,16,2011-10-17,CTNF,0,,0,
13137382,18,2011-10-19,MCTNF,0,,0,
13137382,19,2011-12-08,PG-ISSUE,0,,0,
13137382,20,2012-01-18,DIST,0,,0,
13137382,21,2012-01-18,A...,0,,0,
13137382,22,2012-01-20,FWDX,0,,0,
13137382,23,2012-02-16,P574,0,,0,
13137382,25,2012-02-23,EX.A,0,,0,
13137382,26,2012-02-29,N/=.,0,,0,
13137382,27,2012-02-29,DVER,0,,0,
13137382,31,2012-03-01,MN/=.,0,,0,
13137382,.5,2011-08-10,EFILE,0,,0,
13137382,35,2012-05-21,N084,0,,0,
13137382,34,2012-05-21,IFEE,0,,0,
13137382,36,2012-05-22,PILS,0,,0,
13137382,37,2012-05-22,D1935,0,,0,
13137382,38,2012-06-08,D1935,0,,0,
13137382,39,2012-07-03,PTAC,0,,0,
13137382,39.5,2012-07-03,PTA36M,0,PTO,.5,
11749854,15,2008-07-08,WIDS,0,,0,
11749854,17,2008-07-08,EIDS.,0,,0,
11749854,24,2008-07-08,IDSC,0,,0,
11749854,16,2008-09-16,WIDS,0,,0,
11749854,19,2008-09-16,EIDS.,0,,0,
11749854,23,2008-09-16,IDSC,0,,0,
11749854,18,2008-10-06,DOCK,0,,0,
11749854,20,2009-06-05,WIDS,0,,0,
11749854,21,2009-06-05,EIDS.,0,,0,
11749854,22,2009-06-05,IDSC,0,,0,
11749854,27,2011-06-19,CTNF,0,,0,
11749854,29,2011-06-23,MCTNF,669,PTO,.5,
11749854,30,2011-09-12,A...,0,,0,
11749854,32,2011-09-12,DIST,0,APPL,30,
11749854,31,2011-09-22,FWDX,0,,0,
11749854,33,2011-11-08,P574,0,,0,
11749854,41,2012-02-15,EXIE,0,,0,
11749854,40,2012-02-16,EX.A,0,,0,
11749854,42,2012-02-17,DVER,0,,0,
11749854,48,2012-03-01,N/=.,0,,0,
11749854,53,2012-03-05,MN/=.,0,PTO,30,
11749854,.5,2007-05-17,EFILE,0,,0,
11749854,56,2012-06-04,IFEE,0,,0,
11749854,57,2012-06-04,N084,0,,0,
11749854,58,2012-06-05,PILS,0,,0,
11749854,59,2012-06-05,D1935,0,,0,
11749854,61,2012-07-03,PTAC,0,,0,
11749854,61.5,2012-07-03,PTA36M,778,PTO,.5,
11749854,29,2011-06-23,MCTNF,402,,.5,
11749854,53,2012-03-05,MN/=.,53,,30,
12023606,51,2012-03-05,MN/=.,0,,0,
12023606,.5,2008-01-31,EFILE,0,,0,
12023606,53,2012-03-07,ELC_RVW,0,,0,
12023606,57,2012-06-05,N084,0,,0,
12023606,56,2012-06-05,IFEE,0,,0,
12023606,58,2012-06-06,PILS,0,,0,
12023606,59,2012-06-06,D1935,0,,0,
12023606,61,2012-07-03,PTAC,0,,0,
12023606,61.5,2012-07-03,PTA36M,519,PTO,.5,
12023606,28,2011-11-14,MCTNF,287,,.5,
11801542,5,2007-11-27,FLRCPT.O,0,,0,
11801542,6,2007-11-27,W/OA,0,,0,
11801542,7,2008-02-01,ADDFLFEE,0,,0,
11801542,9,2008-08-05,FLRCPT.O,0,,0,
11801542,10,2008-08-05,INCD,0,,0,
11801542,11,2008-08-05,MPEN,0,,0,
