application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12075657,32,2009-09-29,WIDS,0,,0,
12075657,33,2009-09-29,M844,0,,0,
12075657,34,2009-09-29,RCAP,0,,0,
12075657,35,2009-09-29,IDSC,0,,0,
12075657,44,2010-05-10,CTNF,0,,0,
12075657,45,2010-05-17,MCTNF,369,PTO,.5,
12075657,46,2010-11-15,XT/G,0,,0,
12075657,47,2010-11-15,A...,90,APPL,45,
12075657,49,2010-11-15,M844,0,,0,
12075657,50,2010-11-15,DIST,0,APPL,47,
12075657,66,2010-11-15,WIDS,0,,0,
12075657,67,2010-11-15,IDSC,0,,0,
12403915,53,2011-07-11,WIDS,0,,0,
12403915,55,2011-07-12,CNOA,0,,0,
12403915,57,2011-07-14,MCNOA,0,,0,
12403915,60,2011-07-28,N084,0,,0,
12403915,59,2011-07-28,IFEE,0,,0,
12403915,61,2011-07-29,PILS,0,,0,
12403915,62,2011-07-29,D1935,0,,0,
12403915,65,2011-09-20,PTAC,0,,0,
12403915,65.5,2011-09-20,PTA36M,0,PTO,.5,
12496329,22,2011-04-06,XT/G,0,,0,
12496329,23,2011-04-06,A...,14,APPL,20,
12496329,25,2011-04-06,M844,0,APPL,23,
12496329,26,2011-04-06,RCAP,0,,0,
12496329,27,2011-04-06,WIDS,0,,0,
12496329,28,2011-04-06,IDSC,0,,0,
12496329,24,2011-04-07,FWDX,0,,0,
12496329,32,2011-05-13,DVER,0,,0,
12496329,33,2011-05-13,N/=.,0,,0,
12496329,35,2011-05-16,MN/=.,0,,0,
12496329,.5,2009-07-01,EFILE,0,,0,
12496329,39,2011-08-16,DRWF,36,APPL,0,
12496329,38,2011-08-16,IFEE,0,,0,
12496329,40,2011-08-16,N084,0,,0,
12496329,41,2011-08-17,PILS,0,,0,
12496329,42,2011-08-17,D1935,0,,0,
12496329,44,2011-09-20,PTAC,0,,0,
12496329,44.5,2011-09-20,PTA36M,0,PTO,.5,
12520536,1,2009-06-20,IEXX,0,,0,
12520536,2,2009-06-20,SCAN,0,,0,
12520536,3,2009-06-20,L194,0,,0,
12520536,4,2009-06-20,WIDS,0,,0,
12520536,8,2009-06-20,371COMP,0,,0,
12520536,11,2009-06-20,M844,0,,0,
12520536,12,2009-06-20,RCAP,0,,0,
12520536,13,2009-06-20,RQPR,0,,0,
12520536,14,2009-06-20,A.PE,0,,0,
12520536,15,2009-06-20,C604,0,,0,
13014530,34,2011-07-18,EX.R,0,,0,
13014530,35,2011-07-19,N/=.,0,,0,
13014530,36,2011-07-19,DVER,0,,0,
13014530,40,2011-07-25,MN/=.,0,,0,
13014530,.5,2011-01-26,EFILE,0,,0,
13014530,45,2011-08-15,N084,0,,0,
13014530,44,2011-08-15,IFEE,0,,0,
13014530,46,2011-08-16,PILS,0,,0,
13014530,47,2011-08-24,D1935,0,,0,
13014530,50,2011-09-20,PTAC,0,,0,
13014530,50.5,2011-09-20,PTA36M,0,PTO,.5,
11588830,39,2009-07-23,A...,0,,0,
11588830,40,2009-08-26,FWDX,0,,0,
11588830,41,2009-11-09,CTFR,0,,0,
11588830,42,2009-11-16,MCTFR,0,,0,
11588830,43,2009-11-16,EML_NTF,0,,0,
11588830,44,2009-11-16,ELC_RVW,0,,0,
11588830,45,2010-02-09,BRCE,0,,0,
11588830,47,2010-02-09,RCEX,0,,0,
11588830,46,2010-02-14,ABN9,0,,0,
11588830,49,2010-02-14,FWDX,0,,0,
11588830,50,2010-04-02,CTNF,0,,0,
11588830,51,2010-04-07,MCTNF,0,,0,
11588830,52,2010-04-07,EML_NTF,0,,0,
11588830,53,2010-04-07,ELC_RVW,0,,0,
11588830,54,2010-07-07,A...,0,,0,
11588830,55,2010-07-14,FWDX,0,,0,
11588830,56,2010-09-30,CTFR,0,,0,
11588830,57,2010-10-05,MCTFR,0,,0,
11588830,58,2010-10-05,EML_NTF,0,,0,
11588830,59,2010-10-05,ELC_RVW,0,,0,
11588830,60,2011-01-05,BRCE,0,,0,
11588830,62,2011-01-05,RCEX,0,,0,
11588830,63,2011-01-05,DIST,0,,0,
11588830,61,2011-01-10,ABN9,0,,0,
11588830,65,2011-01-10,FWDX,0,,0,
11588830,66,2011-03-29,DOCK,0,,0,
11588830,67,2011-04-04,P574,0,,0,
11588830,69,2011-05-11,DVER,0,,0,
11588830,70,2011-05-11,N/=.,0,,0,
11588830,72,2011-05-17,MN/=.,12,PTO,62,
11588830,.5,2006-10-27,EFILE,0,,0,
11588830,77,2011-08-17,IFEE,0,,0,
11588830,78,2011-08-17,N084,0,,0,
11588830,79,2011-08-18,PILS,0,,0,
11588830,80,2011-08-18,D1935,0,,0,
11588830,81,2011-09-20,PTAC,0,,0,
11588830,81.5,2010-02-08,PTA36M,104,PTO,.5,
12265305,1,2008-11-05,IEXX,0,,0,
12265305,2,2008-11-05,SCAN,0,,0,
12265305,3,2008-11-12,L194,0,,0,
12265305,5,2008-11-22,PGPC,0,,0,
12265305,4,2008-11-24,FLRCPT.O,0,,0,
12265305,6,2008-12-08,OIPE,0,,0,
12265305,7,2008-12-17,RQPR,0,,0,
12265305,8,2009-04-10,TSSCOMP,0,,0,
12265305,9,2009-04-10,DOCK,0,,0,
12265305,10,2009-06-11,PG-ISSUE,0,,0,
12265305,11,2010-05-13,DOCK,0,,0,
12265305,12,2010-06-29,DOCK,0,,0,
