application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12898393,67,2014-04-02,PILS,0,,0,
12898393,68,2014-04-03,D1935,0,,0,
12898393,70,2014-05-06,PTAC,0,,0,
12898393,70.5,2014-05-06,PTA36M,213,PTO,.5,
13166548,33,2014-01-27,DVER,0,,0,
13166548,34,2014-01-27,N/=.,0,,0,
13166548,38,2014-01-31,MN/=.,0,,0,
13166548,.5,2011-06-22,EFILE,0,,0,
13166548,43,2014-03-14,IFEE,0,,0,
13166548,44,2014-03-14,N084,0,,0,
13166548,45,2014-04-03,PILS,0,,0,
13166548,46,2014-04-03,D1935,0,,0,
13166548,48,2014-05-06,PTAC,0,,0,
13166548,48.5,2014-05-06,PTA36M,0,PTO,.5,
13327346,38,2014-03-20,IFEE,0,,0,
13327346,39,2014-03-20,N084,0,,0,
13327346,41,2014-04-08,PILS,0,,0,
13327346,42,2014-04-08,D1935,0,,0,
13327346,44,2014-05-06,PTAC,0,,0,
13327346,44.5,2014-05-06,PTA36M,0,PTO,.5,
13118400,26,2013-11-16,ELC.,0,,0,
13118400,27,2013-11-20,FWDX,0,,0,
13118400,31,2014-02-14,CTNF,0,,0,
13118400,33,2014-02-24,MCTNF,0,,0,
13118400,34,2014-02-24,EML_NTF,0,,0,
13118400,35,2014-02-24,ELC_RVW,0,,0,
13118400,36,2014-02-25,A...,0,,0,
13118400,38,2014-02-25,LTDR,0,,0,
13118400,37,2014-03-03,FWDX,0,,0,
13118400,43,2014-03-05,EX.R,0,,0,
13118400,44,2014-03-16,DVER,0,,0,
13118400,46,2014-03-16,DOCK,0,,0,
13118400,47,2014-03-16,N/=.,0,,0,
13118400,50,2014-03-20,MN/=.,0,,0,
13118400,.5,2011-05-28,EFILE,0,,0,
13118400,57,2014-04-07,PILS,0,,0,
13118400,58,2014-04-07,D1935,0,,0,
13118400,60,2014-05-06,PTAC,0,,0,
13118400,60.5,2014-05-06,PTA36M,0,PTO,.5,
13597862,1,2012-08-29,IEXX,0,,0,
13597862,2,2012-08-29,SCAN,0,,0,
13597862,3,2012-08-29,WIDS,0,,0,
12866501,10,2010-10-04,OIPE,0,,0,
12866501,13,2010-12-23,PG-ISSUE,0,,0,
12866501,14,2010-12-24,EML_NTR,0,,0,
12866501,15,2011-05-27,DOCK,0,,0,
12866501,16,2011-10-17,DOCK,0,,0,
12866501,24,2012-07-15,CTNF,0,,0,
12866501,26,2012-07-19,MCTNF,287,PTO,7,
12866501,27,2012-07-19,EML_NTF,0,,0,
12866501,28,2012-07-19,ELC_RVW,0,,0,
12866501,29,2012-10-19,A...,0,,0,
12866501,30,2012-10-23,FWDX,0,,0,
12866501,31,2012-12-27,CTFR,0,,0,
12866501,33,2013-01-07,MCTFR,0,,0,
12866501,34,2013-01-07,EML_NTF,0,,0,
12866501,35,2013-01-07,ELC_RVW,0,,0,
12866501,36,2013-04-09,XT/G,0,,0,
12866501,37,2013-04-09,N/AP,2,APPL,33,
12866501,39,2013-06-10,AP.B,0,,0,
12866501,38,2013-06-11,APBR,0,,0,
12866501,40,2013-06-11,FWDX,0,,0,
12866501,41,2013-08-20,CTNF,0,,0,
12866501,43,2013-08-26,MCTNF,140,,37,
12866501,44,2013-08-26,EML_NTF,0,,0,
12866501,45,2013-08-26,ELC_RVW,0,,0,
12866501,46,2013-11-26,A...,0,,0,
12866501,47,2013-12-03,FWDX,0,,0,
12866501,49,2014-02-11,EX.R,0,,0,
12866501,50,2014-02-14,N/=.,0,,0,
12866501,51,2014-02-14,DVER,0,,0,
12866501,54,2014-02-20,MN/=.,0,,0,
12866501,.5,2008-02-12,NEFILE,0,,0,
12866501,58,2014-03-21,IFEE,0,,0,
12866501,60,2014-03-21,N084,0,,0,
12866501,61,2014-04-08,PILS,0,,0,
12866501,62,2014-04-09,D1935,0,,0,
12866501,64,2014-05-06,PTAC,0,,0,
12866501,64.5,2014-05-06,PTA36M,133,PTO,64.4,
13340014,45,2013-10-10,MCTFR,0,,0,
13340014,46,2013-10-10,EML_NTF,0,,0,
13340014,48,2013-10-18,PST_CRD,0,,0,
13340014,49,2014-02-05,BRCE,0,,0,
13340014,50,2014-02-05,XT/G,0,,0,
13340014,52,2014-02-05,RCEX,26,APPL,45,
13340014,51,2014-02-07,ABN9,0,,0,
13340014,54,2014-02-07,FWDX,0,,0,
13340014,56,2014-02-10,DVER,0,,0,
13340014,57,2014-02-10,N/=.,0,,0,
13340014,60,2014-02-14,MN/=.,0,,0,
13340014,.5,2011-12-29,EFILE,0,,0,
13340014,64,2014-03-18,IFEE,0,,0,
13340014,66,2014-03-18,N084,0,,0,
13340014,67,2014-04-04,PILS,0,,0,
13340014,68,2014-04-04,D1935,0,,0,
13340014,70,2014-05-06,PTAC,0,,0,
13340014,70.5,2014-02-04,PTA36M,0,PTO,.5,
13862221,1,2013-04-12,IEXX,0,,0,
13862221,2,2013-04-12,BIG.,0,,0,
13862221,3,2013-04-12,SCAN,0,,0,
13862221,4,2013-04-12,WIDS,0,,0,
13862221,7,2013-04-12,APPERMS,0,,0,
13862221,8,2013-04-12,PDREQUST,0,,0,
13862221,14,2013-04-12,M844,0,,0,
13862221,15,2013-04-12,RCAP,0,,0,
13862221,20,2013-04-12,IDSC,0,,0,
13862221,5,2013-04-13,L198,0,,0,
13862221,6,2013-04-22,L128,0,,0,
13862221,11,2013-05-30,OIPE,0,,0,
13862221,12,2013-05-30,FTFI,0,,0,
13862221,9,2013-05-31,FLRCPT.O,0,,0,
13862221,10,2013-05-31,COMP,0,,0,
13862221,13,2013-05-31,PA..,0,,0,
13862221,16,2013-06-04,DOCK,0,,0,
13862221,17,2013-06-04,C602,0,,0,
13862221,21,2013-07-15,CTNF,0,,0,
13862221,23,2013-07-17,MCTNF,0,,0,
13550842,29,2013-12-19,N/=.,0,,0,
13550842,32,2013-12-24,MN/=.,0,,0,
13550842,.5,2012-07-17,EFILE,0,,0,
13550842,34,2013-12-26,ELC_RVW,0,,0,
13550842,37,2014-03-21,IFEE,0,,0,
13550842,38,2014-03-21,N084,0,,0,
13550842,40,2014-04-08,D1935,0,,0,
13550842,39,2014-04-08,PILS,0,,0,
13550842,42,2014-05-06,PTAC,0,,0,
13550842,42.5,2014-05-06,PTA36M,0,PTO,.5,
11809536,9,2007-09-21,COMP,0,,0,
11809536,10,2007-09-21,PGPC,0,,0,
11809536,11,2007-10-02,OIPE,0,,0,
11809536,13,2007-11-27,TSSCOMP,0,,0,
11809536,14,2008-01-03,PG-ISSUE,0,,0,
11809536,15,2008-05-02,DOCK,0,,0,
11809536,16,2008-05-08,WIDS,0,,0,
11809536,71,2008-05-08,IDSC,0,,0,
11809536,17,2008-06-17,WIDS,0,,0,
11809536,70,2008-06-17,IDSC,0,,0,
11809536,18,2008-09-05,WIDS,0,,0,
11809536,21,2008-09-05,M844,0,,0,
11809536,22,2008-09-05,RCAP,0,,0,
11809536,69,2008-09-05,IDSC,0,,0,
11809536,19,2008-09-30,WIDS,0,,0,
11809536,23,2008-09-30,M844,0,,0,
11809536,24,2008-09-30,RCAP,0,,0,
11809536,68,2008-09-30,IDSC,0,,0,
11809536,20,2008-11-03,C.AD,0,,0,
11809536,25,2008-11-07,PA..,0,,0,
11809536,26,2009-01-22,C.ADB,0,,0,
11809536,27,2009-06-30,DOCK,0,,0,
11809536,28,2009-09-16,WIDS,0,,0,
11809536,72,2009-09-16,IDSC,0,,0,
11809536,29,2009-10-07,DOCK,0,,0,
11809536,30,2010-01-05,M844,0,,0,
11809536,31,2010-01-05,RCAP,0,,0,
11809536,32,2010-01-05,WIDS,0,,0,
11809536,67,2010-01-05,IDSC,0,,0,
11809536,33,2010-02-09,WIDS,0,,0,
11809536,34,2010-02-09,M844,0,,0,
11809536,35,2010-02-09,RCAP,0,,0,
11809536,66,2010-02-09,IDSC,0,,0,
11809536,36,2010-04-05,WIDS,0,,0,
11809536,37,2010-04-05,M844,0,,0,
11809536,38,2010-04-05,RCAP,0,,0,
11809536,65,2010-04-05,IDSC,0,,0,
11809536,39,2010-06-25,WIDS,0,,0,
11809536,40,2010-06-25,M844,0,,0,
11809536,41,2010-06-25,RCAP,0,,0,
11809536,64,2010-06-25,IDSC,0,,0,
11809536,42,2010-08-18,WIDS,0,,0,
11809536,43,2010-08-18,M844,0,,0,
11809536,44,2010-08-18,RCAP,0,,0,
11809536,63,2010-08-18,IDSC,0,,0,
11809536,153,2013-05-22,RCAP,0,,0,
11809536,156,2013-05-22,IDSC,0,,0,
11809536,159,2013-06-04,C.ADB,0,,0,
11809536,161,2013-06-11,CTFR,0,,0,
11809536,163,2013-06-17,MCTFR,11,PTO,143,
11809536,164,2013-06-17,EML_NTF,0,,0,
11809536,165,2013-06-17,ELC_RVW,0,,0,
11809536,166,2013-10-17,BRCE,0,,0,
11809536,167,2013-10-17,XT/G,0,,0,
11809536,169,2013-10-17,RCEX,30,APPL,163,
11809536,168,2013-10-22,ABN9,0,,0,
11809536,171,2013-10-22,FWDX,0,,0,
11809536,172,2013-10-25,WIDS,0,,0,
