application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11188929,30,2006-10-30,IDSC,0,,0,
11188929,23,2006-11-27,WIDS,0,,0,
11188929,23.7,2006-11-27,M844,0,,0,
11188929,29,2006-11-27,IDSC,0,,0,
11188929,24,2007-01-25,PG-ISSUE,0,,0,
11188929,25,2007-08-31,DOCK,0,,0,
11188929,32,2007-11-10,CTNF,0,,0,
11188929,33,2007-11-14,MCTNF,415,PTO,-1,
11188929,34,2008-01-08,A...,0,,0,
11188929,35,2008-01-25,FWDX,0,,0,
11188929,36,2008-03-26,CTFR,0,,0,
11188929,37,2008-03-28,MCTFR,0,,0,
11188929,38,2008-05-27,A.NE,0,,0,
11188929,39,2008-06-03,FWDX,0,,0,
11188929,40,2008-06-27,CTAV,0,,0,
11188929,41,2008-07-01,MCTAV,0,,0,
11188929,42,2008-07-28,XT/G,0,,0,
11188929,43,2008-07-28,N/AP,30,APPL,37,
11188929,44,2008-09-11,AP.B,0,,0,
11188929,44.1,2008-09-11,APBI,0,,0,
11188929,47,2008-09-11,LTDR,0,,0,
11188929,45,2008-09-19,FWDX,0,,0,
11188929,46,2008-09-19,APBR,0,,0,
11188929,48,2008-09-22,APBD,0,,0,
11682392,62,2010-08-20,N084,0,,0,
11682392,63,2010-08-24,PILS,0,,0,
11682392,64,2010-08-30,D1935,0,,0,
11682392,67,2010-09-28,PTAC,0,,0,
11682392,67.5,2010-09-28,PTA36M,206,PTO,0,
10522464,15,2006-04-14,IDSC,0,,0,
10522464,7,2006-04-20,TI1050,0,,0,
10522464,10,2006-05-02,TSSCOMP,0,,0,
10522464,11,2006-06-16,DOCK,0,,0,
10522464,12,2006-11-07,DOCK,0,,0,
10522464,13,2008-09-20,DOCK,0,,0,
10522464,16,2008-10-01,CTNF,0,,0,
10522464,17,2008-10-06,MCTNF,723,PTO,4,
10522464,18,2008-12-06,DOCK,0,,0,
10522464,19,2009-01-05,A...,0,,0,
10522464,20,2009-01-26,FWDX,0,,0,
10522464,23,2009-03-30,CTFR,0,,0,
10522464,24,2009-04-01,MCTFR,0,,0,
10522464,25,2009-05-21,A.NE,0,,0,
10522464,26,2009-05-22,FWDX,0,,0,
10522464,27,2009-05-26,CTAV,0,,0,
10522464,28,2009-05-28,MCTAV,0,,0,
10522464,29,2009-07-21,XT/G,0,,0,
10522464,30,2009-07-21,N/AP,20,APPL,24,
10522464,31,2009-09-11,BRCE,0,,0,
10522464,33,2009-09-11,RCEX,52,,30,
10522464,32,2009-09-12,ABN9,0,,0,
10522464,34,2009-09-12,FWDX,0,,0,
10522464,35,2009-11-23,CTNF,0,,0,
10522464,36,2009-11-24,MCTNF,0,,0,
