application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09891562,4,2001-08-16,OIPE,0,,0,
09891562,8,2001-10-15,M844,0,,0,
09891562,9,2001-10-15,RCAP,0,,0,
10934026,1,2004-09-03,IEXX,0,,0,
10934026,13,2004-09-03,M844,0,,0,
10934026,14,2004-09-03,RCAP,0,,0,
10934026,2,2004-09-24,SCAN,0,,0,
10934026,15,2004-09-29,M844,0,,0,
10934026,4,2004-10-14,L194,0,,0,
10934026,5,2004-10-28,COMP,0,,0,
10934026,6,2004-10-28,OIPE,0,,0,
10934026,7,2004-10-28,ROIPE,0,,0,
10934026,9,2004-10-28,WROIPE,0,,0,
10934026,10,2004-10-28,ROIPE,0,,0,
10934026,11,2004-10-28,WROIPE,0,,0,
10934026,8,2004-10-29,COMP,0,,0,
10934026,12,2005-02-25,DOCK,0,,0,
10934026,16,2005-02-25,TSSCOMP,0,,0,
10934026,17,2005-04-04,CTNF,0,,0,
10934026,18,2005-04-05,MCTNF,0,,0,
10934026,19,2005-05-03,BIG.,0,,0,
10934026,20,2005-05-20,M844,0,,0,
10934026,21,2005-07-25,M844,0,,0,
10934026,22,2005-07-25,RCAP,0,,0,
10934026,23,2005-08-05,XT/G,0,,0,
10934026,24,2005-08-05,C602,0,,0,
10934026,25,2005-08-05,TDP,0,,0,
10934026,26,2005-08-05,TDP,0,,0,
10934026,27,2005-08-05,A...,31,APPL,18,
10934026,29,2005-08-05,DIST,0,,0,
10934026,30,2005-08-05,DIST,0,APPL,27,
10934026,28,2005-08-16,FWDX,0,,0,
10934026,31,2005-08-17,P574,0,,0,
10934026,32,2005-08-17,P574,0,,0,
10934026,34,2005-09-06,EX.A,0,,0,
10934026,35,2005-09-08,N/=.,0,,0,
10934026,37,2005-09-09,MEX.A,0,,0,
10837826,28,2005-03-02,DOCK,0,,0,
10837826,29,2005-03-02,N/=.,0,,0,
10837826,31,2005-03-04,MN/=.,0,,0,
10837826,33,2005-04-04,SENT,0,,0,
10837826,34,2005-06-02,R1021,0,,0,
10837826,35,2005-06-06,IFEE,0,,0,
10837826,36,2005-06-06,A.NA,0,,0,
10837826,40,2005-06-06,LET.,0,,0,
10837826,41,2005-06-06,N084,0,,0,
10837826,37,2005-07-11,N271,0,,0,
10837826,38,2005-07-14,MN271,0,,0,
10837826,39,2005-07-18,R1021,0,,0,
10837826,42,2005-07-25,PILS,0,,0,
10837826,43,2005-07-25,D1935,0,,0,
10837826,44,2005-07-26,R1021,0,,0,
10837826,46,2005-09-06,EX.A,0,,0,
10837826,47,2005-09-06,C/NW,0,,0,
10837826,48,2005-09-09,MEX.A,0,,0,
10837826,49,2005-09-09,MC/NW,0,,0,
10774338,1,2004-02-06,IEXX,0,,0,
10774338,2,2004-02-18,SCAN,0,,0,
10774338,4,2004-03-17,L194,0,,0,
10774338,6,2004-05-07,INCD,0,,0,
10774338,7,2004-06-01,OATHDECL,0,,0,
10774338,8,2004-06-01,FLFEE,0,,0,
10774338,9,2004-06-16,COMP,0,,0,
10774338,10,2004-06-16,OIPE,0,,0,
10774338,11,2004-06-16,ROIPE,0,,0,
10774338,12,2004-06-16,WROIPE,0,,0,
10774338,13,2004-08-10,DOCK,0,,0,
10774338,14,2004-08-10,TSSCOMP,0,,0,
10774338,15,2004-09-13,M844,0,,0,
10774338,16,2004-09-13,RCAP,0,,0,
10774338,17,2004-12-13,CTRS,0,,0,
10774338,18,2004-12-15,MCTRS,0,,0,
10774338,19,2005-01-24,WAMD,0,,0,
10774338,20,2005-01-24,ELC.,0,,0,
10774338,21,2005-02-09,FWDX,0,,0,
10774338,22,2005-03-30,RQPR,0,,0,
10774338,23,2005-04-14,CTNF,0,,0,
10774338,24,2005-04-15,MCTNF,0,,0,
10774338,25,2005-07-15,DOCK,0,,0,
10774338,28,2005-07-18,A...,3,APPL,24,
10774338,26,2005-07-19,DOCK,0,,0,
10774338,27,2005-07-23,DOCK,0,,0,
10774338,29,2005-07-28,FWDX,0,,0,
10774338,31,2005-09-07,DOCK,0,,0,
10774338,32,2005-09-07,N/=.,0,,0,
11029504,1,2005-01-06,IEXX,0,,0,
11029504,12,2005-01-06,M844,0,,0,
11029504,2,2005-02-01,SCAN,0,,0,
10854453,10,2004-08-05,DOCK,0,,0,
10854453,13,2004-08-05,TSSCOMP,0,,0,
10854453,14,2004-08-09,CTNF,0,,0,
10854453,15,2004-08-12,MCTNF,0,,0,
10854453,16,2004-10-05,WAMD,0,,0,
10854453,17,2004-10-05,A...,0,,0,
10854453,18,2004-11-04,FWDX,0,,0,
10854453,19,2005-01-10,CTNF,0,,0,
10854453,20,2005-01-11,MCTNF,0,,0,
10854453,21,2005-02-22,A...,0,,0,
10854453,22,2005-03-02,FWDX,0,,0,
10854453,23,2005-05-12,CTFR,0,,0,
10854453,24,2005-05-17,MCTFR,0,,0,
10854453,25,2005-08-16,A.NE,0,,0,
10854453,26,2005-08-24,FWDX,0,,0,
10854453,29,2005-09-08,N/=.,0,,0,
10854453,30,2005-09-12,MN/=.,0,,0,
11169730,14,2005-09-06,N/=.,0,,0,
11169730,16,2005-09-08,MN/=.,0,,0,
09958130,1,2001-10-04,IEXX,0,,0,
09958130,14,2001-10-04,M844,0,,0,
09958130,15,2001-10-04,RCAP,0,,0,
09958130,16,2001-10-04,RQPR,0,,0,
09958130,2,2001-10-18,C.AD,0,,0,
09958130,3,2001-11-08,C.AD,0,,0,
09958130,4,2001-11-09,C.AD,0,,0,
09958130,5,2001-11-09,OIPE,0,,0,
09958130,6,2001-11-15,SCAN,0,,0,
09958130,7,2001-12-18,DOCK,0,,0,
09958130,8,2002-01-25,DOCK,0,,0,
09958130,9,2002-09-24,LET.,0,,0,
09958130,10,2004-03-01,DOCK,0,,0,
09958130,11,2004-03-08,CTNF,0,,0,
09958130,12,2004-03-15,MCTNF,467,PTO,-1,
09958130,13,2004-06-15,WAMD,0,,0,
09958130,18,2004-06-15,A...,0,,0,
09958130,17,2004-07-30,TSSCOMP,0,,0,
09958130,19,2004-10-21,FWDX,0,,0,
09958130,20,2004-12-27,CTNF,0,,0,
09958130,21,2005-01-06,MCTNF,83,PTO,18,
09958130,22,2005-05-05,XT/G,0,,0,
09958130,23,2005-05-05,A...,29,APPL,21,
09958130,24,2005-05-10,FWDX,0,,0,
09958130,25,2005-07-25,CTFR,0,,0,
09958130,26,2005-07-28,MCTFR,0,,0,
09958130,27,2005-08-12,A.NE,0,,0,
09958130,28,2005-08-18,FWDX,0,,0,
09958130,30,2005-09-06,N/=.,0,,0,
09958130,32,2005-09-08,MN/=.,0,,0,
10968026,1,2004-10-20,IEXX,0,,0,
10968026,5,2004-10-20,NPRQ,0,,0,
10968026,2,2004-11-13,SCAN,0,,0,
10968026,4,2004-11-23,L194,0,,0,
10968026,7,2004-12-01,OIPE,0,,0,
10968026,8,2004-12-01,ROIPE,0,,0,
10968026,9,2004-12-01,WROIPE,0,,0,
10968026,6,2004-12-02,COMP,0,,0,
10968026,10,2005-01-18,DOCK,0,,0,
10968026,11,2005-01-21,TSSCOMP,0,,0,
10686401,26,2005-09-07,N/=.,0,,0,
10686401,28,2005-09-08,MN/=.,268,PTO,-1,
09921711,1,2001-08-06,IEXX,0,,0,
09921711,2,2001-08-14,SCAN,0,,0,
09921711,3,2001-09-07,C.AD,0,,0,
09921711,4,2001-09-12,OIPE,0,,0,
09921711,5,2001-10-16,DOCK,0,,0,
09921711,7,2004-07-13,LET.,0,,0,
09921711,6,2004-07-15,DOCK,0,,0,
09921711,8,2004-07-26,TSSCOMP,0,,0,
09921711,9,2004-09-20,CTRS,0,,0,
09921711,10,2004-09-22,MCTRS,717,PTO,-1,
09921711,11,2004-10-15,WAMD,0,,0,
09921711,12,2004-10-15,ELC.,0,,0,
09921711,13,2004-12-14,FWDX,0,,0,
09921711,14,2005-03-07,CTNF,0,,0,
09921711,15,2005-03-07,MCTNF,20,PTO,12,
09921711,16,2005-05-20,M844,0,,0,
09921711,17,2005-05-20,RCAP,0,,0,
09921711,18,2005-08-24,XT/G,0,,0,
10412468,7,2004-05-28,C.ADB,0,,0,
10412468,10,2004-09-03,TSSCOMP,0,,0,
10412468,13,2004-11-12,M844,0,,0,
10412468,14,2004-11-12,RCAP,0,,0,
10412468,11,2005-01-10,CTNF,0,,0,
10412468,12,2005-01-12,MCTNF,215,PTO,-1,
10412468,15,2005-06-16,XT/G,0,,0,
10412468,16,2005-06-16,A...,65,APPL,12,
10412468,17,2005-06-23,FWDX,0,,0,
10412468,19,2005-09-01,N/=.,0,,0,
10412468,21,2005-09-08,MN/=.,0,,0,
10808853,6,2004-06-08,INCD,0,,0,
10808853,7,2004-06-21,OATHDECL,0,,0,
10808853,8,2004-06-21,ADDFLFEE,0,,0,
10808853,16,2004-06-21,M844,0,,0,
10808853,17,2004-06-21,RCAP,0,,0,
10808853,13,2004-06-24,C614,0,,0,
10808853,9,2004-07-08,COMP,0,,0,
10808853,10,2004-07-08,OIPE,0,,0,
10808853,11,2004-07-08,ROIPE,0,,0,
10808853,12,2004-07-08,WROIPE,0,,0,
10808853,14,2004-07-22,TSSCOMP,0,,0,
10808853,15,2004-08-05,DOCK,0,,0,
10808853,18,2004-10-01,CTNF,0,,0,
10808853,19,2004-10-05,MCTNF,0,,0,
10808853,20,2004-12-17,LET.,0,,0,
10808853,21,2005-01-10,WAMD,0,,0,
10808853,22,2005-01-10,A...,5,APPL,19,
10808853,23,2005-01-28,FWDX,0,,0,
10808853,25,2005-02-08,C.AD,0,,0,
10808853,24,2005-02-09,PA..,0,,0,
10808853,26,2005-04-18,CTFR,0,,0,
10808853,27,2005-04-20,MCTFR,0,,0,
10808853,30,2005-07-20,A.NE,0,,0,
10808853,31,2005-07-26,FWDX,0,,0,
10808853,32,2005-08-05,CTAV,0,,0,
10808853,33,2005-08-09,MCTAV,0,,0,
10808853,34,2005-08-17,XT/G,0,,0,
10808853,35,2005-08-17,A.NE,28,APPL,27,
10808853,36,2005-08-25,FWDX,0,,0,
10738237,1,2003-12-17,IEXX,0,,0,
10738237,2,2004-01-20,SCAN,0,,0,
10738237,4,2004-02-19,L194,0,,0,
10738237,5,2004-03-26,COMP,0,,0,
10738237,6,2004-03-26,OIPE,0,,0,
10738237,7,2004-03-26,ROIPE,0,,0,
10738237,8,2004-03-26,W/OA,0,,0,
10738237,9,2004-03-26,COMP,0,,0,
10738237,10,2004-03-26,WROIPE,0,,0,
10738237,11,2004-03-26,ROIPE,0,,0,
10738237,12,2004-03-26,WROIPE,0,,0,
10738237,13,2004-04-23,DOCK,0,,0,
10738237,14,2004-04-23,TSSCOMP,0,,0,
10738237,15,2004-09-23,DOCK,0,,0,
10738237,16,2004-12-13,CTNF,0,,0,
10738237,17,2004-12-17,MCTNF,0,,0,
10738237,18,2005-03-04,A...,0,,0,
10750038,19,2004-04-29,A.PE,0,,0,
10750038,6,2004-05-05,INCD,0,,0,
10750038,7,2004-05-05,C.AD,0,,0,
10750038,8,2004-05-05,W/OA,0,,0,
10750038,9,2004-05-05,INCD,0,,0,
10750038,10,2004-06-24,OATHDECL,0,,0,
10750038,11,2004-06-24,ADDFLFEE,0,,0,
10750038,12,2004-07-15,COMP,0,,0,
10750038,13,2004-07-15,OIPE,0,,0,
10750038,14,2004-07-16,ROIPE,0,,0,
10750038,15,2004-07-16,WROIPE,0,,0,
10750038,16,2004-07-16,ROIPE,0,,0,
10750038,17,2004-07-16,COMP,0,,0,
10750038,18,2004-07-16,WROIPE,0,,0,
10750038,20,2004-08-10,DOCK,0,,0,
10750038,21,2004-08-10,TSSCOMP,0,,0,
10750038,22,2005-01-10,CTNF,0,,0,
10750038,23,2005-01-11,MCTNF,0,,0,
10750038,24,2005-01-26,DOCK,0,,0,
10750038,25,2005-01-28,C.ADB,0,,0,
10750038,26,2005-02-01,C.ADB,0,,0,
10750038,27,2005-04-13,A...,2,APPL,23,
10750038,28,2005-04-19,FWDX,0,,0,
10750038,30,2005-05-17,N/=.,0,,0,
10750038,32,2005-05-23,MN/=.,0,,0,
10750038,34,2005-08-17,BRCE,0,,0,
10750038,37,2005-08-17,RCEX,0,,0,
10750038,39,2005-08-17,M844,0,,0,
10750038,40,2005-08-17,RCAP,0,,0,
10750038,41,2005-08-17,IDSC,0,,0,
10750038,35,2005-08-26,IFEE,0,,0,
10750038,36,2005-08-29,ABN9,0,,0,
10750038,38,2005-08-29,FWDX,0,,0,
10750038,44,2005-09-07,N/=.,0,,0,
10750038,46,2005-09-08,MN/=.,0,,0,
10125647,27,2005-01-07,FWDX,0,,0,
10125647,30,2005-04-20,CTFR,0,,0,
10125647,31,2005-04-21,MCTFR,4,PTO,26,
10125647,32,2005-08-19,XT/G,0,,0,
10125647,33,2005-08-19,A.NE,29,APPL,31,
10125647,34,2005-08-29,FWDX,0,,0,
10125647,36,2005-09-02,DOCK,0,,0,
10125647,37,2005-09-02,N/=.,0,,0,
10125647,39,2005-09-08,MN/=.,0,,0,
10989725,1,2004-11-17,IEXX,0,,0,
10989725,13,2004-11-17,A.PE,0,,0,
10989725,2,2005-01-03,SCAN,0,,0,
10989725,4,2005-01-05,L194,0,,0,
10989725,5,2005-01-14,INCD,0,,0,
10989725,6,2005-03-14,OATHDECL,0,,0,
10989725,7,2005-03-14,FLFEE,0,,0,
10989725,14,2005-03-17,RQPR,0,,0,
10989725,8,2005-03-29,COMP,0,,0,
10989725,9,2005-03-29,OIPE,0,,0,
10989725,10,2005-03-29,ROIPE,0,,0,
10989725,11,2005-03-29,WROIPE,0,,0,
10989725,12,2005-04-06,TI1050,0,,0,
10989725,15,2005-06-14,TI1050,0,,0,
10989725,16,2005-09-01,DOCK,0,,0,
10989725,17,2005-09-01,TSSCOMP,0,,0,
10989725,19,2005-09-06,N/=.,0,,0,
10989725,21,2005-09-08,MN/=.,0,,0,
10437972,1,2003-05-15,IEXX,0,,0,
10437972,9,2003-05-15,M844,0,,0,
10437972,10,2003-05-15,RCAP,0,,0,
10437972,2,2003-05-27,SCAN,0,,0,
10437972,4,2003-07-03,CPAP,0,,0,
10437972,5,2003-07-31,CORRDRW,0,,0,
10437972,6,2003-07-31,ADDFLFEE,0,,0,
10437972,11,2003-07-31,LTDR,0,,0,
10437972,12,2003-07-31,RQPR,0,,0,
10437972,7,2003-08-21,COMP,0,,0,
10437972,8,2003-08-21,OIPE,0,,0,
10437972,13,2004-08-11,DOCK,0,,0,
10437972,14,2004-08-11,TSSCOMP,0,,0,
10437972,15,2004-09-16,CTNF,0,,0,
10437972,16,2004-09-17,MCTNF,64,PTO,-1,
10437972,17,2005-01-18,WAMD,0,,0,
10437972,18,2005-01-18,XT/G,0,,0,
10437972,19,2005-01-18,A...,32,APPL,16,
10437972,20,2005-02-14,FWDX,0,,0,
10437972,21,2005-03-21,CTFR,0,,0,
10437972,22,2005-03-23,MCTFR,0,,0,
10437972,23,2005-06-14,EXIN,0,,0,
10437972,24,2005-06-20,MEXIN,0,,0,
