application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10123821,19,2005-09-21,DOCK,0,,0,
10123821,20,2005-10-11,CTNF,0,,0,
10123821,21,2005-10-12,MCTNF,0,,0,
10123821,22,2006-01-10,DOCK,0,,0,
10415197,6,2003-10-27,OATHDECL,0,,0,
10415197,7,2003-10-27,CRFL,0,,0,
10415197,8,2003-10-27,SEQLIST,0,,0,
11331027,3,2006-01-31,L194,0,,0,
11331027,4,2006-02-21,COMP,0,,0,
11331027,5,2006-02-21,OIPE,0,,0,
11331027,8,2006-02-23,DOCK,0,,0,
11331027,9,2006-02-23,TSSCOMP,0,,0,
11331027,11,2006-03-22,CTNF,0,,0,
11331027,12,2006-03-28,MCTNF,0,,0,
11331027,13,2006-06-16,A...,0,,0,
11331027,14,2006-06-22,FWDX,0,,0,
11331027,16,2006-07-05,N/=.,0,,0,
11331027,18,2006-07-07,MN/=.,0,,0,
10714013,17,2004-05-28,M844,0,,0,
10714013,24,2004-05-28,IDSC,0,,0,
10714013,16,2004-06-12,TI1050,0,,0,
10714013,20,2005-05-16,DOCK,0,,0,
10714013,21,2005-05-16,TSSCOMP,0,,0,
10714013,22,2005-10-05,C.ADB,0,,0,
10714013,23,2005-10-05,C.ADB,0,,0,
10714013,26,2006-04-03,CTNF,0,,0,
10714013,27,2006-04-07,MCTNF,448,PTO,-1,
10714013,28,2006-06-23,A...,0,,0,
10714013,29,2006-07-06,FWDX,0,,0,
10714013,31,2006-07-06,N/=.,0,,0,
10714013,33,2006-07-07,MN/=.,0,,0,
10813545,1,2004-03-29,IEXX,0,,0,
10813545,12,2004-03-29,RQPR,0,,0,
10813545,13,2004-03-29,M844,0,,0,
10813545,14,2004-03-29,RCAP,0,,0,
10813545,20,2004-03-29,IDSC,0,,0,
10813545,2,2004-04-17,SCAN,0,,0,
10813545,6,2004-04-19,OATHDECL,0,,0,
10813545,7,2004-04-19,ADDFLFEE,0,,0,
10813545,4,2004-05-07,L194,0,,0,
10813545,9,2004-06-15,OIPE,0,,0,
10813545,10,2004-06-15,ROIPE,0,,0,
10813545,11,2004-06-15,WROIPE,0,,0,
10813545,5,2004-06-16,INCD,0,,0,
10813545,8,2004-06-16,COMP,0,,0,
10813545,15,2004-06-25,DOCK,0,,0,
10813545,16,2004-06-25,TSSCOMP,0,,0,
10813545,17,2004-08-17,C.ADB,0,,0,
10813545,18,2005-01-11,C.AD,0,,0,
10813545,19,2006-02-03,DOCK,0,,0,
10813545,21,2006-03-02,DOCK,0,,0,
10813545,22,2006-03-16,CTNF,0,,0,
10813545,23,2006-03-20,MCTNF,295,PTO,-1,
10813545,24,2006-04-04,NRES,0,,0,
10813545,25,2006-04-05,MNRES,0,,0,
10813545,26,2006-04-20,A...,0,,0,
10813545,27,2006-05-01,FWDX,0,,0,
10813545,29,2006-07-06,N/=.,0,,0,
11091014,17,2005-06-17,M844,0,,0,
11091014,22,2005-06-17,IDSC,0,,0,
11091014,15,2005-07-05,DOCK,0,,0,
10086928,15,2005-08-31,C.ADB,0,,0,
10086928,16,2005-09-14,C.ADB,0,,0,
11091014,18,2005-11-16,DOCK,0,,0,
11091014,19,2005-11-16,DOCK,0,,0,
10086928,17,2005-10-03,CTNF,0,,0,
11091014,20,2005-11-18,DOCK,0,,0,
10086928,18,2005-10-05,MCTNF,891,PTO,-1,
11091014,23,2005-12-06,CTNF,0,,0,
10086928,19,2006-01-03,A...,0,,0,
11091014,24,2005-12-07,MCTNF,0,,0,
10086928,20,2006-01-10,FWDX,0,,0,
10086928,22,2006-02-21,CTFR,0,,0,
11091014,25,2006-03-23,XT/G,0,,0,
10086928,23,2006-02-27,MCTFR,0,,0,
11091014,26,2006-03-23,A...,16,APPL,24,
11091014,27,2006-03-28,FWDX,0,,0,
10086928,24,2006-03-21,DOCK,0,,0,
10086928,25,2006-06-02,A.NE,6,APPL,23,
10086928,26,2006-06-08,FWDX,0,,0,
11091014,30,2006-04-06,DOCK,0,,0,
10086928,27,2006-06-15,EXIN,0,,0,
11091014,31,2006-04-06,N/=.,0,,0,
10086928,28,2006-06-20,MEXIN,0,,0,
11091014,32,2006-04-10,MN/=.,0,,0,
11091014,34,2006-06-05,BRCE,0,,0,
10086928,30,2006-06-28,EX.A,0,,0,
10086928,34,2006-06-28,DOCK,0,,0,
10086928,35,2006-06-28,N/=.,0,,0,
11091014,36,2006-06-05,RCEX,0,,0,
11091014,38,2006-06-05,M844,0,,0,
11091014,39,2006-06-05,IDSC,0,,0,
10086928,37,2006-07-10,MEX.A,0,,0,
11091014,40,2006-06-05,RCAP,0,,0,
