application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12015411,70,2012-01-13,RCEX,63,,63,
12015411,69,2012-01-18,ABN9,0,,0,
12015411,72,2012-01-18,FWDX,0,,0,
12015411,74,2012-01-25,CTNF,0,,0,
12015411,77,2012-01-31,MCTNF,0,,0,
12015411,78,2012-04-26,A...,0,,0,
12015411,79,2012-04-27,FWDX,0,,0,
12015411,85,2012-05-04,EX.R,0,,0,
12015411,86,2012-05-05,DVER,0,,0,
12015411,88,2012-05-10,DOCK,0,,0,
12015411,89,2012-05-10,N/=.,0,,0,
12015411,92,2012-05-11,MN/=.,0,,0,
12015411,.5,2008-01-16,EFILE,0,,0,
12015411,96,2012-07-19,N084,0,,0,
12015411,95,2012-07-19,IFEE,0,,0,
12015411,97,2012-07-23,PILS,0,,0,
12015411,98,2012-07-23,D1935,0,,0,
12015411,100,2012-08-21,PTAC,0,,0,
12015411,100.5,2011-01-20,PTA36M,4,PTO,.5,
11673508,114,2012-08-01,P026,0,,0,
11990805,1,2008-02-21,IEXX,0,,0,
11990805,2,2008-02-21,WIDS,0,,0,
11990805,8,2008-02-21,371COMP,0,,0,
11990805,11,2008-02-21,A.PE,0,,0,
11990805,12,2008-02-21,M844,0,,0,
11990805,13,2008-02-21,RCAP,0,,0,
11990805,16,2008-02-21,IDSC,0,,0,
11990805,3,2008-03-08,SCAN,0,,0,
11990805,4,2008-03-08,L194,0,,0,
11990805,5,2009-07-02,M903,0,,0,
11990805,6,2009-07-02,FLRCPT.O,0,,0,
11990805,7,2009-07-02,PGPC,0,,0,
11990805,9,2009-07-15,OIPE,0,,0,
11990805,10,2009-09-08,DOCK,0,,0,
11990805,14,2009-10-08,PG-ISSUE,0,,0,
11990805,15,2010-12-14,DOCK,0,,0,
11990805,20,2011-04-15,CTNF,0,,0,
11990805,21,2011-04-18,MCTNF,727,PTO,8,
11990805,22,2011-08-17,C614,0,,0,
11990805,23,2011-08-17,XT/G,0,,0,
11990805,28,2011-08-17,A...,30,APPL,21,
11990805,28.2,2011-08-17,A.I.,0,,0,
11990805,29,2011-09-08,FWDX,0,,0,
11990805,34,2011-09-08,M327,0,,0,
11990805,35,2011-09-22,MM327,0,,0,
11990805,36,2011-10-03,NINA,0,,0,
11990805,37,2011-10-06,EXIA,0,,0,
11990805,38,2011-10-06,EXIA,0,,0,
11990805,39,2011-10-08,EML_NTR,0,,0,
11990805,43,2011-10-14,A...,58,APPL,28,
11990805,41,2011-10-17,MEXIA,0,,0,
11990805,42,2011-10-17,EML_NTR,0,,0,
11990805,44,2011-10-18,FWDX,0,,0,
11990805,45,2012-02-01,CTFR,0,,0,
11990805,47,2012-02-07,MCTFR,0,,0,
11990805,48,2012-02-07,EML_NTF,0,,0,
11990805,49,2012-02-07,ELC_RVW,0,,0,
11990805,50,2012-06-05,BRCE,0,,0,
11990805,51,2012-06-05,WIDS,0,,0,
11990805,52,2012-06-05,EIDS.,0,,0,
11990805,54,2012-06-05,RCEX,29,APPL,47,
11990805,60,2012-06-05,IDSC,0,,0,
11990805,64,2012-06-05,DVER,0,,0,
11990805,53,2012-06-07,ABN9,0,,0,
11990805,56,2012-06-07,FWDX,0,,0,
11990805,57,2012-07-12,WIDS,0,,0,
11990805,58,2012-07-12,EIDS.,0,,0,
11990805,59,2012-07-12,IDSC,0,,0,
11990805,62,2012-07-27,EX.R,0,,0,
11990805,63,2012-07-30,N/=.,0,,0,
11990805,71,2012-08-08,MN/=.,0,,0,
11990805,.5,2005-09-09,NEFILE,0,,0,
11047016,53,2010-03-17,MAPEA,0,,0,
11047016,54,2010-03-17,EML_NTF,0,,0,
11047016,55,2010-03-17,ELC_RVW,0,,0,
11047016,56,2010-03-29,PACC,0,,0,
11047016,57,2010-05-17,APRB,0,,0,
11047016,58,2010-05-20,FWDX,0,,0,
11047016,59,2010-05-21,RBNE,0,,0,
11047016,61,2010-05-24,APWD,0,,0,
11047016,60,2010-05-25,MRBNE,0,,0,
11047016,62,2010-05-25,EML_NTR,0,,0,
11047016,63,2010-05-26,APAS,0,,0,
