application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11285883,57,2009-06-12,FWDX,0,,0,
11285883,58,2009-07-07,RBNE,0,,0,
11285883,60,2009-07-09,MRBNE,0,,0,
11285883,61,2009-07-13,APWD,0,,0,
11285883,62,2009-07-17,APAS,0,,0,
11285883,63,2009-07-20,AP_DK_M,0,,0,
11285883,64,2010-11-01,DOCK,0,,0,
11285883,65,2011-05-18,APDR,0,,0,
11285883,66,2011-05-18,MAPDR,1058,PTO,41,
11285883,67,2011-07-26,DOCK,0,,0,
11285883,69,2011-08-04,DVER,0,,0,
11285883,70,2011-08-04,N/=.,0,,0,
11285883,73,2011-08-05,MN/=.,0,,0,
11285883,.5,2005-11-23,EFILE,0,,0,
11285883,66,2011-05-18,MAPDR,1058,,41,
11285883,76,2011-09-22,IFEE,0,,0,
11285883,77,2011-09-22,N084,0,,0,
11285883,78,2011-09-27,PILS,0,,0,
11285883,79,2011-09-28,D1935,0,,0,
11285883,81,2011-10-25,PTAC,0,,0,
11285883,81.5,2007-05-28,PTA36M,0,PTO,.5,
11285883,66,2011-05-18,MAPDR,1057,,41,
11911514,5,2008-01-11,WIDS,0,,0,
11911514,19,2008-01-11,C604,0,,0,
11911514,30,2008-01-11,IDSC,0,,0,
11911514,31,2008-01-11,IDSC,0,,0,
11911514,8,2008-05-02,PGPC,0,,0,
11911514,6,2008-05-05,FLRCPT.O,0,,0,
11911514,7,2008-05-05,M903,0,,0,
11911514,10,2008-06-19,OIPE,0,,0,
11911514,14,2008-07-24,C.AD,0,,0,
11911514,15,2008-07-25,PA..,0,,0,
11911514,16,2008-09-04,PG-ISSUE,0,,0,
11911514,20,2008-09-25,TSSCOMP,0,,0,
11911514,21,2008-09-26,TI1050,0,,0,
11911514,22,2008-12-08,TI1050,0,,0,
11911514,23,2009-04-20,DOCK,0,,0,
11911514,24,2010-04-11,CTRS,0,,0,
11911514,25,2010-04-14,MCTRS,411,PTO,9,
11911514,26,2010-04-14,EML_NTF,0,,0,
11911514,27,2010-04-14,ELC_RVW,0,,0,
11911514,28,2010-05-14,ELC.,0,,0,
11911514,29,2010-05-19,FWDX,0,,0,
11911514,32,2010-08-02,CTNF,0,,0,
11911514,33,2010-08-04,MCTNF,0,,0,
11911514,34,2010-08-04,EML_NTF,0,,0,
11911514,35,2010-08-04,ELC_RVW,0,,0,
11911514,36,2010-12-07,WIDS,0,,0,
11911514,37,2010-12-07,EIDS.,0,,0,
11911514,41,2010-12-07,IDSC,0,,0,
11911514,38,2011-01-03,XT/G,0,,0,
11911514,39,2011-01-03,A...,60,APPL,33,
11911514,40,2011-01-10,FWDX,0,,0,
11911514,42,2011-03-14,CTFR,0,,0,
11911514,43,2011-03-21,MCTFR,0,,0,
11911514,44,2011-03-21,EML_NTF,0,,0,
11911514,45,2011-03-21,ELC_RVW,0,,0,
11911514,46,2011-06-02,A.NE,0,,0,
11911514,47,2011-06-08,FWDX,0,,0,
11911514,53,2011-06-22,DOCK,0,,0,
11911514,54,2011-06-22,N/=.,0,,0,
11911514,55,2011-06-22,DVER,0,,0,
11911514,58,2011-06-27,MN/=.,0,,0,
11911514,.5,2006-04-12,NEFILE,0,,0,
11953017,23,2011-04-29,FWDX,0,,0,
11953017,24,2011-05-12,SA..,15,APPL,22,
11953017,25,2011-05-17,FWDX,0,,0,
11953017,30,2011-06-18,EX.R,0,,0,
11953017,31,2011-06-22,N/=.,0,,0,
11953017,32,2011-06-22,DVER,0,,0,
11953017,36,2011-06-24,MN/=.,0,,0,
11953017,.5,2007-12-08,EFILE,0,,0,
11953017,42,2011-09-21,C600,35,APPL,0,
11953017,39,2011-09-21,IFEE,0,,0,
11953017,40,2011-09-21,N084,0,,0,
11953017,41,2011-09-23,PILS,0,,0,
11953017,43,2011-09-26,D1935,0,,0,
11953017,45,2011-10-25,PTAC,0,,0,
11953017,45.5,2011-10-25,PTA36M,321,PTO,.5,
11517723,17,2008-05-08,DOCK,0,,0,
11517723,18,2008-05-29,PG-ISSUE,0,,0,
11517723,20,2008-06-02,FWDX,0,,0,
11517723,21,2008-08-04,CTFR,0,,0,
11517723,22,2008-08-06,MCTFR,0,,0,
11517723,23,2008-08-27,A.NE,0,,0,
11517723,24,2008-09-04,FWDX,0,,0,
11517723,25,2008-09-23,CTAV,0,,0,
11517723,26,2008-09-25,MCTAV,0,,0,
11517723,27,2008-10-16,N/AP,0,,0,
11517723,28,2008-10-20,AP.B,0,,0,
11517723,28.1,2008-10-20,APBI,0,,0,
11517723,29,2008-11-03,FWDX,0,,0,
11517723,30,2008-11-03,APBR,0,,0,
11517723,31,2008-11-07,APBD,0,,0,
11517723,32,2008-11-13,AP.B,0,,0,
11517723,33,2008-12-03,FWDX,0,,0,
11517723,34,2008-12-03,APBR,0,,0,
11517723,35,2009-02-16,APEA,0,,0,
11517723,36,2009-02-18,MAPEA,0,,0,
11517723,37,2009-03-09,PACC,0,,0,
11517723,38,2009-03-09,PACC,0,,0,
11517723,41,2009-03-19,APRB,0,,0,
11517723,39,2009-03-23,C.AD,0,,0,
11517723,40,2009-03-26,PA..,0,,0,
11517723,42,2009-04-06,FWDX,0,,0,
11517723,43,2009-04-10,RBNE,0,,0,
11517723,44,2009-04-13,MRBNE,0,,0,
11517723,45,2009-04-14,APWD,0,,0,
11517723,46,2009-05-13,APAS,0,,0,
11517723,47,2009-05-13,AP_DK_M,0,,0,
11517723,49,2011-03-30,APDP,0,,0,
11517723,50,2011-03-31,MAPDP,897,PTO,27,
11517723,51,2011-05-16,APRR,0,,0,
11517723,52,2011-05-26,APD1,0,,0,
11517723,53,2011-05-26,MAPD1,0,,0,
11517723,58,2011-08-24,EX.A,0,,0,
11517723,59,2011-08-30,DOCK,0,,0,
11517723,60,2011-08-30,N/=.,0,,0,
11517723,63,2011-08-30,DVER,0,,0,
11517723,65,2011-08-31,MN/=.,0,,0,
11517723,.5,2006-09-09,EFILE,0,,0,
12164096,35,2011-04-04,A...,0,,0,
12164096,36,2011-04-05,FWDX,0,,0,
12164096,40,2011-04-11,EX.A,0,,0,
12164096,41,2011-04-12,N/=.,0,,0,
12164096,42,2011-04-12,DVER,0,,0,
12164096,44,2011-04-14,MN/=.,0,,0,
12164096,45,2011-04-14,MEX.A,0,,0,
12164096,47,2011-05-18,PUBTC,0,,0,
12164096,54,2011-05-19,TCPB,0,,0,
12164096,49,2011-06-07,TCPB,0,,0,
12164096,50,2011-06-07,TCPB,0,,0,
12164096,51,2011-06-07,TCPB,0,,0,
12164096,52,2011-06-07,TCPB,0,,0,
12164096,53,2011-06-07,TCPB,0,,0,
12164096,48,2011-06-10,TCPB,0,,0,
12164096,56,2011-07-11,IFEE,0,,0,
12164096,57,2011-07-11,N084,0,,0,
12164096,58,2011-07-13,PILS,0,,0,
12164096,59,2011-07-14,D1935,0,,0,
12164096,62,2011-07-27,WPIR,0,,0,
12164096,63,2011-08-03,PET.,0,,0,
12164096,64,2011-08-04,WFIS,0,,0,
12164096,65,2011-08-05,WFIS,0,,0,
12164096,66,2011-08-05,P015,0,,0,
12164096,67,2011-08-05,MP015,0,,0,
12164096,68,2011-08-19,W/N=,0,,0,
12164096,69,2011-08-19,FWDX,0,,0,
12164096,71,2011-08-27,EX.R,0,,0,
12164096,72,2011-08-29,N/=.,0,,0,
12164096,73,2011-08-31,DVER,0,,0,
12164096,76,2011-09-02,MN/=.,0,,0,
12164096,.5,2008-06-29,EFILE,0,,0,
12164096,82,2011-09-17,N084,0,,0,
12164096,79,2011-09-17,IFEE,0,,0,
12164096,80,2011-09-19,TCPB,0,,0,
12164096,83,2011-09-22,D1935,0,,0,
12164096,84,2011-09-22,D1935,0,,0,
12122538,1,2008-05-16,IEXX,0,,0,
12122538,2,2008-05-16,SCAN,0,,0,
12122538,3,2008-05-20,L194,0,,0,
12122538,4,2008-05-27,INCD,0,,0,
12122538,5,2008-05-27,FLRCPT.O,0,,0,
12122538,6,2008-05-28,OATHDECL,0,,0,
12122538,7,2008-05-28,ADDFLFEE,0,,0,
12122538,8,2008-06-23,COMP,0,,0,
12666079,19,2011-06-21,DOCK,0,,0,
12666079,29,2011-07-02,EX.R,0,,0,
12666079,30,2011-07-11,N/=.,0,,0,
12666079,31,2011-07-11,DVER,0,,0,
12666079,35,2011-07-12,MN/=.,140,PTO,9,
12666079,.5,2008-06-27,NEFILE,0,,0,
12666079,38,2011-09-22,IFEE,0,,0,
12666079,39,2011-09-22,N084,0,,0,
12666079,40,2011-09-28,PILS,0,,0,
12666079,41,2011-09-29,D1935,0,,0,
12666079,43,2011-10-25,PTAC,0,,0,
12666079,43.5,2011-10-25,PTA36M,0,PTO,43.4,
12666079,43.4,2009-12-22,COMMN,0,,0,
12794755,1,2010-06-06,IEXX,0,,0,
12794755,2,2010-06-06,SCAN,0,,0,
12794755,3,2010-06-08,L194,0,,0,
12794755,4,2010-06-18,FLRCPT.O,0,,0,
12794755,5,2010-06-18,INCD,0,,0,
12794755,6,2010-06-18,EML_NTR,0,,0,
12794755,7,2010-06-18,EML_NTF,0,,0,
12794755,8,2010-06-18,ELC_RVW,0,,0,
12794755,9,2010-07-01,OATHDECL,0,,0,
12794755,10,2010-07-01,ADDFLFEE,0,,0,
12794755,12,2010-07-12,PGPC,0,,0,
12794755,11,2010-07-13,FLRCPT.U,0,,0,
12794755,13,2010-07-13,EML_NTR,0,,0,
12794755,14,2010-07-13,COMP,0,,0,
12794755,15,2010-08-05,C.AD,0,,0,
12794755,16,2010-08-06,OIPE,0,,0,
12794755,17,2010-08-11,PA..,0,,0,
12794755,18,2010-08-11,EML_NTR,0,,0,
