application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10807184,12,2004-06-22,DOCK,0,,0,
10807184,13,2004-06-22,TSSCOMP,0,,0,
10807184,14,2005-03-08,DOCK,0,,0,
10807184,16,2005-03-16,DOCK,0,,0,
10807184,17,2005-03-16,N/=.,0,,0,
10807184,19,2005-03-17,MN/=.,0,,0,
10335934,1,2003-01-03,IEXX,0,,0,
10335934,2,2003-01-13,SCAN,0,,0,
10335934,3,2003-02-21,COMP,0,,0,
10335934,4,2003-02-25,OIPE,0,,0,
10335934,6,2003-02-26,RQPR,0,,0,
10335934,5,2003-04-01,DOCK,0,,0,
10335934,7,2003-12-30,DOCK,0,,0,
10335934,8,2004-02-06,CTNF,0,,0,
10335934,9,2004-02-10,MCTNF,0,,0,
10335934,10,2004-04-06,DOCK,0,,0,
10335934,11,2004-08-05,WAMD,0,,0,
10335934,12,2004-08-05,XT/G,0,,0,
10335934,13,2004-08-05,A...,87,APPL,9,
10335934,14,2004-09-01,FWDX,0,,0,
10335934,15,2004-11-10,CTFR,0,,0,
10335934,16,2004-11-12,MCTFR,0,,0,
10335934,17,2005-02-02,A.NE,0,,0,
10335934,18,2005-02-10,FWDX,0,,0,
10335934,19,2005-02-10,TSSCOMP,0,,0,
10335934,21,2005-03-15,DOCK,0,,0,
10335934,22,2005-03-15,N/=.,0,,0,
10335934,24,2005-03-17,MN/=.,0,,0,
10131155,1,2002-04-24,IEXX,0,,0,
10131155,5,2002-04-24,CLAIM,0,,0,
10131155,2,2002-05-21,SCAN,0,,0,
10131155,3,2002-05-23,SCAN,0,,0,
10131155,4,2002-08-05,INCD,0,,0,
10131155,6,2002-10-15,OATHDECL,0,,0,
10131155,7,2002-10-15,FLFEE,0,,0,
10131155,8,2002-10-31,COMP,0,,0,
10131155,9,2002-10-31,OIPE,0,,0,
10131155,35,2002-12-16,C614,0,,0,
10131155,30,2003-03-18,EIDS.,0,,0,
10131155,31,2003-03-21,M844,0,,0,
10131155,32,2003-03-24,M844,0,,0,
10131155,14,2003-08-25,EIDS.,0,,0,
10131155,10,2003-08-27,M844,0,,0,
10131155,11,2003-08-27,RQPR,0,,0,
10131155,33,2003-09-08,EIDS.,0,,0,
10131155,13,2003-09-16,IRFND,0,,0,
09490748,70,2005-03-10,N/=.,0,PTO,0,Y
09490748,71,2005-03-17,MN/=.,0,PTO,0,Y
10129559,3,2002-09-26,OATHDECL,0,,0,
10129559,4,2002-09-26,INFODSCL,0,,0,
10129559,5,2002-09-26,ADDFLFEE,0,,0,
10129559,10,2002-09-26,A.PE,0,,0,
10129559,6,2003-02-03,M903,0,,0,
10129559,7,2003-02-27,OIPE,0,,0,
10129559,8,2003-02-27,SCAN,0,,0,
10129559,9,2003-04-09,DOCK,0,,0,
10129559,11,2003-11-04,TSSCOMP,0,,0,
10129559,12,2004-06-22,CTNF,0,,0,
10278932,1,2002-10-24,IEXX,0,,0,
10278932,7,2002-10-24,RQPR,0,,0,
10278932,8,2002-10-24,M844,0,,0,
10278932,2,2002-10-30,SCAN,0,,0,
10278932,3,2002-11-21,COMP,0,,0,
10278932,4,2002-11-22,OIPE,0,,0,
10278932,5,2002-12-10,L128,0,,0,
10278932,6,2003-03-13,DOCK,0,,0,
10278932,9,2003-05-13,DOCK,0,,0,
10278932,10,2003-05-13,DOCK,0,,0,
10278932,11,2003-07-01,DOCK,0,,0,
10278932,19,2003-10-26,DIST,0,,0,
10469115,3,2003-12-23,OIPE,0,,0,
10469115,10,2003-12-23,W/OA,0,,0,
10469115,5,2004-01-07,L194,0,,0,
10469115,6,2004-02-16,TI1050,0,,0,
10469115,7,2004-02-24,DOCK,0,,0,
10469115,8,2004-02-24,TSSCOMP,0,,0,
10469115,9,2004-03-31,ROIPE,0,,0,
10469115,12,2004-03-31,WROIPE,0,,0,
10469115,11,2004-04-01,M903,0,,0,
10469115,16,2004-05-12,M844,0,,0,
10469115,14,2004-06-28,CTNF,0,,0,
10469115,15,2004-06-29,MCTNF,0,,0,
10469115,17,2004-10-04,WAMD,0,,0,
10469115,18,2004-10-04,A...,5,APPL,15,
10469115,19,2004-11-10,FWDX,0,,0,
10469115,20,2004-11-12,CTFR,0,,0,
10469115,21,2004-11-18,MCTFR,0,,0,
10469115,22,2005-02-22,A.NE,4,APPL,21,
10469115,23,2005-03-02,FWDX,0,,0,
10469115,25,2005-03-17,N/=.,0,,0,
10469115,26,2005-03-17,N/DR,0,,0,
10469115,28,2005-03-18,MN/DR,0,,0,
10469115,29,2005-03-18,MN/=.,0,,0,
10044398,19,2004-06-10,TSSCOMP,0,,0,
10044398,20,2004-06-21,CTNF,0,,0,
10044398,21,2004-06-21,MCTNF,0,,0,
10044398,22,2004-06-29,C.ADB,0,,0,
10044398,23,2004-11-22,XT/G,0,,0,
10044398,24,2004-11-22,A...,62,APPL,21,
10044398,25,2004-12-07,FWDX,0,,0,
10044398,27,2005-01-07,CTFR,0,,0,
