application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13649204,2,2012-10-12,SCAN,0,,0,
13649204,3,2012-10-15,L194,0,,0,
13649204,5,2012-11-01,CPAP,0,,0,
13649204,6,2012-11-01,FLRCPT.O,0,,0,
13649204,7,2012-11-02,WIDS,0,,0,
13649204,16,2012-11-02,M844,0,,0,
13041257,1,2011-03-04,IEXX,0,,0,
13041257,2,2011-03-04,SCAN,0,,0,
13041257,3,2011-03-09,L194,0,,0,
13041257,5,2011-03-21,PGPC,0,,0,
13041257,4,2011-03-22,FLRCPT.O,0,,0,
13041257,6,2011-03-22,EML_NTR,0,,0,
13041257,7,2011-03-22,COMP,0,,0,
13041257,8,2011-04-13,OIPE,0,,0,
13041257,9,2011-11-01,DOCK,0,,0,
13041257,14,2012-02-10,CTNF,0,,0,
13041257,16,2012-02-16,MCTNF,0,,0,
13041257,17,2012-02-16,EML_NTF,0,,0,
13041257,18,2012-02-16,ELC_RVW,0,,0,
13041257,19,2012-05-04,WIDS,0,,0,
13041257,20,2012-05-04,EIDS.,0,,0,
13041257,23,2012-05-04,IDSC,0,,0,
13041257,21,2012-05-16,A...,0,,0,
13041257,22,2012-05-18,FWDX,0,,0,
13041257,26,2012-08-09,CTNF,0,,0,
13041257,28,2012-08-14,MCTNF,0,,0,
13041257,29,2012-08-14,EML_NTF,0,,0,
13041257,30,2012-08-14,ELC_RVW,0,,0,
13041257,31,2012-09-06,PG-ISSUE,0,,0,
13041257,32,2012-09-07,EML_NTR,0,,0,
13041257,33,2012-09-21,WIDS,0,,0,
13041257,34,2012-09-21,EIDS.,0,,0,
13041257,54,2012-09-21,IDSC,0,,0,
13041257,35,2012-11-08,WIDS,0,,0,
13041257,36,2012-11-08,EIDS.,0,,0,
13041257,55,2012-11-08,IDSC,0,,0,
13041257,37,2012-11-14,A...,0,,0,
13041257,38,2012-11-19,FWDX,0,,0,
13041257,39,2013-01-17,FLRCPT.C,0,,0,
13041257,40,2013-01-17,EML_NTR,0,,0,
13041257,43,2013-04-22,CTFR,0,,0,
13041257,45,2013-04-26,MCTFR,43,PTO,37,
13041257,46,2013-04-26,EML_NTF,0,,0,
13041257,47,2013-04-26,ELC_RVW,0,,0,
13041257,48,2013-07-26,BRCE,0,,0,
12967420,33,2013-05-15,EML_NTF,0,,0,
12967420,34,2013-05-15,ELC_RVW,0,,0,
12967420,35,2013-06-10,PD.FAIL,0,,0,
12967420,36,2013-08-15,A...,0,,0,
12967420,37,2013-08-18,FWDX,0,,0,
12967420,38,2013-10-04,PD.FAIL,0,,0,
12967420,43,2013-12-02,EX.R,0,,0,
12967420,44,2013-12-07,N/=.,0,,0,
12967420,45,2013-12-07,DVER,0,,0,
12967420,49,2013-12-11,MN/=.,0,,0,
12967420,.5,2010-12-14,EFILE,0,,0,
12967420,53,2014-01-13,IFEE,0,,0,
12967420,55,2014-01-13,N084,0,,0,
12967420,56,2014-02-07,PILS,0,,0,
12967420,57,2014-02-07,D1935,0,,0,
12967420,58,2014-03-04,PTAC,0,,0,
12967420,58.5,2014-03-04,PTA36M,80,PTO,.5,
13232916,1,2011-09-14,IEXX,0,,0,
13232916,2,2011-09-14,SCAN,0,,0,
13723760,33,2013-10-05,FWDX,0,,0,
13723760,34,2013-10-07,PTGR,0,,0,
13723760,35,2013-10-07,MPTGR,0,,0,
13723760,36,2013-10-07,PG-SUBM,0,,0,
13723760,39,2013-10-09,EX.R,0,,0,
13723760,40,2013-10-10,N/=.,0,,0,
13723760,41,2013-10-10,DVER,0,,0,
13723760,45,2013-10-11,MN/=.,0,,0,
13723760,.5,2012-12-21,EFILE,0,,0,
13723760,47,2013-11-05,WIDS,0,,0,
13723760,48,2013-11-05,M844,120,APPL,0,
13723760,50,2013-11-05,IDSC,0,,0,
13723760,49,2013-12-17,PUBTC,0,,0,
13723760,52,2013-12-18,EX.R,0,,0,
13723760,51,2013-12-18,CNOA,0,,0,
13723760,56,2013-12-30,TCPB,0,,0,
13723760,55,2013-12-30,MCNOA,0,,0,
13723760,60,2014-01-13,N084,2,APPL,45,
13723760,57,2014-01-13,IFEE,0,,0,
13723760,58,2014-01-16,PG-ISSUE,0,,0,
13723760,62,2014-02-05,D1935,0,,0,
13723760,61,2014-02-05,PILS,0,,0,
13723760,64,2014-03-04,PTAC,0,,0,
