application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10367871,12,2003-07-09,DOCK,0,,0,
10367871,13,2003-07-09,TSSCOMP,0,,0,
10367871,14,2003-09-24,CTNF,0,,0,
10367871,15,2003-10-02,MCTNF,0,,0,
10367871,16,2003-11-10,M844,0,,0,
10367871,17,2004-01-02,A...,0,,0,
10367871,21,2004-01-02,LTDR,0,,0,
10367871,19,2004-01-12,SA..,10,APPL,17,
10367871,18,2004-01-21,FWDX,0,,0,
10055369,1,2002-01-23,IEXX,0,,0,
10055369,10,2002-01-23,RQPR,0,,0,
10055369,11,2002-01-23,A.PE,0,,0,
10055369,2,2002-02-05,SCAN,0,,0,
10055369,3,2002-02-15,INCD,0,,0,
10055369,4,2002-03-26,OATHDECL,0,,0,
10055369,6,2002-03-26,ADDFLFEE,0,,0,
10055369,5,2002-03-26,SES,0,,0,
10055369,7,2002-04-16,COMP,0,,0,
10055369,8,2002-04-17,OIPE,0,,0,
10055369,9,2002-05-05,DOCK,0,,0,
10055369,12,2003-08-15,M844,0,,0,
10055369,13,2003-09-02,DOCK,0,,0,
10055369,14,2003-10-01,CTNF,0,,0,
10055369,15,2003-10-07,MCTNF,198,PTO,-1,
10055369,18,2004-01-02,C604,0,,0,
10055369,19,2004-01-02,M844,0,,0,
10055369,16,2004-01-02,A...,0,,0,
10055369,17,2004-01-08,FWDX,0,,0,
10055369,21,2004-01-26,N/=.,0,,0,
10055369,22,2004-01-26,N/DR,0,,0,
10055369,23,2004-01-27,MN/DR,0,,0,
10055369,24,2004-01-27,MN/=.,0,,0,
10325495,1,2002-12-20,IEXX,0,,0,
10325495,4,2002-12-20,CLAIM,0,,0,
10325495,2,2002-12-31,SCAN,0,,0,
10325495,3,2003-01-14,INCD,0,,0,
10325495,5,2003-04-21,FLFEE,0,,0,
10325495,9,2003-04-21,A.PE,0,,0,
10325495,6,2003-05-07,COMP,23,APPL,3,
10325495,7,2003-05-08,OIPE,0,,0,
10325495,8,2003-05-19,DOCK,0,,0,
10325495,10,2003-05-27,A.PE,0,,0,
10325495,13,2003-06-10,M844,0,,0,
10325495,11,2003-06-15,CTNF,0,,0,
10325495,12,2003-06-18,MCTNF,0,,0,
10325495,14,2003-09-21,XT/G,0,,0,
10325495,15,2003-09-21,A...,3,APPL,12,
10325495,16,2003-09-25,FWDX,0,,0,
10325495,17,2003-11-03,CTFR,0,,0,
10325495,18,2003-11-05,MCTFR,0,,0,
10325495,19,2004-01-05,A.NE,0,,0,
10325495,21,2004-01-05,DIST,0,APPL,19,
09897678,47,2001-07-02,DRWF,0,,0,
09897678,46,2001-07-02,DRWM,0,,0,
09897678,37,2003-04-23,D1220,0,,0,
09897678,48,2003-07-28,N084,6,APPL,36,
09897678,38,2003-07-28,IFEE,0,,0,
09897678,40,2003-11-19,SENT,0,,0,
09897678,39,2003-11-19,R1021,0,,0,
