application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11082952,21,2007-04-13,FWDX,0,,0,
11082952,22,2007-07-05,EXIN,0,,0,
11082952,24,2007-07-09,EX.A,0,,0,
11082952,25,2007-08-06,DVER,0,,0,
11082952,27,2007-08-06,N/=.,0,,0,
11082952,28,2007-08-09,MEX.A,0,,0,
11082952,29,2007-08-09,MN/=.,5,PTO,20,
11187005,1,2005-07-22,IEXX,0,,0,
11187005,2,2005-07-30,SCAN,0,,0,
11187005,3,2005-08-05,L194,0,,0,
11187005,4,2005-08-10,COMP,0,,0,
11187005,5,2005-08-10,OIPE,0,,0,
11187005,6,2005-08-10,ROIPE,0,,0,
11187005,7,2005-08-10,COMP,0,,0,
11187005,8,2005-08-10,WROIPE,0,,0,
11187005,9,2005-08-10,ROIPE,0,,0,
11187005,10,2005-08-10,WROIPE,0,,0,
11187005,11,2005-10-14,DOCK,0,,0,
11187005,12,2005-10-14,TSSCOMP,0,,0,
11187005,13,2006-07-25,DOCK,0,,0,
11187005,14,2006-11-27,CTNF,0,,0,
11187005,15,2006-12-01,MCTNF,70,PTO,-1,
11187005,16,2006-12-12,WIDS,0,,0,
11187005,16.7,2006-12-12,M844,0,,0,
11187005,17,2006-12-12,RCAP,0,,0,
11187005,22,2006-12-12,IDSC,0,,0,
11187005,18,2007-01-25,PG-ISSUE,0,,0,
11187005,19,2007-03-01,A...,0,,0,
11187005,21,2007-03-01,C614,0,,0,
11187005,20,2007-03-13,FWDX,0,,0,
11187005,23,2007-04-16,CTFR,0,,0,
11187005,24,2007-04-18,MCTFR,0,,0,
11187005,25,2007-07-18,A.NE,0,,0,
11187005,26,2007-07-19,FWDX,0,,0,
11187005,28,2007-08-03,N/=.,0,,0,
11187005,29,2007-08-03,DVER,0,,0,
11187005,31,2007-08-07,MN/=.,0,,0,
10632844,29,2006-01-11,MCTNF,0,,0,
10632844,30,2006-04-03,WIDS,0,,0,
10632844,30.7,2006-04-03,M844,0,,0,
10632844,31,2006-04-03,RCAP,0,,0,
10632844,36,2006-04-03,IDSC,0,,0,
10632844,32,2006-04-13,SMAL,0,,0,
10632844,33,2006-06-15,XT/G,0,,0,
10632844,34,2006-06-15,A...,65,APPL,29,
10632844,35,2006-06-20,FWDX,0,,0,
10632844,37,2006-09-05,CTFR,0,,0,
10632844,38,2006-09-08,MCTFR,0,,0,
10632844,40,2006-12-04,A.NE,0,,0,
10632844,39,2006-12-12,BRCE,0,,0,
10632844,43,2006-12-12,RCEX,4,APPL,38,
10632844,41,2006-12-15,FWDX,0,,0,
10632844,42,2006-12-15,ABN9,0,,0,
10632844,44,2006-12-15,FWDX,0,,0,
10632844,46,2006-12-15,FWDX,0,,0,
10632844,47,2007-02-02,CTNF,0,,0,
10632844,48,2007-02-07,MCTNF,0,,0,
10632844,49,2007-05-07,A...,0,,0,
10632844,50,2007-05-10,FWDX,0,,0,
10632844,52,2007-07-23,EX.A,0,,0,
10632844,53,2007-07-23,N/=.,0,,0,
10632844,54,2007-07-23,DVER,0,,0,
10632844,56,2007-08-07,MEX.A,0,,0,
10632844,57,2007-08-07,MN/=.,0,,0,
10489855,14,2004-09-24,371COMP,0,,0,
10489855,18,2004-09-24,RCAP,0,,0,
10489855,19,2004-09-24,A.PE,0,,0,
10489855,12,2004-10-14,M903,0,,0,
10489855,13,2004-10-14,OIPE,0,,0,
10489855,22,2004-10-18,WIDS,0,,0,
10489855,22.7,2004-10-18,M844,0,,0,
10489855,28,2004-10-18,IDSC,0,,0,
10489855,15,2004-10-31,L194,0,,0,
10489855,20,2004-12-18,DOCK,0,,0,
10489855,21,2004-12-18,TSSCOMP,0,,0,
10489855,23,2005-01-13,IRFND,0,,0,
10489855,24,2006-10-31,CTRS,0,,0,
