application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10006600,110,2009-06-08,EX.A,0,,0,
10006600,111,2009-06-15,N/=.,0,,0,
10006600,112,2009-06-15,DVER,0,,0,
10006600,114,2009-06-17,MN/=.,0,,0,
10834465,75,2009-06-15,P025,0,,0,
11739213,1,2007-04-24,IEXX,0,,0,
11739213,2,2007-05-01,SCAN,0,,0,
11739213,3,2007-05-02,L198,0,,0,
11739213,4,2007-05-06,L128,0,,0,
11739213,8,2007-05-15,CPAP,0,,0,
11739213,10,2007-05-31,CORRSPEC,0,,0,
11739213,11,2007-05-31,ADDFLFEE,0,,0,
11739213,9,2007-06-07,C.ADB,0,,0,
11739213,12,2007-06-11,COMP,0,,0,
11739213,13,2007-06-11,PGPC,0,,0,
11739213,14,2007-11-01,PG-ISSUE,0,,0,
11739213,15,2007-11-19,OIPE,0,,0,
11739213,16,2008-01-09,TSSCOMP,0,,0,
11739213,17,2008-02-27,DOCK,0,,0,
11739213,22,2009-06-12,DVER,0,,0,
11739213,23,2009-06-12,N/=.,0,,0,
11739213,25,2009-06-16,MN/=.,357,PTO,-1,
11335956,1,2006-01-19,IEXX,0,,0,
11335956,7,2006-01-19,CLAIM,0,,0,
11335956,11,2006-01-19,RQPR,0,,0,
11335956,12,2006-01-19,WIDS,0,,0,
11335956,12.7,2006-01-19,M844,0,,0,
11335956,13,2006-01-19,A.PE,0,,0,
11335956,32,2006-01-19,IDSC,0,,0,
11335956,2,2006-02-02,SCAN,0,,0,
11335956,3,2006-02-07,L194,0,,0,
11335956,4,2006-02-22,CPAP,0,,0,
11335956,5,2006-04-21,CORRSPEC,0,,0,
11335956,6,2006-04-21,ADDFLFEE,0,,0,
11335956,8,2006-11-02,COMP,0,,0,
11335956,9,2006-11-02,OIPE,0,,0,
11335956,10,2006-11-08,TSSCOMP,0,,0,
11335956,14,2006-12-13,TI1050,0,,0,
11335956,15,2007-02-08,PG-ISSUE,0,,0,
11335956,17,2007-03-16,DOCK,0,,0,
11335956,18,2007-06-26,DOCK,0,,0,
11335956,19,2008-07-31,DOCK,0,,0,
11335956,20,2008-10-20,DOCK,0,,0,
11335956,24,2008-12-30,TI1050,0,,0,
11335956,25,2009-01-05,TI1054,0,,0,
11335956,26,2009-01-05,TI1052,0,,0,
11335956,27,2009-01-05,DOCK,0,,0,
11335956,33,2009-02-13,CTNF,0,,0,
11335956,34,2009-02-13,MCTNF,697,PTO,-1,
11335956,35,2009-05-12,A...,0,,0,
11335956,36,2009-06-03,FWDX,0,,0,
11335956,38,2009-06-15,N/=.,0,,0,
11335956,39,2009-06-15,DVER,0,,0,
11335956,41,2009-06-16,MN/=.,0,,0,
11873956,1,2007-10-17,IEXX,0,,0,
11873956,2,2007-10-17,WIDS,0,,0,
11873956,5,2007-10-17,PDREQUST,0,,0,
11873956,13,2007-10-17,M844,0,,0,
