application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10736909,62,2010-05-26,EML_NTR,0,,0,
10736909,63,2010-06-02,XT/G,0,,0,
10736909,64,2010-06-02,A...,59,APPL,59,
10736909,65,2010-06-08,FWDX,0,,0,
10736909,67,2010-08-09,CTFR,0,,0,
11817527,18,2008-07-31,PG-ISSUE,0,,0,
11817527,19,2008-08-01,EML_NTR,0,,0,
11817527,20,2010-03-16,DOCK,0,,0,
11817527,21,2010-07-08,CTRS,0,,0,
11817527,22,2010-07-15,MCTRS,622,PTO,8,
11817527,23,2010-07-15,EML_NTF,0,,0,
11817527,24,2010-07-15,ELC_RVW,0,,0,
11817527,25,2010-08-04,ELC.,0,,0,
11817527,26,2010-08-05,FWDX,0,,0,
11817527,30,2010-09-13,CTNF,0,,0,
11817527,31,2010-09-17,MCTNF,0,,0,
11817527,32,2010-09-17,EML_NTF,0,,0,
11817527,33,2010-09-17,ELC_RVW,0,,0,
11817527,34,2010-12-07,A...,0,,0,
11817527,35,2010-12-08,FWDX,0,,0,
11817527,37,2011-02-17,DOCK,0,,0,
11817527,38,2011-02-17,N/=.,0,,0,
11817527,39,2011-02-17,EX.A,0,,0,
11817527,40,2011-02-17,DVER,0,,0,
11817527,42,2011-02-23,MN/=.,0,,0,
11817527,.5,2005-09-09,NEFILE,0,,0,
11817527,49,2011-05-04,IFEE,0,,0,
11817527,50,2011-05-04,N084,0,,0,
11817527,51,2011-05-06,PILS,0,,0,
11817527,52,2011-05-06,D1935,0,,0,
11817527,54,2011-06-14,PTAC,0,,0,
11817527,54.5,2011-06-14,PTA36M,287,PTO,54.4,
11817527,54.4,2007-08-31,COMMN,0,,0,
12763907,3,2010-04-21,L194,0,,0,
12763907,4,2010-05-03,CPAP,0,,0,
12763907,5,2010-05-03,FLRCPT.O,0,,0,
12763907,6,2010-05-03,EML_NTF,0,,0,
12763907,7,2010-05-03,EML_NTR,0,,0,
12763907,8,2010-05-03,ELC_RVW,0,,0,
12763907,9,2010-05-14,PA..,0,,0,
12763907,10,2010-05-14,EML_NTR,0,,0,
12763907,11,2010-07-06,WIDS,0,,0,
12763907,12,2010-07-06,CORRDRW,0,,0,
12763907,13,2010-07-06,ADDFLFEE,0,,0,
12763907,19,2010-07-06,M844,0,,0,
12763907,20,2010-07-06,RCAP,0,,0,
12763907,23,2010-07-06,IDSC,0,,0,
12763907,15,2010-07-14,OIPE,0,,0,
12763907,14,2010-07-15,FLRCPT.U,0,,0,
12763907,16,2010-07-15,EML_NTR,0,,0,
12763907,17,2010-07-15,COMP,0,,0,
12763907,21,2010-09-09,DOCK,0,,0,
12763907,22,2010-10-07,DOCK,0,,0,
12763907,24,2010-10-17,CTNF,0,,0,
12763907,25,2010-10-21,MCTNF,0,,0,
12763907,26,2010-10-21,PG-ISSUE,0,,0,
12763907,27,2010-10-21,EML_NTF,0,,0,
12763907,29,2010-10-21,ELC_RVW,0,,0,
12763907,28,2010-10-22,EML_NTR,0,,0,
12763907,30,2011-01-21,A...,0,,0,
12763907,32,2011-01-21,DIST,0,,0,
12763907,33,2011-01-21,DIST,0,APPL,30,
12763907,31,2011-01-25,FWDX,0,,0,
12763907,34,2011-01-28,P574,0,,0,
12763907,35,2011-01-28,P574,0,,0,
12763907,43,2011-02-04,EX.A,0,,0,
12763907,44,2011-02-04,DVER,0,,0,
12763907,46,2011-02-04,DOCK,0,,0,
12763907,47,2011-02-04,N/=.,0,,0,
12763907,48,2011-02-09,MN/=.,0,,0,
12763907,.5,2010-04-20,EFILE,0,,0,
12763907,55,2011-05-09,IFEE,0,,0,
12763907,56,2011-05-09,N084,0,,0,
12763907,57,2011-05-10,C.AD,0,,0,
12763907,58,2011-05-10,PILS,0,,0,
12293425,41,2011-05-16,D1935,0,,0,
12293425,44,2011-06-14,PTAC,0,,0,
12293425,44.5,2011-06-14,PTA36M,0,PTO,44.4,
12293425,44.4,2008-11-24,COMMN,0,,0,
12047462,38,2011-01-21,FWDX,0,,0,
12047462,42,2011-02-28,WIDS,0,,0,
12047462,44,2011-02-28,M844,39,APPL,36,
12047462,43,2011-03-02,DVER,0,,0,
12047462,45,2011-03-02,DOCK,0,,0,
12047462,46,2011-03-02,N/=.,0,,0,
12047462,48,2011-03-03,MN/=.,0,,0,
12047462,.5,2008-03-13,EFILE,0,,0,
12047462,50,2011-03-24,PUBTC,0,,0,
12047462,52,2011-03-31,M327,0,,0,
12047462,53,2011-04-04,MM327,0,,0,
12047462,55,2011-05-03,IFEE,0,,0,
12047462,56,2011-05-03,N084,0,,0,
12047462,57,2011-05-05,PILS,0,,0,
12047462,58,2011-05-05,D1935,0,,0,
12047462,60,2011-06-14,PTAC,0,,0,
12047462,60.5,2011-01-19,PTA36M,0,PTO,.5,
12256028,74,2011-02-17,MEXIN,0,,0,
12256028,75,2011-02-17,EML_NTR,0,,0,
12256028,77,2011-02-24,P574,0,,0,
12256028,79,2011-05-02,IFEE,0,,0,
12256028,80,2011-05-02,N084,0,,0,
12256028,82,2011-05-04,D1935,0,,0,
12256028,81,2011-05-04,PILS,0,,0,
12256028,84,2011-06-14,PTAC,0,,0,
12256028,84.5,2010-12-22,PTA36M,0,PTO,.5,
10736909,68,2010-08-11,MCTFR,0,,0,
10736909,69,2010-08-11,EML_NTF,0,,0,
10736909,70,2010-08-11,ELC_RVW,0,,0,
10736909,71,2010-11-09,N/AP,0,,0,
10736909,73,2010-11-09,AP.B,0,,0,
10736909,72,2010-11-15,APBR,0,,0,
10736909,74,2010-11-19,FWDX,0,,0,
10736909,78,2011-01-31,N/=.,0,,0,
10736909,79,2011-02-07,DVER,0,,0,
10736909,81,2011-02-10,MN/=.,94,,71,
10736909,.5,2003-12-17,EFILE,0,,0,
10736909,86,2011-05-03,IFEE,0,,0,
10736909,87,2011-05-03,N084,0,,0,
10736909,88,2011-05-05,PILS,0,,0,
10736909,89,2011-05-05,D1935,0,,0,
10736909,91,2011-06-14,PTAC,0,,0,
10736909,91.5,2009-10-21,PTA36M,910,PTO,.5,
10736909,24,2007-07-03,MCTNF,69,,.5,
12763907,59,2011-05-11,D1935,0,,0,
12763907,61,2011-06-14,PTAC,0,,0,
12763907,61.5,2011-06-14,PTA36M,0,PTO,.5,
10687303,1,2003-10-14,IEXX,0,,0,
10687303,2,2003-12-17,SCAN,0,,0,
10687303,3,2004-01-07,L194,0,,0,
10687303,5,2004-01-12,COMP,0,,0,
10687303,6,2004-01-12,OIPE,0,,0,
10687303,7,2004-01-12,ROIPE,0,,0,
10687303,8,2004-01-12,WROIPE,0,,0,
10687303,9,2004-06-22,TSSCOMP,0,,0,
10687303,10,2005-04-25,DOCK,0,,0,
10687303,11,2006-03-21,DOCK,0,,0,
10687303,12,2006-03-23,DOCK,0,,0,
10687303,13,2006-11-20,DOCK,0,,0,
10687303,14,2006-12-11,CTNF,0,,0,
12095180,1,2008-05-28,IEXX,0,,0,
12095180,2,2008-05-28,SCAN,0,,0,
