application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11181914,28,2008-02-27,FWDX,0,,0,
11181914,31,2008-03-17,CTAV,0,,0,
11181914,32,2008-03-25,MCTAV,0,,0,
11181914,33,2008-04-21,BRCE,0,,0,
11181914,34,2008-04-21,XT/G,0,,0,
11181914,36,2008-04-21,RCEX,62,APPL,26,
11181914,35,2008-05-08,ABN9,0,,0,
11181914,37,2008-05-08,FWDX,0,,0,
11181914,39,2008-05-08,FWDX,0,,0,
11181914,43,2008-06-07,CTNF,0,,0,
11181914,44,2008-06-09,MCTNF,0,,0,
11181914,45,2008-09-09,A...,0,,0,
11181914,46,2008-10-02,FWDX,0,,0,
11181914,50,2008-12-10,N/=.,0,,0,
11181914,51,2008-12-10,DVER,0,,0,
11181914,53,2008-12-15,MN/=.,0,,0,
11510030,1,2006-08-25,IEXX,0,,0,
11510030,7,2006-08-25,WIDS,0,,0,
11445908,1,2006-06-02,IEXX,0,,0,
11445908,2,2006-06-09,SCAN,0,,0,
11445908,3,2006-06-16,L194,0,,0,
11445908,5,2006-06-23,OIPE,0,,0,
11445908,4,2006-06-26,COMP,0,,0,
11445908,6,2007-04-11,DOCK,0,,0,
11445908,7,2007-04-11,TSSCOMP,0,,0,
11445908,8,2007-06-11,CTNF,0,,0,
11445908,9,2007-06-14,MCTNF,0,,0,
11445908,10,2007-09-13,C.ADB,0,,0,
11445908,11,2007-09-17,A...,3,APPL,9,
11445908,12,2007-09-19,FWDX,0,,0,
11445908,13,2007-11-26,CTFR,0,,0,
11445908,14,2007-11-28,MCTFR,0,,0,
11445908,15,2007-12-27,BRCE,0,,0,
11445908,17,2007-12-27,RCEX,0,,0,
11445908,21,2007-12-27,DIST,0,,0,
11445908,22,2007-12-27,DIST,0,,0,
11445908,16,2007-12-29,ABN9,0,,0,
11445908,18,2007-12-29,FWDX,0,,0,
11445908,20,2007-12-29,FWDX,0,,0,
11445908,23,2007-12-31,P574,0,,0,
11445908,24,2008-01-04,PA..,0,,0,
11445908,25,2008-01-15,PA..,0,,0,
11445908,29,2008-03-17,CTNF,0,,0,
11445908,30,2008-03-18,MCTNF,0,,0,
11445908,31,2008-05-21,A...,0,,0,
11445908,32,2008-06-02,FWDX,0,,0,
11981236,36,2008-12-08,N/=.,0,,0,
11981236,37,2008-12-08,DVER,0,,0,
11981236,39,2008-12-12,MN/=.,0,,0,
11823806,8,2007-12-04,TSSCOMP,0,,0,
11823806,9,2008-01-28,TI1050,0,,0,
11823806,10,2008-02-20,TI1050,0,,0,
11823806,11,2008-02-21,PG-ISSUE,0,,0,
11823806,12,2008-02-23,TI1050,0,,0,
11823806,13,2008-03-06,DOCK,0,,0,
11823806,14,2008-06-02,CTNF,0,,0,
11823806,15,2008-06-16,MCTNF,0,,0,
11823806,16,2008-09-11,A...,0,,0,
11823806,17,2008-10-09,FWDX,0,,0,
11823806,23,2008-12-11,DVER,0,,0,
11823806,25,2008-12-11,N/=.,0,,0,
11823806,26,2008-12-12,MN/=.,0,,0,
11216333,1,2005-08-31,IEXX,0,,0,
11216333,2,2005-08-31,CRFL,0,,0,
11216333,3,2005-09-11,SCAN,0,,0,
11216333,5,2005-09-15,CRFF,0,,0,
11216333,6,2005-09-16,L194,0,,0,
11216333,8,2005-09-21,INCD,0,,0,
11216333,9,2005-11-18,OATHDECL,0,,0,
11216333,10,2005-11-18,SEQLIST,0,,0,
11216333,11,2005-11-18,ADDFLFEE,0,,0,
11216333,17,2005-11-28,RQPR,0,,0,
11216333,12,2005-12-08,COMP,0,,0,
11216333,13,2005-12-08,OIPE,0,,0,
11216333,14,2006-02-17,WIDS,0,,0,
11216333,14.7,2006-02-17,M844,0,,0,
11216333,15,2006-02-17,RCAP,0,,0,
11216333,28,2006-02-17,IDSC,0,,0,
11216333,16,2006-06-05,DOCK,0,,0,
11216333,19,2006-06-05,TSSCOMP,0,,0,
11216333,20,2006-08-07,DOCK,0,,0,
11216333,21,2006-08-09,DOCK,0,,0,
11216333,22,2006-10-12,DOCK,0,,0,
11216333,23,2006-10-30,CTRS,0,,0,
11216333,24,2006-10-31,MCTRS,0,,0,
11216333,25,2006-12-11,XT/G,0,,0,
11216333,26,2006-12-11,ELC.,0,,0,
11216333,27,2006-12-21,FWDX,0,,0,
11216333,29,2007-03-05,CTNF,0,,0,
11216333,30,2007-03-08,MCTNF,0,,0,
11216333,31,2007-06-08,A...,0,,0,
11216333,32,2007-07-06,FWDX,0,,0,
11216333,33,2007-09-14,CTFR,0,,0,
11520112,1,2006-09-13,IEXX,0,,0,
11520112,16,2006-09-13,OATHDECL,0,,0,
11520112,2,2006-09-22,SCAN,0,,0,
11520112,3,2006-09-25,L194,0,,0,
11520112,4,2006-10-02,INCD,0,,0,
11520112,15,2006-10-02,W/OA,0,,0,
11520112,5,2006-12-05,ABNX,0,,0,
11232361,3,2005-10-05,L194,0,,0,
11232361,5,2005-10-08,OIPE,0,,0,
11232361,4,2005-10-11,COMP,0,,0,
11232361,6,2006-02-02,DOCK,0,,0,
11232361,9,2006-02-02,TSSCOMP,0,,0,
11232361,10,2006-02-24,WIDS,0,,0,
11232361,10.7,2006-02-24,M844,0,,0,
11232361,14,2006-02-24,IDSC,0,,0,
11232361,11,2007-04-04,DOCK,0,,0,
11232361,12,2007-04-23,DOCK,0,,0,
11232361,13,2008-03-31,DOCK,0,,0,
11232361,19,2008-04-25,CTNF,0,,0,
11232361,20,2008-04-25,MCTNF,521,PTO,-1,
11232361,21,2008-09-25,XT/G,0,,0,
11232361,22,2008-09-25,A...,62,APPL,20,
11232361,23,2008-10-22,FWDX,0,,0,
11232361,25,2008-12-09,N/=.,0,,0,
11232361,26,2008-12-09,DVER,0,,0,
11232361,28,2008-12-12,MN/=.,0,,0,
10928626,1,2004-08-27,IEXX,0,,0,
10928626,2,2004-08-27,CRFL,0,,0,
10928626,3,2004-09-08,CRFE,0,,0,
10928626,4,2004-09-14,SCAN,0,,0,
10928626,6,2004-09-22,INCD,0,,0,
10928626,8,2004-10-05,L194,0,,0,
10928626,9,2004-11-22,OATHDECL,0,,0,
10928626,10,2004-11-22,FLFEE,0,,0,
10928626,11,2004-12-08,COMP,0,,0,
10928626,12,2004-12-08,OIPE,0,,0,
10928626,13,2004-12-08,ROIPE,0,,0,
10928626,14,2004-12-08,WROIPE,0,,0,
10928626,15,2005-02-16,WIDS,0,,0,
10928626,15.7,2005-02-16,M844,0,,0,
10928626,16,2005-02-16,RCAP,0,,0,
10928626,17,2005-03-21,WIDS,0,,0,
10928626,17.7,2005-03-21,M844,0,,0,
10928626,18,2005-03-21,RCAP,0,,0,
10928626,19,2005-06-16,WIDS,0,,0,
10928626,19.7,2005-06-16,M844,0,,0,
10928626,30,2005-06-16,IDSC,0,,0,
10928626,20,2005-09-08,DOCK,0,,0,
10928626,21,2005-09-08,TSSCOMP,0,,0,
10928626,22,2006-10-12,DOCK,0,,0,
10526367,44,2006-11-01,MCTRS,0,,0,
10526367,45,2006-12-01,ELC.,0,,0,
10526367,46,2006-12-20,FWDX,0,,0,
