application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10963276,19,2006-12-18,CTNF,0,,0,
10963276,20,2006-12-19,MCTNF,372,PTO,-1,
10963276,21,2007-04-06,XT/G,0,,0,
11861504,1,2007-09-26,IEXX,0,,0,
11861504,2,2007-09-26,NPRQ,0,,0,
11861504,3,2007-09-26,SCAN,0,,0,
11861504,4,2007-09-27,L194,0,,0,
11861504,5,2007-10-05,COMP,0,,0,
11861504,6,2007-10-05,PGPC,0,,0,
11877378,1,2007-10-23,IEXX,0,,0,
11877378,2,2007-10-23,SCAN,0,,0,
11877378,3,2007-10-30,L194,0,,0,
11877378,4,2007-11-14,FLRCPT.O,0,,0,
11877378,5,2007-11-14,INCD,0,,0,
11877378,6,2008-01-03,OATHDECL,0,,0,
11877378,7,2008-01-03,ADDFLFEE,0,,0,
11877378,8,2008-01-08,FLRCPT.U,0,,0,
11877378,9,2008-01-08,PGPC,0,,0,
11877378,10,2008-01-28,OIPE,0,,0,
11877378,11,2008-03-06,TSSCOMP,0,,0,
11877378,12,2008-04-24,PG-ISSUE,0,,0,
11877378,13,2008-05-03,DOCK,0,,0,
11877378,14,2008-06-10,DOCK,0,,0,
11877378,17,2008-08-12,CTNF,0,,0,
11484217,1,2006-07-11,IEXX,0,,0,
11484217,2,2006-07-14,SCAN,0,,0,
11484217,4,2006-07-17,L194,0,,0,
11484217,7,2006-08-01,INCD,0,,0,
11484217,8,2006-10-02,OATHDECL,0,,0,
11484217,9,2006-10-02,ADDFLFEE,0,,0,
11484217,10,2006-10-19,COMP,0,,0,
10561182,8,2006-03-13,A.PE,0,,0,
10561182,3,2006-04-12,M903,0,,0,
10561182,4,2006-04-12,OIPE,0,,0,
10561182,9,2006-06-07,DOCK,0,,0,
10561182,10,2006-06-07,TSSCOMP,0,,0,
10561182,11,2007-10-04,DOCK,0,,0,
10561182,12,2007-10-29,WIDS,0,,0,
10561182,13,2007-10-29,M844,0,,0,
10561182,14,2007-10-29,RCAP,0,,0,
10561182,17,2007-10-29,IDSC,0,,0,
10561182,19,2008-03-31,CTNF,0,,0,
10561182,20,2008-04-08,MCTNF,416,PTO,5,
10561182,24,2008-06-04,NRES,0,,0,
10561182,25,2008-06-04,MNRES,0,,0,
10561182,26,2008-09-04,A...,58,APPL,20,
10561182,27,2008-10-05,FWDX,0,,0,
10561182,28,2008-12-03,CTFR,0,,0,
