application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12071329,11,2008-08-25,PA..,0,,0,
12071329,12,2008-08-28,PG-ISSUE,0,,0,
12071329,14,2008-09-19,TSSCOMP,0,,0,
12071329,15,2008-09-21,TI1050,0,,0,
12071329,17,2008-11-05,DOCK,0,,0,
12071329,18,2009-05-28,DOCK,0,,0,
12071329,19,2010-01-04,C.ADB,0,,0,
12071329,20,2010-07-20,DOCK,0,,0,
12071329,24,2010-08-10,CTNF,0,,0,
12071329,25,2010-08-12,MCTNF,479,PTO,.5,
12268559,.5,2008-11-11,EFILE,0,,0,
12268559,48,2011-01-21,IFEE,0,,0,
12268559,49,2011-01-21,DRWF,34,APPL,0,
12268559,53,2011-01-21,REAS,0,,0,
12268559,52,2011-01-21,A.NA,13,APPL,55,
12268559,50,2011-01-21,N084,0,,0,
12268559,51,2011-01-25,PILS,0,,0,
12268559,54,2011-01-28,N271,0,,0,
12268559,56,2011-02-01,D1935,0,,0,
12268559,55,2011-02-02,MN271,0,,0,
12268559,57,2011-02-02,EML_NTR,0,,0,
12268559,60,2011-03-08,PTAC,0,,0,
12268559,60.5,2011-03-08,PTA36M,0,PTO,.5,
12374243,8,2009-01-18,371COMP,0,,0,
12071329,26,2010-08-12,EML_NTF,0,,0,
12071329,27,2010-08-21,PST_CRD,0,,0,
12071329,28,2011-01-06,XT/G,0,,0,
12071329,29,2011-01-06,A...,55,APPL,25,
12071329,31,2011-01-06,C614,0,,0,
12071329,30,2011-01-10,FWDX,0,,0,
12071329,34,2011-01-12,DOCK,0,,0,
12071329,35,2011-01-12,N/=.,0,,0,
12071329,37,2011-01-12,DVER,0,,0,
12071329,38,2011-01-18,MN/=.,0,,0,
12071329,.5,2008-02-20,EFILE,0,,0,
12071329,41,2011-01-26,PST_CRD,0,,0,
12071329,42,2011-02-01,IFEE,0,,0,
12071329,43,2011-02-01,N084,0,,0,
12071329,44,2011-02-02,PILS,0,,0,
12071329,45,2011-02-07,D1935,0,,0,
12071329,46,2011-02-07,D1935,0,,0,
12071329,49,2011-03-08,PTAC,0,,0,
12071329,49.5,2011-03-08,PTA36M,16,PTO,.5,
12374243,4,2009-02-13,WIDS,0,,0,
12374243,13,2009-02-13,EIDS.,0,,0,
12374243,16,2009-02-13,IDSC,0,,0,
12374243,5,2009-06-23,M903,0,,0,
12374243,6,2009-06-23,FLRCPT.O,0,,0,
12374243,7,2009-06-23,PGPC,0,,0,
12374243,9,2009-07-13,OIPE,0,,0,
12374243,14,2009-09-10,DOCK,0,,0,
12374243,15,2009-10-01,PG-ISSUE,0,,0,
12374243,19,2010-01-27,EXIN,0,,0,
12374243,20,2010-01-28,CTNF,0,,0,
12374243,21,2010-01-29,MCTNF,0,,0,
12374243,22,2010-04-29,A...,0,,0,
12374243,24,2010-04-29,DIST,0,APPL,22,
12374243,23,2010-05-06,FWDX,0,,0,
12374243,25,2010-05-12,P574,0,,0,
12374243,26,2010-06-15,CTFR,0,,0,
12374243,27,2010-06-16,MCTFR,0,,0,
12374243,28,2010-09-08,A.NE,0,,0,
12374243,29,2010-09-08,FWDX,0,,0,
12374243,30,2010-09-18,CTAV,0,,0,
12374243,31,2010-09-21,MCTAV,0,,0,
12374243,32,2010-10-06,DOCK,0,,0,
12374243,33,2010-10-07,BRCE,0,,0,
12374243,35,2010-10-07,FWDX,0,,0,
12374243,36,2010-10-07,ABN9,0,,0,
12374243,37,2010-10-07,RCEX,21,APPL,27,
12374243,39,2010-10-07,FWDX,0,,0,
12374243,41,2010-10-18,N/=.,0,,0,
12374243,42,2010-10-18,DVER,0,,0,
12374243,45,2010-10-19,MN/=.,0,,0,
12374243,.5,2007-07-04,NEFILE,0,,0,
12374243,48,2010-10-26,IDSC,0,,0,
12374243,47,2010-10-26,WIDS,0,,0,
12374243,49,2010-10-28,M327-B,0,,0,
12374243,50,2010-10-29,MM327-B,0,,0,
12374243,54,2010-10-29,RCAP,0,,0,
12374243,51,2010-10-29,WIDS,0,,0,
12374243,53,2010-10-29,M844,6,APPL,56,
12374243,52,2010-10-29,IDSC,0,,0,
12374243,55,2010-11-03,M327,0,,0,
12374243,56,2010-11-03,MM327,0,,0,
12374243,58,2011-01-14,IFEE,0,,0,
12374243,59,2011-01-14,N084,0,,0,
12374243,60,2011-01-19,PILS,0,,0,
12374243,61,2011-01-19,D1935,0,,0,
12374243,62,2011-01-21,D1935,0,,0,
12374243,64,2011-03-08,PTAC,0,,0,
12374243,64.5,2010-10-06,PTA36M,0,PTO,64.4,
12374243,64.4,2009-01-21,COMMN,0,,0,
11920880,6,2009-03-04,OATHDECL,0,,0,
11920880,8,2009-03-04,ADDFLFEE,0,,0,
11920880,12,2009-03-04,371COMP,0,,0,
11920880,11,2009-04-14,PGPC,0,,0,
11920880,9,2009-04-15,M903,0,,0,
11920880,10,2009-04-15,FLRCPT.O,0,,0,
11920880,13,2009-04-15,EML_NTR,0,,0,
11920880,14,2009-04-15,EML_NTR,0,,0,
11920880,15,2009-04-17,C.ADB,0,,0,
11920880,16,2009-04-30,OIPE,0,,0,
11920880,17,2009-07-23,PG-ISSUE,0,,0,
11920880,18,2009-07-24,EML_NTR,0,,0,
11920880,21,2009-11-16,NPRL,0,,0,
11920880,24,2009-11-18,MNPRL,0,,0,
11920880,25,2009-11-19,EML_NTR,0,,0,
11920880,26,2009-11-24,DOCK,0,,0,
11920880,31,2010-01-01,CTNF,0,,0,
11920880,32,2010-01-06,MCTNF,0,,0,
11920880,33,2010-01-06,EML_NTF,0,,0,
11920880,34,2010-01-06,ELC_RVW,0,,0,
11920880,35,2010-04-06,A...,0,,0,
11920880,36,2010-04-29,FWDX,0,,0,
11920880,38,2010-05-05,CTFR,0,,0,
11920880,39,2010-05-07,MCTFR,0,,0,
11920880,40,2010-05-08,EML_NTF,0,,0,
11920880,41,2010-05-10,ELC_RVW,0,,0,
11920880,42,2010-08-05,A.NE,0,,0,
11920880,43,2010-08-06,FWDX,0,,0,
11920880,44,2010-08-10,CTAV,0,,0,
11920880,45,2010-08-12,MCTAV,0,,0,
11920880,46,2010-08-12,EML_NTR,0,,0,
11920880,47,2010-10-06,DOCK,0,,0,
11920880,48,2010-10-12,BRCE,0,,0,
11920880,49,2010-10-12,XT/G,0,,0,
11920880,51,2010-10-12,RCEX,66,APPL,39,
11920880,54,2010-10-12,AF/D,0,,0,
11920880,50,2010-10-13,ABN9,0,,0,
11920880,53,2010-10-13,FWDX,0,,0,
11920935,9,2008-04-21,371COMP,0,,0,
11920935,5,2008-05-02,WIDS,0,,0,
11920935,16,2008-05-02,M844,0,,0,
11920935,23,2008-05-02,IDSC,0,,0,
11920935,6,2009-02-17,M903,0,,0,
11920935,7,2009-02-17,FLRCPT.O,0,,0,
11920935,8,2009-02-17,PGPC,0,,0,
11920935,10,2009-03-05,OIPE,0,,0,
11920935,11,2009-04-22,TSSCOMP,0,,0,
11920935,17,2009-05-04,TI1050,0,,0,
11920935,18,2009-05-28,PG-ISSUE,0,,0,
11920935,20,2009-08-28,DOCK,0,,0,
11920935,24,2010-06-21,CTNF,0,,0,
11920935,25,2010-06-22,MCTNF,366,PTO,9,
11920935,26,2010-09-22,A...,0,,0,
11920935,27,2010-09-28,FWDX,0,,0,
11920935,31,2010-11-10,DVER,0,,0,
11920935,32,2010-11-10,N/=.,0,,0,
11920935,34,2010-11-12,MN/=.,0,,0,
11920935,.5,2006-06-06,NEFILE,0,,0,
11920935,37,2011-01-31,IFEE,0,,0,
11920935,38,2011-01-31,N084,0,,0,
11920935,39,2011-02-01,PILS,0,,0,
11920935,40,2011-02-01,D1935,0,,0,
11920935,41,2011-02-01,D1935,0,,0,
11920935,43,2011-03-08,PTAC,0,,0,
11920935,43.5,2011-03-08,PTA36M,88,PTO,43.4,
11920935,43.4,2007-12-10,COMMN,0,,0,
11920880,56,2010-11-01,N/=.,0,,0,
11920880,57,2010-11-01,DVER,0,,0,
11920880,59,2010-11-03,MN/=.,0,,0,
11920880,.5,2006-05-16,NEFILE,0,,0,
11920880,61,2010-11-04,ELC_RVW,0,,0,
11920880,67,2011-01-26,REAS,0,,0,
11920880,63,2011-01-28,IFEE,0,,0,
11920880,66,2011-01-28,REAS,0,,0,
11920880,64,2011-01-28,N084,0,,0,
11920880,65,2011-01-31,PILS,0,,0,
11920880,68,2011-02-02,D1935,0,,0,
11920880,70,2011-03-08,PTAC,0,,0,
11920880,70.5,2010-10-11,PTA36M,0,PTO,70.4,
11920880,70.4,2007-11-26,COMMN,0,,0,
12418490,1,2009-04-03,IEXX,0,,0,
12418490,2,2009-04-05,SCAN,0,,0,
12418490,3,2009-04-06,L194,0,,0,
12418490,10,2009-04-14,RQPR,0,,0,
12418490,4,2009-04-17,INCD,0,,0,
12418490,5,2009-04-17,FLRCPT.O,0,,0,
12418490,6,2009-07-10,ADDFLFEE,0,,0,
12418490,7,2009-07-16,FLRCPT.U,0,,0,
12418490,8,2009-07-16,PGPC,0,,0,
12418490,9,2009-07-24,OIPE,0,,0,
12418490,11,2009-09-29,DOCK,0,,0,
12418490,12,2009-10-14,DOCK,0,,0,
12418490,13,2010-05-20,PG-ISSUE,0,,0,
12418490,15,2010-06-23,CTRS,0,,0,
12418490,16,2010-06-28,MCTRS,25,PTO,.5,
12418490,17,2010-07-22,ELC.,0,,0,
12418490,18,2010-07-23,FWDX,0,,0,
12418490,19,2010-08-03,CTNF,0,,0,
12418490,20,2010-08-05,MCTNF,0,,0,
12418490,21,2010-11-02,EXIN,0,,0,
12418490,22,2010-11-03,MEXIN,0,,0,
12418490,23,2010-11-05,AF/D,0,,0,
12418490,24,2010-11-05,A...,0,,0,
12418490,25,2010-11-09,FWDX,0,,0,
12418490,29,2010-12-08,EX.A,0,,0,
12418490,30,2010-12-20,DOCK,0,,0,
12418490,31,2010-12-20,N/=.,0,,0,
12418490,32,2010-12-20,DVER,0,,0,
12418490,34,2010-12-27,MN/=.,0,,0,
12418490,.5,2009-04-03,EFILE,0,,0,
12418490,37,2011-01-25,IFEE,0,,0,
12418490,38,2011-01-25,N084,0,,0,
12418490,40,2011-01-25,TCPB,0,,0,
12418490,39,2011-01-26,PILS,0,,0,
12418490,41,2011-01-28,D1935,0,,0,
12418490,44,2011-03-08,PTAC,0,,0,
12418490,44.5,2011-03-08,PTA36M,0,PTO,.5,
12487400,1,2009-06-18,IEXX,0,,0,
12487400,2,2009-06-18,SCAN,0,,0,
12487400,3,2009-06-19,L194,0,,0,
12487400,4,2009-07-06,INCD,0,,0,
12487400,5,2009-07-06,FLRCPT.O,0,,0,
12487400,6,2009-10-19,CORRDRW,0,,0,
12487400,7,2009-10-19,OATHDECL,0,,0,
12487400,8,2009-10-19,ADDFLFEE,0,,0,
12487400,9,2009-10-27,FLRCPT.U,0,,0,
12487400,10,2009-10-27,PGPC,0,,0,
12487400,11,2009-11-10,OIPE,0,,0,
12487400,12,2009-11-11,WIDS,0,,0,
12487400,14,2009-11-11,EIDS.,0,,0,
12487400,22,2009-11-11,IDSC,0,,0,
12487400,13,2010-02-04,PG-ISSUE,0,,0,
12487400,15,2010-06-22,DOCK,0,,0,
12487400,16,2010-10-13,DOCK,0,,0,
12487400,24,2010-10-27,EXIN,0,,0,
12487400,25,2010-11-01,DVER,0,,0,
12487400,26,2010-11-01,EX.A,0,,0,
12487400,27,2010-11-01,N/=.,0,,0,
12487400,29,2010-11-01,MN/=.,75,PTO,.5,
12487400,.5,2009-06-18,EFILE,0,,0,
12487400,32,2011-01-31,IFEE,0,,0,
12487400,33,2011-01-31,SMAL,0,,0,
12487400,34,2011-01-31,N084,0,,0,
12785711,1,2010-05-24,IEXX,0,,0,
12785711,2,2010-05-24,L198,0,,0,
12785711,14,2010-05-24,A.PE,0,,0,
12785711,3,2010-05-26,L128,0,,0,
12785711,5,2010-06-07,OIPE,0,,0,
12785711,4,2010-06-08,FLRCPT.O,0,,0,
12785711,6,2010-06-08,COMP,0,,0,
12785711,7,2010-06-15,DOCK,0,,0,
12785711,11,2010-07-20,CTNF,0,,0,
12785711,12,2010-07-22,MCTNF,0,,0,
12785711,13,2010-09-16,PG-ISSUE,0,,0,
12785711,15,2010-10-06,DOCK,0,,0,
12785711,16,2010-10-22,A...,0,,0,
12785711,17,2010-10-26,FWDX,0,,0,
12785711,19,2010-11-26,EX.A,0,,0,
12785711,20,2010-11-29,DVER,0,,0,
12785711,21,2010-11-29,N/=.,0,,0,
12785711,23,2010-11-30,MN/=.,0,,0,
12785711,.5,2010-05-24,EFILE,0,,0,
12785711,27,2011-02-01,IFEE,0,,0,
12785711,28,2011-02-01,N084,0,,0,
12785711,29,2011-02-02,PILS,0,,0,
12785711,30,2011-02-03,D1935,0,,0,
12785711,32,2011-03-08,PTAC,0,,0,
12785711,32.5,2011-03-08,PTA36M,0,PTO,.5,
12487400,35,2011-02-01,PILS,0,,0,
12487400,36,2011-02-01,D1935,0,,0,
12487400,38,2011-03-08,PTAC,0,,0,
12487400,38.5,2011-03-08,PTA36M,0,PTO,.5,
11932478,1,2007-10-31,IEXX,0,,0,
11932478,2,2007-10-31,WIDS,0,,0,
11932478,3,2007-10-31,WIDS,0,,0,
11932478,12,2007-10-31,A.PE,0,,0,
11932478,13,2007-10-31,M844,0,,0,
11932478,14,2007-10-31,RCAP,0,,0,
11932478,15,2007-10-31,M844,0,,0,
11932478,23,2007-10-31,IDSC,0,,0,
11932478,24,2007-10-31,IDSC,0,,0,
11932478,4,2007-11-04,SCAN,0,,0,
11932478,5,2007-11-14,L194,0,,0,
11932478,6,2007-12-04,FLRCPT.O,0,,0,
11932478,7,2007-12-04,PGPC,0,,0,
11932478,8,2007-12-14,OIPE,0,,0,
11932478,10,2008-03-06,PG-ISSUE,0,,0,
11932478,11,2008-04-05,C.AD,0,,0,
11932478,16,2008-04-05,TSSCOMP,0,,0,
11932478,17,2008-06-09,DOCK,0,,0,
11932478,18,2008-12-24,DOCK,0,,0,
11932478,19,2009-05-01,DOCK,0,,0,
11932478,20,2009-05-04,DOCK,0,,0,
11932478,25,2009-06-22,CTNF,0,,0,
11932478,26,2009-06-29,MCTNF,180,PTO,.5,
11932478,27,2009-06-29,EML_NTF,0,,0,
11932478,28,2009-06-29,ELC_RVW,0,,0,
11932478,29,2009-10-20,XT/G,0,,0,
11932478,30,2009-10-20,A...,21,APPL,26,
11932478,31,2009-10-21,FWDX,0,,0,
11932478,32,2010-01-19,CTNF,0,,0,
11932478,33,2010-01-26,MCTNF,0,,0,
11932478,34,2010-01-26,EML_NTF,0,,0,
11932478,35,2010-01-26,ELC_RVW,0,,0,
11932478,36,2010-06-26,BRCE,0,,0,
11932478,38,2010-06-26,XT/G,0,,0,
12097812,31,2010-06-25,EML_NTF,0,,0,
12097812,32,2010-06-25,ELC_RVW,0,,0,
12097812,33,2010-10-16,DOCK,0,,0,
12097812,34,2010-10-22,WIDS,0,,0,
12097812,35,2010-10-22,M844,0,,0,
12097812,36,2010-10-22,XT/G,0,,0,
12097812,37,2010-10-22,A...,27,APPL,30,
12097812,39,2010-10-22,IDSC,0,,0,
12097812,38,2010-10-26,FWDX,0,,0,
12097812,41,2010-11-29,DOCK,0,,0,
12097812,42,2010-11-29,N/=.,0,,0,
12097812,43,2010-11-29,DVER,0,,0,
12097812,45,2010-12-02,MN/=.,0,,0,
12097812,.5,2006-12-19,NEFILE,0,,0,
12097812,50,2011-01-27,IFEE,0,,0,
12097812,51,2011-01-27,N084,0,,0,
12097812,53,2011-01-27,REAS,0,,0,
12097812,52,2011-01-28,PILS,0,,0,
12097812,54,2011-01-31,D1935,0,,0,
12097812,56,2011-03-08,PTAC,0,,0,
12097812,56.5,2011-03-08,PTA36M,0,PTO,56.4,
12097812,56.4,2008-06-17,COMMN,0,,0,
12005658,14,2007-12-27,RQPR,0,,0,
12005658,1,2007-12-28,IEXX,0,,0,
12005658,2,2008-01-13,SCAN,0,,0,
12005658,3,2008-01-22,L194,0,,0,
12005658,4,2008-01-29,FLRCPT.O,0,,0,
12005658,5,2008-01-29,INCD,0,,0,
12005658,6,2008-02-12,PDREQUST,0,,0,
12005658,7,2008-02-12,OATHDECL,0,,0,
12005658,8,2008-02-12,FLFEE,0,,0,
12005658,9,2008-03-27,COMP,0,,0,
12005658,10,2008-03-27,FLRCPT.U,0,,0,
12005658,11,2008-03-27,PGPC,0,,0,
12005658,12,2008-04-07,WIDS,0,,0,
12005658,15,2008-04-07,M844,0,,0,
12005658,16,2008-04-07,RCAP,0,,0,
12005658,23,2008-04-07,IDSC,0,,0,
12005658,13,2008-04-22,OIPE,0,,0,
12005658,17,2008-05-29,TSSCOMP,0,,0,
12005658,18,2008-07-10,PG-ISSUE,0,,0,
12005658,19,2008-12-01,DOCK,0,,0,
12005658,20,2009-04-08,DOCK,0,,0,
12005658,22,2009-05-05,WIDS,0,,0,
12005658,24,2009-05-05,IDSC,0,,0,
12005658,28,2009-05-26,CTNF,0,,0,
12005658,29,2009-05-27,MCTNF,89,PTO,.5,
12005658,30,2009-09-28,XT/G,0,,0,
12005658,31,2009-09-28,A...,32,APPL,29,
12005658,32,2009-10-24,FWDX,0,,0,
12005658,33,2009-12-03,CTFR,0,,0,
12005658,34,2009-12-07,MCTFR,0,,0,
12005658,35,2009-12-07,EML_NTF,0,,0,
12005658,36,2009-12-07,ELC_RVW,0,,0,
12005658,37,2010-05-04,BRCE,0,,0,
12005658,38,2010-05-04,XT/G,0,,0,
12005658,40,2010-05-04,RCEX,58,APPL,34,
12005658,39,2010-05-06,ABN9,0,,0,
12005658,41,2010-05-27,CTNF,0,,0,
12005658,42,2010-06-01,MCTNF,0,,0,
12005658,43,2010-06-01,EML_NTF,0,,0,
12005658,44,2010-06-01,ELC_RVW,0,,0,
12005658,45,2010-09-29,XT/G,0,,0,
12005658,46,2010-09-29,A...,28,APPL,42,
12005658,47,2010-10-01,FWDX,0,,0,
12005658,49,2010-10-31,EX.A,0,,0,
12005658,50,2010-11-01,N/=.,0,,0,
12005658,51,2010-11-01,DVER,0,,0,
12005658,53,2010-11-03,MN/=.,0,,0,
12005658,.5,2007-12-27,EFILE,0,,0,
12005658,58,2010-11-22,C.AD,0,,0,
12005658,59,2010-11-22,PA..,0,,0,
12005658,60,2010-11-23,EML_NTR,0,,0,
12005658,62,2011-01-28,IFEE,0,,0,
12005658,63,2011-01-28,N084,0,,0,
12005658,64,2011-01-31,PILS,0,,0,
12005658,65,2011-02-01,D1935,0,,0,
12005658,67,2011-03-08,PTAC,0,,0,
12005658,67.5,2010-05-03,PTA36M,0,PTO,.5,
11342263,1,2006-01-26,IEXX,0,,0,
11342263,2,2006-02-08,SCAN,0,,0,
11342263,3,2006-02-10,L194,0,,0,
11342263,6,2006-03-03,INCD,0,,0,
11342263,7,2006-05-08,OATHDECL,0,,0,
11342263,8,2006-05-08,FLFEE,0,,0,
11342263,9,2006-05-19,COMP,0,,0,
11342263,10,2006-05-19,OIPE,0,,0,
11342263,11,2006-12-05,TSSCOMP,0,,0,
11342263,12,2007-02-08,TI1050,0,,0,
11342263,13,2007-02-15,DOCK,0,,0,
11342263,14,2007-07-26,PG-ISSUE,0,,0,
11342263,15,2007-09-21,WIDS,0,,0,
11342263,17,2007-09-21,M844,0,,0,
11342263,18,2007-09-21,RCAP,0,,0,
11342263,26,2007-09-21,IDSC,0,,0,
11342263,19,2008-11-12,DOCK,0,,0,
11342263,30,2008-12-30,CTNF,0,,0,
11342263,31,2008-12-31,MCTNF,646,PTO,.5,
11342263,33,2009-03-31,A...,0,,0,
11342263,32,2009-04-27,DOCK,0,,0,
11342263,34,2009-04-30,FWDX,0,,0,
11342263,35,2009-07-06,CTNF,0,,0,
11342263,36,2009-07-08,MCTNF,0,,0,
11342263,37,2009-10-06,EXIN,0,,0,
11342263,39,2009-10-08,A...,0,,0,
11342263,38,2009-10-09,MEXIN,0,,0,
11342263,40,2009-11-30,FWDX,0,,0,
11342263,41,2010-02-16,CTFR,0,,0,
11316217,1,2005-12-21,IEXX,0,,0,
11316217,2,2006-01-14,SCAN,0,,0,
11316217,3,2006-01-20,L194,0,,0,
11316217,4,2006-02-03,INCD,0,,0,
11316217,5,2006-04-03,OATHDECL,0,,0,
11316217,6,2006-04-03,FLFEE,0,,0,
11316217,8,2006-04-14,OIPE,0,,0,
11316217,7,2006-04-17,COMP,0,,0,
11316217,9,2006-09-08,TSSCOMP,0,,0,
11316217,10.7,2007-03-20,EIDS.,0,,0,
11316217,11,2007-03-21,WIDS,0,,0,
11316217,26,2007-03-21,IDSC,0,,0,
11316217,12,2007-10-15,F525,0,,0,
11316217,13,2007-10-17,W525,0,,0,
11316217,14,2007-10-31,DOCK,0,,0,
11316217,15,2008-01-31,WIDS,0,,0,
11316217,16,2008-01-31,EIDS.,0,,0,
11316217,24,2008-01-31,IDSC,0,,0,
11316217,17,2008-07-07,C.AD,0,,0,
11316217,18,2008-07-08,PA..,0,,0,
11316217,20,2009-08-18,CTRS,0,,0,
11316217,21,2009-08-21,MCTRS,669,PTO,.5,
11316217,22,2009-09-17,ELC.,0,,0,
11316217,23,2009-10-30,FWDX,0,,0,
11316217,27,2009-12-16,CTNF,0,,0,
11316217,28,2010-02-18,MCTNF,0,PTO,22,
11316217,29,2010-04-20,A...,0,,0,
11316217,30,2010-04-30,FWDX,0,,0,
11316217,31,2010-07-02,CTFR,0,,0,
11316217,32,2010-07-06,MCTFR,0,,0,
11342263,42,2010-02-18,MCTFR,0,PTO,39,
11342263,43,2010-05-14,A.NE,0,,0,
11342263,44,2010-05-15,FWDX,0,,0,
11342263,45,2010-06-02,CTAV,0,,0,
11342263,46,2010-06-03,MCTAV,0,,0,
11342263,47,2010-07-27,XT/G,0,,0,
11342263,48,2010-07-27,N/AP,0,,0,
11342263,49,2010-07-27,AP.C,0,,0,
11342263,50,2010-08-30,APCR,0,,0,
11342263,54,2010-09-09,FWDX,0,,0,
11342263,55,2010-09-09,CTNF,0,,0,
11342263,53,2010-09-10,MAPCR,0,,0,
11342263,56,2010-09-10,MCTNF,46,,48,
11342263,57,2010-09-28,A...,0,,0,
11342263,61,2010-09-28,EXIN,0,,0,
11342263,58,2010-10-01,FWDX,0,,0,
11342263,60,2010-10-01,EX.A,0,,0,
11342263,62,2010-10-01,DVER,0,,0,
11342263,63,2010-10-01,N/=.,0,,0,
11342263,65,2010-10-11,WIDS,0,,0,
11342263,66,2010-10-11,M844,13,APPL,57,
11342263,67,2010-10-11,RCAP,0,,0,
11342263,68,2010-10-11,IDSC,0,,0,
11342263,69,2010-10-27,MN/=.,0,,0,
11342263,.5,2006-01-26,EFILE,0,,0,
11342263,73,2011-01-24,IFEE,0,,0,
11342263,74,2011-01-24,N084,0,,0,
11342263,75,2011-01-25,PILS,0,,0,
11342263,76,2011-01-25,D1935,0,,0,
11342263,78,2011-03-08,PTAC,0,,0,
11342263,78.5,2011-03-08,PTA36M,725,PTO,.5,
11342263,42,2010-02-18,MCTFR,10,,39,
12097812,1,2008-06-17,IEXX,0,,0,
12097812,2,2008-06-17,SCAN,0,,0,
12097812,3,2008-06-17,L194,0,,0,
12097812,9,2008-06-17,371COMP,0,,0,
12097812,15,2008-06-17,A.PE,0,,0,
12097812,16,2008-06-17,RQPR,0,,0,
12097812,4,2008-07-29,WIDS,0,,0,
12097812,17,2008-07-29,M844,0,,0,
12097812,21,2008-07-29,RCAP,0,,0,
12097812,26,2008-07-29,IDSC,0,,0,
12097812,5,2008-08-07,WIDS,0,,0,
12097812,20,2008-08-07,RCAP,0,,0,
12097812,25,2008-08-07,IDSC,0,,0,
12097812,8,2009-06-08,PGPC,0,,0,
12097812,6,2009-06-09,M903,0,,0,
12097812,7,2009-06-09,FLRCPT.O,0,,0,
12097812,10,2009-06-09,EML_NTR,0,,0,
12097812,11,2009-06-09,EML_NTR,0,,0,
12097812,12,2009-06-30,OIPE,0,,0,
12097812,18,2009-08-07,M844,0,,0,
12097812,13,2009-09-17,PG-ISSUE,0,,0,
12097812,14,2009-09-18,EML_NTR,0,,0,
12097812,19,2009-10-05,DOCK,0,,0,
12097812,23,2009-10-10,M844,0,,0,
12097812,29,2010-06-21,CTNF,0,,0,
12097812,30,2010-06-25,MCTNF,312,PTO,9,
12193403,1,2008-08-18,IEXX,0,,0,
12193403,2,2008-08-18,SCAN,0,,0,
12193403,3,2008-08-19,L194,0,,0,
12193403,4,2008-08-28,INCD,0,,0,
12193403,5,2008-08-28,FLRCPT.O,0,,0,
12193403,6,2008-10-13,OATHDECL,0,,0,
12193403,7,2008-10-13,ADDFLFEE,0,,0,
12193403,8,2008-10-22,FLRCPT.U,0,,0,
12193403,9,2008-10-22,PGPC,0,,0,
12193403,10,2008-11-03,OIPE,0,,0,
12193403,11,2008-11-20,WIDS,0,,0,
12193403,12,2008-11-20,EIDS.,0,,0,
12193403,22,2008-11-20,IDSC,0,,0,
12193403,13,2009-01-29,TSSCOMP,0,,0,
12193403,14,2009-03-04,DOCK,0,,0,
12193403,15,2010-01-11,DOCK,0,,0,
12193403,16,2010-02-18,PG-ISSUE,0,,0,
12193403,17,2010-05-12,DOCK,0,,0,
12193403,23,2010-06-30,CTNF,0,,0,
12193403,24,2010-07-01,MCTNF,256,PTO,.5,
12193403,25,2010-10-01,C614,0,,0,
12193403,26,2010-10-01,A...,0,,0,
12193403,27,2010-10-05,FWDX,0,,0,
12193403,29,2010-10-08,N/=.,0,,0,
12193403,30,2010-10-08,DVER,0,,0,
12193403,35,2010-10-20,MN/=.,0,,0,
12193403,.5,2008-08-18,EFILE,0,,0,
12193403,36,2010-10-27,DRWF,112,APPL,0,
12193403,40,2011-01-18,A.NA,8,APPL,43,
12193403,39,2011-01-19,IFEE,0,,0,
12193403,41,2011-01-19,N084,0,,0,
12193403,42,2011-01-22,N271,0,,0,
12193403,43,2011-01-25,MN271,0,,0,
12193403,44,2011-01-25,PILS,0,,0,
12193403,45,2011-01-26,D1935,0,,0,
12193403,47,2011-03-08,PTAC,0,,0,
