application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10106351,33,2004-06-15,PTAC,0,,0,
10125611,22,2002-04-19,DRWF,0,,0,
10125611,14,2003-12-31,SENT,0,,0,
10125611,16,2004-02-17,IFEE,0,,0,
10125611,17,2004-02-17,B312,0,,0,
10125611,21,2004-02-17,N084,0,,0,
10125611,18,2004-02-17,A.NA,60,APPL,20,
10125611,15,2004-02-19,R1021,0,,0,
10125611,19,2004-04-14,N271,0,,0,
10125611,20,2004-04-16,MN271,0,,0,
10125611,23,2004-04-16,F312,0,,0,
10125611,24,2004-05-11,PILS,0,,0,
10125611,25,2004-05-13,R1021,0,,0,
10125611,26,2004-06-15,PTAC,0,,0,
10308651,24,2002-12-02,DRWF,0,,0,
10308651,19,2004-02-06,R1021,0,,0,
10308651,20,2004-02-06,SENT,0,,0,
10308651,21,2004-02-17,IFEE,0,,0,
10308651,23,2004-02-17,N084,0,,0,
10308651,22,2004-04-30,R1021,0,,0,
10308651,25,2004-05-11,PILS,0,,0,
10308651,26,2004-05-13,R1021,0,,0,
10308651,27,2004-06-15,PTAC,0,,0,
09989089,37,2003-11-12,LET.,0,,0,
09989089,38,2003-11-18,D1220,0,,0,
09989089,39,2003-11-24,EX.A,0,,0,
09989089,40,2003-11-24,MEX.A,0,,0,
09989089,41,2004-01-23,A.NA,15,APPL,43,
09989089,42,2004-02-05,N271,0,,0,
09989089,43,2004-02-06,MN271,0,,0,
09989089,44,2004-02-09,D1220,0,,0,
09989089,45,2004-02-11,R1021,0,,0,
09989089,46,2004-02-11,SENT,0,,0,
09989089,47,2004-02-12,R1021,0,,0,
09989089,48,2004-02-17,IFEE,0,,0,
09989089,55,2004-02-17,N084,0,,0,
09989089,53,2004-02-17,DRWM,0,,0,
09989089,54,2004-02-17,DRWF,120,APPL,54,
09989089,50,2004-03-09,R1021,0,,0,
09989089,52,2004-05-12,R1021,0,,0,
09989089,56,2004-05-14,PILS,0,,0,
09989089,57,2004-05-18,R1021,0,,0,
09989089,58,2004-06-15,PTAC,0,,0,
10041827,32,2002-11-17,DRWM,0,,0,
10041827,33,2003-11-17,DRWF,0,,0,
10041827,27,2004-02-17,IFEE,0,,0,
10041827,34,2004-02-17,N084,0,,0,
10041827,28,2004-04-14,R1021,0,,0,
