application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11467012,24,2007-09-12,FWDX,0,,0,
11467012,25,2007-10-03,DOCK,0,,0,
11467012,26,2007-10-04,DOCK,0,,0,
11467012,32,2007-11-26,CTNF,0,,0,
11467012,33,2007-12-10,MCTNF,0,,0,
11467012,34,2007-12-10,EML_NTF,0,,0,
11467012,35,2007-12-11,ELC_RVW,0,,0,
11467012,37,2008-01-11,M327,0,,0,
11467012,38,2008-01-17,MM327,0,,0,
11467012,39,2008-01-17,EML_NTR,0,,0,
11467012,40,2008-04-10,XT/G,0,,0,
11467012,41,2008-04-10,A...,31,APPL,33,
11467012,42,2008-05-20,FWDX,0,,0,
11467012,43,2008-07-28,CTFR,0,,0,
11467012,44,2008-07-30,MCTFR,0,,0,
11467012,45,2008-07-30,EML_NTF,0,,0,
11467012,46,2008-07-30,ELC_RVW,0,,0,
11467012,47,2008-12-30,XT/G,0,,0,
11467012,48,2008-12-30,A.NE,0,,0,
11467012,49,2009-01-02,FWDX,0,,0,
11467012,50,2009-01-05,CTAV,0,,0,
11467012,51,2009-01-12,MCTAV,0,,0,
11467012,52,2009-01-12,EML_NTR,0,,0,
11467012,53,2009-01-30,BRCE,0,,0,
11290803,4,2005-12-13,L198,0,,0,
11290803,5,2006-01-05,L128,0,,0,
11290803,6,2006-01-12,INCD,0,,0,
11290803,8,2006-03-13,CORRDRW,0,,0,
11290803,9,2006-03-13,OATHDECL,0,,0,
11290803,10,2006-03-13,FLFEE,0,,0,
11290803,17,2006-03-13,A.PE,0,,0,
11290803,11,2006-04-03,COMP,0,,0,
11290803,12,2006-04-03,OIPE,0,,0,
11290803,18,2006-04-12,DOCK,0,,0,
11290803,19,2006-04-12,TSSCOMP,0,,0,
11290803,20,2007-01-26,WIDS,0,,0,
11290803,20.7,2007-01-26,M844,0,,0,
11290803,21,2007-01-26,RCAP,0,,0,
11290803,34,2007-01-26,IDSC,0,,0,
11290803,22,2007-10-05,DOCK,0,,0,
11290803,23,2007-10-15,F525,0,,0,
11290803,24,2007-10-17,W525,0,,0,
11290803,25,2008-10-03,WIDS,0,,0,
11290803,33,2008-10-03,IDSC,0,,0,
11290803,26,2009-06-22,CTRS,0,,0,
11290803,27,2009-06-23,MCTRS,669,PTO,-1,
11290803,28,2009-07-01,ELC.,0,,0,
11290803,29,2009-08-24,FWDX,0,,0,
11290803,36,2009-09-14,CTNF,0,,0,
11290803,37,2009-09-16,MCTNF,0,,0,
11290803,38,2010-01-15,XT/G,0,,0,
11290803,39,2010-01-15,A...,30,APPL,37,
11290803,40,2010-01-24,FWDX,0,,0,
11290803,49,2010-03-29,EX.A,0,,0,
11290803,50,2010-04-01,DVER,0,,0,
11290803,51,2010-04-01,N/=.,0,,0,
11290803,53,2010-04-02,MN/=.,0,,0,
11290803,58,2010-07-01,N084,0,,0,
11290803,57,2010-07-01,IFEE,0,,0,
11290803,59,2010-07-08,PILS,0,,0,
11290803,60,2010-07-09,D1935,0,,0,
11290803,62,2010-08-10,PTAC,0,,0,
11290803,62.5,2010-08-10,PTA36M,617,PTO,0,
11290803,27,2009-06-23,MCTRS,204,,-1,
10148842,36.1,2006-01-03,APBI,0,,0,
10148842,37,2006-01-05,FWDX,0,,0,
10148842,38,2006-03-17,APBD,0,,0,
10148842,39,2006-05-10,DOCK,0,,0,
10148842,40,2006-05-22,XT/G,0,,0,
10148842,41,2006-05-22,AP.B,0,,0,
10148842,41.2,2006-05-22,APBI,0,,0,
10148842,42,2006-05-25,FWDX,0,,0,
10148842,43,2006-07-18,DOCK,0,,0,
10148842,51,2006-08-08,MAPEA,0,PTO,36,
10148842,51,2006-08-08,MAPEA,439,,34,
10148842,54,2006-09-05,PEAC,0,,0,
10148842,55,2006-09-05,MPEAC,0,,0,
10148842,52,2006-10-12,APRB,0,,0,
10148842,58,2006-10-12,XT/G,0,,0,
10148842,59,2006-10-12,RPEA,0,,0,
10148842,50,2006-10-17,APEA,0,,0,
10148842,53,2006-10-17,FWDX,0,,0,
10148842,56,2006-10-17,APBR,0,,0,
10148842,57,2006-10-17,PACC,0,,0,
10148842,60,2007-08-01,FWDX,0,,0,
10148842,61,2007-08-01,SAPB,0,,0,
10148842,62,2007-08-02,FWDX,0,,0,
10148842,65,2007-08-17,APBD,0,,0,
10148842,66,2007-10-05,DOCK,0,,0,
10148842,67,2007-12-18,W/AC,0,,0,
10148842,68,2007-12-19,MW/AC,0,,0,
10148842,69,2007-12-20,RPEA,0,,0,
10148842,70,2008-01-16,FWDX,0,,0,
10148842,71,2008-01-17,APEA,0,,0,
10148842,72,2008-01-18,MAPEA,0,,0,
10148842,73,2008-02-04,PACC,0,,0,
10148842,74,2008-03-10,APRB,0,,0,
10148842,75,2008-03-13,FWDX,0,,0,
10148842,76,2008-03-17,RBNE,0,,0,
10148842,77,2008-03-20,MRBNE,0,,0,
10148842,79,2008-08-28,APWD,0,,0,
10148842,81,2008-10-09,APAS,0,,0,
10148842,82,2008-10-10,AP_DK_M,0,,0,
10148842,83,2009-04-13,APPR,1418,PTO,34,
10148842,84,2009-04-13,MAPPR,0,,0,
10148842,85,2009-04-24,APE2,0,,0,
10148842,86,2009-04-24,MAPE2,0,,0,
10148842,87,2009-05-04,TCBP,0,,0,
10148842,88,2009-05-13,APWD,0,,0,
11843199,10,2008-02-11,FLRCPT.U,0,,0,
11843199,11,2008-02-11,PGPC,0,,0,
11843199,12,2008-02-11,FLRCPT.U,0,,0,
11843199,13,2008-02-11,FLRCPT.U,0,,0,
11843199,14,2008-03-24,OIPE,0,,0,
11843199,15,2008-03-31,WIDS,0,,0,
11843199,16,2008-03-31,M844,0,,0,
11843199,24,2008-03-31,IDSC,0,,0,
11843199,19,2008-06-16,TSSCOMP,0,,0,
11843199,20,2008-12-04,PG-ISSUE,0,,0,
11843199,21,2009-01-12,DOCK,0,,0,
11843199,22,2009-03-27,DOCK,0,,0,
11843199,30,2010-03-28,N/=.,0,,0,
11843199,31,2010-03-28,DVER,0,,0,
11843199,33,2010-03-31,MN/=.,525,PTO,-1,
11843199,37,2010-04-07,R1021,0,,0,
11843199,38,2010-04-20,A.NA,24,APPL,40,
11843199,39,2010-05-10,N271,0,,0,
11843199,42,2010-05-14,RQPR,8,APPL,44,
11843199,41,2010-05-14,EML_NTR,0,,0,
11843199,40,2010-05-14,MN271,0,,0,
11843199,43,2010-05-19,P327-P,0,,0,
11843199,44,2010-05-21,MP327-P,0,,0,
11843199,47,2010-05-22,EML_NTR,0,,0,
11843199,49,2010-06-29,N084,0,,0,
11843199,48,2010-06-29,IFEE,0,,0,
11843199,50,2010-07-08,PILS,0,,0,
11843199,51,2010-07-08,D1935,0,,0,
11843199,52,2010-07-08,D1935,0,,0,
11843199,55,2010-08-10,PTAC,0,,0,
11843199,55.5,2010-08-10,PTA36M,0,PTO,0,
11591999,1,2006-11-01,IEXX,0,,0,
11591999,2,2006-11-08,SCAN,0,,0,
11591999,3,2006-11-14,L194,0,,0,
11591999,5,2007-01-29,OATHDECL,0,,0,
11591999,7,2007-01-29,FLFEE,0,,0,
11591999,9,2007-02-07,OIPE,0,,0,
11591999,8,2007-02-08,COMP,0,,0,
11591999,11,2007-03-01,TSSCOMP,0,,0,
11591999,12,2007-05-17,PG-ISSUE,0,,0,
11591999,13,2007-09-29,DOCK,0,,0,
11591999,14,2007-10-07,DOCK,0,,0,
11591999,15,2009-04-23,DOCK,0,,0,
11591999,21,2009-09-13,CTNF,0,,0,
11591999,22,2009-09-15,MCTNF,623,PTO,-1,
11591999,23,2009-12-15,A...,0,,0,
11591999,24,2010-01-19,FWDX,0,,0,
11591999,26,2010-04-01,EX.A,0,,0,
11591999,27,2010-04-01,N/=.,0,,0,
11591999,28,2010-04-01,DVER,0,,0,
11591999,30,2010-04-05,MN/=.,0,,0,
11591999,35,2010-07-01,N084,0,,0,
11591999,37,2010-07-01,REAS,0,,0,
11591999,34,2010-07-01,IFEE,0,,0,
11591999,36,2010-07-09,PILS,0,,0,
11591999,38,2010-07-12,D1935,0,,0,
11591999,39,2010-07-12,D1935,0,,0,
11591999,41,2010-08-10,PTAC,0,,0,
11591999,41.5,2010-08-10,PTA36M,282,PTO,0,
11499728,1,2006-08-07,IEXX,0,,0,
11499728,10,2006-08-07,RQPR,0,,0,
11499728,2,2006-08-11,SCAN,0,,0,
11499728,3,2006-08-14,L198,0,,0,
11499728,4,2006-08-18,L128,0,,0,
11499728,5,2006-08-25,INCD,0,,0,
11412065,51,2008-11-10,CTNF,0,,0,
11412065,52,2008-11-17,MCTNF,0,,0,
11412065,53,2008-11-17,EML_NTF,0,,0,
11412065,54,2008-11-17,ELC_RVW,0,,0,
11412065,55,2009-02-17,WIDS,0,,0,
11412065,56,2009-02-17,A...,0,,0,
11412065,58,2009-02-17,EIDS.,0,APPL,56,
11412065,59,2009-02-17,IDSC,0,,0,
11412065,57,2009-04-08,FWDX,0,,0,
11412065,60,2009-06-11,CTNF,0,,0,
11412065,61,2009-06-16,MCTNF,0,,0,
11412065,62,2009-06-16,EML_NTF,0,,0,
11412065,63,2009-06-16,ELC_RVW,0,,0,
11412065,65,2009-08-27,A...,0,,0,
11412065,64,2009-10-13,WIDS,0,,0,
11412065,67,2009-10-13,EIDS.,47,APPL,65,
11412065,68,2009-10-13,IDSC,0,,0,
11412065,66,2009-10-19,FWDX,0,,0,
11412065,69,2010-02-01,CTFR,0,,0,
11412065,70,2010-02-05,MCTFR,0,PTO,65,
11412065,71,2010-02-06,EML_NTF,0,,0,
11412065,72,2010-02-08,ELC_RVW,0,,0,
11412065,73,2010-02-18,A.NE,0,,0,
11412065,74,2010-02-21,FWDX,0,,0,
