application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10781145,26,2005-09-12,A.NE,66,APPL,22,
10781145,27,2005-09-26,FWDX,0,,0,
10781145,29,2005-11-13,CTNF,0,,0,
10781145,30,2005-11-15,MCTNF,0,,0,
10781145,31,2006-02-21,A...,6,APPL,30,
10781145,32,2006-03-02,FWDX,0,,0,
10781145,33,2006-05-15,CTNF,0,,0,
10781145,34,2006-05-17,MCTNF,0,,0,
10781145,35,2006-11-16,XT/G,0,,0,
10781145,36,2006-11-16,A...,91,APPL,34,
10781145,37,2006-12-07,FWDX,0,,0,
10781145,38,2007-02-04,CTNF,0,,0,
10781145,39,2007-02-06,MCTNF,0,,0,
10781145,40,2007-05-07,A...,1,APPL,39,
10781145,41,2007-05-12,FWDX,0,,0,
10781145,42,2007-07-22,CTFR,0,,0,
10781145,43,2007-07-24,MCTFR,0,,0,
10781145,44,2007-10-24,N/AP,0,,0,
10781145,45,2007-12-26,AP.B,0,,0,
10781145,46,2008-01-12,FWDX,0,,0,
10781145,47,2008-01-12,APBR,0,,0,
10781145,49,2008-03-25,EX.A,0,,0,
10781145,50,2008-03-25,N/=.,0,,0,
10781145,51,2008-03-25,DVER,0,,0,
10977838,1,2004-10-29,IEXX,0,,0,
10977838,11,2004-10-29,WIDS,0,,0,
10977838,11.7,2004-10-29,M844,0,,0,
10977838,12,2004-10-29,RCAP,0,,0,
10977838,15,2004-10-29,IDSC,0,,0,
10977838,2,2004-11-15,SCAN,0,,0,
10977838,4,2004-12-02,L198,0,,0,
10977838,5,2005-01-08,L128,0,,0,
10977838,6,2005-01-14,COMP,0,,0,
10977838,7,2005-01-14,OIPE,0,,0,
10977838,8,2005-01-14,ROIPE,0,,0,
10977838,9,2005-01-14,WROIPE,0,,0,
10977838,10,2005-02-04,TI1050,0,,0,
10977838,13,2005-03-22,DOCK,0,,0,
10977838,14,2005-03-22,TSSCOMP,0,,0,
10977838,16,2007-06-11,CTRS,0,,0,
10977838,17,2007-06-14,MCTRS,532,PTO,-1,
10977838,18,2007-07-13,C614,0,,0,
10977838,19,2007-07-13,ELC.,0,,0,
10977838,20,2007-07-18,FWDX,0,,0,
10977838,21,2007-10-01,CTNF,0,,0,
10977838,22,2007-10-04,MCTNF,0,,0,
10977838,23,2007-10-12,DOCK,0,,0,
10977838,24,2007-11-07,C.AD,0,,0,
10977838,25,2007-11-15,PA..,0,,0,
10977838,27,2008-02-07,XT/G,0,,0,
10977838,28,2008-02-07,A...,34,APPL,22,
10977838,26,2008-02-08,C.ADB,0,,0,
10977838,36,2008-02-21,DVER,0,,0,
10977838,29,2008-03-01,FWDX,0,,0,
10977838,34,2008-03-19,EX.A,0,,0,
11378178,1,2006-03-17,IEXX,0,,0,
11378178,2,2006-03-24,SCAN,0,,0,
11378178,3,2006-03-30,L198,0,,0,
11378178,4,2006-03-30,L128,0,,0,
11378178,6,2006-04-12,INCD,0,,0,
10499550,1,2004-06-21,IEXX,0,,0,
10499550,4,2004-06-21,371COMP,0,,0,
11348886,33,2008-03-26,MN/=.,0,,0,
11479045,1,2006-06-30,IEXX,0,,0,
11479045,7,2006-06-30,A.PE,0,,0,
11479045,2,2006-07-12,SCAN,0,,0,
11479045,3,2006-07-17,L194,0,,0,
11479045,5,2006-07-27,OIPE,0,,0,
11479045,4,2006-07-28,COMP,0,,0,
11479045,6,2006-11-09,DOCK,0,,0,
11479045,8,2006-11-09,TSSCOMP,0,,0,
11479045,9,2006-12-21,DOCK,0,,0,
11479045,10,2007-06-01,DOCK,0,,0,
11479045,11,2007-07-16,DOCK,0,,0,
11479045,12,2007-11-14,DOCK,0,,0,
11479045,20,2008-02-29,N/=.,0,,0,
11095687,1,2005-04-01,IEXX,0,,0,
11446205,1,2006-06-05,IEXX,0,,0,
11446205,6,2006-06-05,RQPR,0,,0,
11446205,2,2006-06-07,SCAN,0,,0,
11446205,3,2006-06-12,L194,0,,0,
11446205,4,2006-06-22,COMP,0,,0,
11446205,5,2006-06-22,OIPE,0,,0,
11446205,7,2007-01-13,TSSCOMP,0,,0,
11446205,8,2007-06-07,PG-ISSUE,0,,0,
11446205,9,2007-06-14,DOCK,0,,0,
11446205,10,2008-01-07,DOCK,0,,0,
11446205,15,2008-03-17,EX.A,0,,0,
11446205,16,2008-03-21,N/=.,0,,0,
11446205,17,2008-03-21,DVER,0,,0,
11446205,19,2008-03-26,MN/=.,234,PTO,-1,
11106383,21,2008-01-28,A...,33,APPL,19,
11106383,22,2008-03-12,FWDX,0,,0,
11106383,27,2008-03-17,EX.A,0,,0,
11106383,28,2008-03-17,N/=.,0,,0,
11106383,29,2008-03-17,DVER,0,,0,
11106383,31,2008-03-26,MN/=.,0,,0,
10680407,16,2004-09-03,WROIPE,0,,0,
10680407,18,2004-10-08,AF/D,0,,0,
10680407,19,2004-10-08,AF/D,0,,0,
10680407,20,2004-10-08,AF/D,0,,0,
10680407,21,2004-10-08,AF/D,0,,0,
10680407,22,2004-10-08,AF/D,0,,0,
10680407,23,2004-10-08,AF/D,0,,0,
10680407,24,2004-10-08,C602,0,,0,
10680407,25,2004-10-26,PA..,0,,0,
10680407,26,2004-10-26,C.AD,0,,0,
10680407,27,2004-11-05,MPTDI,0,,0,
10680407,31,2005-01-16,RCAP,0,,0,
10680407,28,2005-05-04,PET.,0,,0,
10680407,29,2005-07-29,MPTGR,0,,0,
10680407,33,2005-09-15,PET.,0,,0,
10680407,32,2005-10-05,TSSCOMP,0,,0,
10680407,47,2005-10-07,WIDS,0,,0,
10680407,48,2005-10-07,IDSC,0,,0,
10680407,34,2006-01-23,MPTGR,0,,0,
10680407,35,2006-07-26,WIDS,0,,0,
10680407,35.7,2006-07-26,M844,0,,0,
10680407,36,2006-07-26,RCAP,0,,0,
10680407,52,2006-07-26,IDSC,0,,0,
10680407,37,2006-11-29,TI1050,0,,0,
10680407,38,2006-12-22,DOCK,0,,0,
10680407,39,2007-02-06,DOCK,0,,0,
10680407,40,2007-02-22,DOCK,0,,0,
10680407,41,2007-02-26,CTRS,0,,0,
10680407,42,2007-03-02,MCTRS,814,PTO,-1,
10680407,43,2007-03-03,EML_NTF,0,,0,
10680407,44,2007-03-04,ELC_RVW,0,,0,
10680407,49,2007-07-24,XT/G,0,,0,
10680407,50,2007-07-24,ELC.,52,APPL,42,
10680407,51,2007-07-30,FWDX,0,,0,
10680407,53,2007-08-07,CTNF,0,,0,
10680407,54,2007-08-13,MCTNF,0,,0,
10680407,55,2007-08-14,EML_NTF,0,,0,
10680407,56,2007-08-17,ELC_RVW,0,,0,
10680407,57,2008-02-07,WIDS,0,,0,
