application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12826801,51,2013-09-17,PILS,0,,0,
12826801,52,2013-09-17,D1935,0,,0,
12826801,54,2013-10-15,PTAC,0,,0,
12826801,54.5,2013-10-15,PTA36M,107,PTO,.5,
13060066,7,2011-02-28,371COMP,0,,0,
13060066,6,2011-03-07,PGPC,0,,0,
13060066,4,2011-03-08,M903,0,,0,
13060066,5,2011-03-08,FLRCPT.O,0,,0,
13060066,8,2011-03-08,EML_NTR,0,,0,
13060066,9,2011-03-08,EML_NTR,0,,0,
13060066,10,2011-03-28,OIPE,0,,0,
13060066,13,2011-06-16,PG-ISSUE,0,,0,
13060066,14,2011-06-17,EML_NTR,0,,0,
13060066,15,2011-10-01,DOCK,0,,0,
13060066,16,2012-07-17,DOCK,0,,0,
13060066,21,2012-10-09,CTNF,0,,0,
13060066,23,2012-10-16,MCTNF,171,PTO,7,
13060066,24,2012-10-16,EML_NTF,0,,0,
13060066,25,2012-10-16,ELC_RVW,0,,0,
13060066,26,2013-01-15,A...,0,,0,
13060066,28,2013-01-15,LTDR,0,,0,
13060066,27,2013-01-24,FWDX,0,,0,
13060066,29,2013-03-23,CTFR,0,,0,
13060066,31,2013-03-28,MCTFR,0,,0,
13060066,32,2013-03-28,EML_NTF,0,,0,
13060066,33,2013-03-28,ELC_RVW,0,,0,
13060066,34,2013-05-28,A.NE,0,,0,
13060066,35,2013-05-29,FWDX,0,,0,
13060066,37,2013-05-30,EX.R,0,,0,
13060066,38,2013-06-07,N/=.,0,,0,
13060066,39,2013-06-07,DVER,0,,0,
13060066,43,2013-06-14,MN/=.,0,,0,
13060066,.5,2009-08-24,NEFILE,0,,0,
13060066,47,2013-06-25,M327-D,0,,0,
13060066,48,2013-06-27,MM327-D,0,,0,
13060066,49,2013-06-27,EML_NTR,0,,0,
13060066,51,2013-07-11,DRWF,97,APPL,0,
13060066,52,2013-09-12,IFEE,0,,0,
13060066,53,2013-09-12,N084,0,,0,
13060066,55,2013-09-16,D1935,0,,0,
13060066,54,2013-09-16,PILS,0,,0,
13244916,1,2011-09-26,IEXX,0,,0,
