application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11778832,20,2008-04-04,MCTNF,0,,0,
11778832,21,2008-04-04,EML_NTF,0,,0,
11778832,22,2008-04-05,ELC_RVW,0,,0,
11778832,23,2008-07-03,A...,0,,0,
11778832,24,2008-09-09,FWDX,0,,0,
11778832,25,2008-11-24,CTFR,0,,0,
11778832,26,2008-12-01,MCTFR,28,PTO,23,
11778832,27,2008-12-02,EML_NTF,0,,0,
11778832,28,2008-12-02,ELC_RVW,0,,0,
11778832,29,2008-12-19,BRCE,0,,0,
11778832,31,2008-12-19,RCEX,0,,0,
11778832,30,2009-01-07,ABN9,0,,0,
11778832,32,2009-01-07,FWDX,0,,0,
11778832,34,2009-01-07,FWDX,0,,0,
11778832,36,2009-01-22,PG-ISSUE,0,,0,
11778832,37,2009-01-23,EML_NTR,0,,0,
11778832,38,2009-01-31,N/=.,0,,0,
11778832,40,2009-02-04,MN/=.,0,,0,
11059662,1,2005-02-17,IEXX,0,,0,
10457729,1,2003-06-09,IEXX,0,,0,
10457729,2,2003-06-18,L194,0,,0,
10457729,9,2003-07-03,WIDS,0,,0,
10457729,9.7,2003-07-03,M844,0,,0,
10457729,10,2003-07-03,RCAP,0,,0,
10457729,15,2003-07-03,IDSC,0,,0,
10457729,4,2003-07-11,OATHDECL,0,,0,
10457729,5,2003-07-11,ADDFLFEE,0,,0,
10457729,7,2003-11-10,OIPE,0,,0,
10457729,6,2003-11-12,COMP,0,,0,
10457729,8,2004-03-17,C.ADB,0,,0,
10457729,11,2004-04-05,DOCK,0,,0,
10457729,12,2004-04-05,TSSCOMP,0,,0,
10457729,13,2005-01-18,LET.,0,,0,
10457729,14,2005-11-28,DOCK,0,,0,
10457729,16,2006-03-06,CTNF,0,,0,
10457729,17,2006-03-08,MCTNF,576,PTO,-1,
10457729,18,2006-06-13,A...,5,APPL,17,
10457729,18.1,2006-06-13,A.I.,0,,0,
10457729,20,2006-06-13,C614,0,,0,
10457729,19,2006-06-20,FWDX,0,,0,
10457729,21,2006-06-22,NINA,0,,0,
10457729,22,2006-07-03,A...,20,APPL,18,
10457729,24,2006-07-03,C614,0,,0,
10457729,23,2006-07-11,FWDX,0,,0,
10457729,25,2006-09-18,CTFR,0,,0,
10457729,26,2006-09-22,MCTFR,0,,0,
10457729,27,2006-11-20,A.NE,0,,0,
10457729,28,2006-11-27,FWDX,0,,0,
10457729,29,2006-12-06,CTAV,0,,0,
10457729,30,2006-12-07,MCTAV,0,,0,
10457729,31,2006-12-22,N/AP,0,,0,
10457729,32,2007-02-16,AP.B,0,,0,
10457729,33,2007-04-18,FWDX,0,,0,
10457729,34,2007-04-18,APBR,0,,0,
10457729,35,2007-06-25,APEA,0,,0,
10457729,36,2007-06-27,MAPEA,0,,0,
10457729,37,2007-07-26,PACC,0,,0,
10457729,38,2007-07-26,TCRD,0,,0,
10457729,39,2007-08-17,APE2,0,,0,
10457729,40,2007-08-21,MAPE2,0,,0,
10457729,42,2007-08-27,APRB,0,,0,
10457729,41,2007-09-12,PACC,0,,0,
10457729,43,2007-09-12,FWDX,0,,0,
10457729,44,2007-09-17,RBNE,0,,0,
11410412,1,2006-04-24,IEXX,0,,0,
11410412,9,2006-04-24,CLAIM,0,,0,
11410412,2,2006-04-30,SCAN,0,,0,
11410412,3,2006-05-05,L194,0,,0,
11410412,6,2006-06-16,SQPR,0,,0,
11410412,7,2006-08-15,SEQLIST,0,,0,
11410412,10,2006-08-15,ADDFLFEE,0,,0,
11410412,13,2006-08-15,A.PE,0,,0,
11410412,8,2006-09-01,CRFE,0,,0,
11410412,11,2006-12-15,COMP,0,,0,
11410412,12,2006-12-15,OIPE,0,,0,
11410412,14,2007-01-05,TSSCOMP,0,,0,
11410412,15,2007-01-17,DOCK,0,,0,
11410412,16,2007-03-29,PG-ISSUE,0,,0,
11410412,17,2007-06-25,CTNF,0,,0,
11410412,18,2007-06-29,MCTNF,5,PTO,-1,
11410412,19,2007-11-29,XT/G,0,,0,
11410412,20,2007-11-29,A...,61,APPL,18,
11410412,20.1,2007-11-29,A.I.,0,,0,
11410412,21,2007-12-19,FWDX,0,,0,
11410412,22,2007-12-20,NINA,0,,0,
11410412,23,2008-01-02,A...,34,APPL,20,
11410412,24,2008-02-04,FWDX,0,,0,
11410412,25,2008-04-14,CTFR,0,,0,
11410412,26,2008-04-17,MCTFR,0,,0,
11410412,27,2008-06-17,A.NE,0,,0,
11410412,28,2008-07-01,FWDX,0,,0,
11255349,25,2007-11-21,CTNF,0,,0,
11255349,26,2007-11-23,MCTNF,337,PTO,-1,
11255349,27,2008-03-20,XT/G,0,,0,
11255349,28,2008-03-20,A...,26,APPL,26,
11255349,29,2008-04-15,FWDX,0,,0,
11255349,30,2008-04-28,DOCK,0,,0,
11255349,31,2008-04-28,DOCK,0,,0,
11255349,32,2008-05-20,CTNF,0,,0,
11255349,33,2008-05-21,MCTNF,0,,0,
11255349,34,2008-06-26,EXIN,0,,0,
11255349,35,2008-07-14,MEXIN,0,,0,
11255349,36,2008-08-21,A...,0,,0,
11255349,37,2008-09-16,FWDX,0,,0,
11255349,38,2008-11-06,CTFR,0,,0,
11255349,39,2008-11-07,MCTFR,0,,0,
11255349,40,2009-01-07,A.NE,0,,0,
11255349,41,2009-01-17,FWDX,0,,0,
11255349,46,2009-01-27,EXIN,0,,0,
11255349,42,2009-01-28,P575,0,,0,
11255349,45,2009-01-29,P574,0,,0,
11255349,48,2009-01-31,N/=.,0,,0,
11255349,49,2009-01-31,DVER,0,,0,
11255349,51,2009-02-02,MEXIN,0,,0,
11255349,52,2009-02-02,MN/=.,0,,0,
11330146,1,2006-01-12,IEXX,0,,0,
10876918,1,2004-06-25,IEXX,0,,0,
10876918,12,2004-06-25,RQPR,0,,0,
10876918,2,2004-07-17,SCAN,0,,0,
10876918,4,2004-08-05,L198,0,,0,
10876918,5,2004-08-13,L128,0,,0,
10876918,7,2004-08-21,OIPE,0,,0,
10876918,8,2004-08-21,ROIPE,0,,0,
10876918,10,2004-08-21,WROIPE,0,,0,
10876918,6,2004-08-23,COMP,0,,0,
10876918,9,2004-08-23,COMP,0,,0,
10876918,11,2004-12-17,C.AD,0,,0,
10876918,13,2004-12-17,DOCK,0,,0,
10876918,14,2004-12-17,TSSCOMP,0,,0,
10705990,15,2004-06-21,WIDS,0,,0,
10705990,15.7,2004-06-21,M844,0,,0,
10705990,22,2004-06-21,RCAP,0,,0,
10705990,35,2004-06-21,IDSC,0,,0,
10705990,16,2004-07-09,C614,0,,0,
10705990,17,2005-03-01,DOCK,0,,0,
10705990,18,2005-05-31,DOCK,0,,0,
10705990,19,2005-06-16,C.AD,0,,0,
10705990,23,2006-03-28,TSSCOMP,0,,0,
10705990,24,2006-11-30,DOCK,0,,0,
