application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10389456,43,2005-01-12,WIDS,0,,0,
10389456,43.7,2005-01-12,M844,8,APPL,39,
10389456,40,2005-01-19,FWDX,0,,0,
10389456,44,2005-03-17,CTFR,0,,0,
10389456,45,2005-03-22,MCTFR,0,,0,
10389456,46,2005-04-05,EXIN,0,,0,
10389456,50,2005-04-11,W/AC,0,,0,
10389456,51,2005-04-11,CTNF,0,,0,
10389456,53,2005-04-11,MW/AC,0,,0,
10389456,54,2005-04-11,MEXIN,0,,0,
10389456,55,2005-05-12,A...,0,,0,
10389456,52,2005-06-10,MCTNF,0,,0,
10389456,56,2005-06-10,FWDX,0,,0,
10389456,57,2005-06-13,CTMS,0,,0,
10389456,58,2005-06-14,MCTMS,0,,0,
10389456,59,2005-09-23,XT/G,0,,0,
10389456,60,2005-09-23,A...,9,APPL,58,
10389456,61,2005-10-05,FWDX,0,,0,
09674022,42,2006-02-22,MCTAV,0,PTO,0,Y
09674022,43,2006-03-21,DOCK,0,PTO,0,Y
09674022,44,2006-05-09,BRCE,0,PTO,0,Y
09674022,50,2006-05-09,RCEX,0,PTO,0,Y
09674022,48,2006-05-09,XT/G,0,PTO,0,Y
09674022,49,2006-05-22,ABN9,0,PTO,0,Y
09674022,51,2006-05-22,FWDX,0,PTO,0,Y
09674022,53,2006-05-22,FWDX,0,PTO,0,Y
09674022,57,2006-07-18,CTNF,0,PTO,0,Y
09674022,58,2006-07-19,MCTNF,0,PTO,0,Y
09674022,60,2006-12-27,XT/G,0,PTO,0,Y
09674022,61,2006-12-27,A...,0,PTO,0,Y
09674022,62,2007-01-09,FWDX,0,PTO,0,Y
09674022,59,2007-01-09,DOCK,0,PTO,0,Y
09674022,63,2007-03-19,CTNF,0,PTO,0,Y
09674022,64,2007-03-20,MCTNF,0,PTO,0,Y
09674022,65,2007-06-22,A...,0,PTO,0,Y
09674022,66,2007-06-28,FWDX,0,PTO,0,Y
09674022,68,2007-08-23,N/=.,0,PTO,0,Y
09674022,69,2007-08-23,DVER,0,PTO,0,Y
09674022,71,2007-08-24,MN/=.,0,PTO,0,Y
10987296,29,2006-08-10,IDSC,0,,0,
10987296,26,2006-08-17,FWDX,0,,0,
10987296,30,2006-09-05,CTFR,0,,0,
10987296,31,2006-09-07,MCTFR,0,,0,
10987296,32,2006-12-07,A.NE,0,,0,
10987296,33,2006-12-26,FWDX,0,,0,
10987296,34,2007-01-03,CTAV,0,,0,
10987296,35,2007-01-04,MCTAV,0,,0,
10987296,36,2007-01-08,BRCE,0,,0,
10987296,37,2007-01-08,XT/G,0,,0,
10987296,39,2007-01-08,RCEX,32,APPL,31,
10987296,38,2007-01-31,ABN9,0,,0,
10987296,40,2007-01-31,FWDX,0,,0,
10987296,42,2007-01-31,FWDX,0,,0,
10987296,43,2007-03-07,CTNF,0,,0,
10987296,44,2007-03-12,MCTNF,0,,0,
10987296,45,2007-07-12,XT/G,0,,0,
10987296,46,2007-07-12,A...,30,APPL,44,
10987296,47,2007-07-19,FWDX,0,,0,
10987296,49,2007-08-23,DOCK,0,,0,
10987296,50,2007-08-23,N/=.,0,,0,
10987296,51,2007-08-23,DVER,0,,0,
10987296,53,2007-08-24,MN/=.,0,,0,
11171845,1,2005-06-30,IEXX,0,,0,
11171845,4,2005-06-30,NPRQ,0,,0,
11171845,2,2005-07-12,SCAN,0,,0,
11171845,3,2005-07-15,L194,0,,0,
11171845,5,2005-07-21,COMP,0,,0,
11171845,6,2005-07-21,OIPE,0,,0,
11171845,7,2005-07-21,ROIPE,0,,0,
11171845,8,2005-07-21,COMP,0,,0,
11171845,9,2005-07-21,WROIPE,0,,0,
11171845,10,2005-07-28,DOCK,0,,0,
11171845,11,2005-07-28,TSSCOMP,0,,0,
11171845,12,2005-10-17,CTNF,0,,0,
11171845,13,2005-10-20,MCTNF,0,,0,
11171845,14,2006-04-07,XT/G,0,,0,
11171845,15,2006-04-07,A...,77,APPL,13,
10617068,58,2007-08-23,DVER,0,,0,
10617068,59,2007-08-23,N/=.,0,,0,
10617068,61,2007-08-24,MN/=.,0,,0,
11292066,30,2007-08-06,DOCK,0,,0,
11292066,31,2007-08-06,N/=.,0,,0,
11292066,32,2007-08-06,DVER,0,,0,
11292066,34,2007-08-24,MN/=.,0,,0,
10630485,1,2003-07-29,IEXX,0,,0,
10630485,5,2003-07-29,NPRQ,0,,0,
10630485,2,2003-09-17,SCAN,0,,0,
10630485,3,2003-10-13,L194,0,,0,
10630485,7,2003-10-23,OIPE,0,,0,
10630485,6,2003-10-24,COMP,0,,0,
10630485,8,2003-10-24,ROIPE,0,,0,
10630485,9,2003-10-24,WROIPE,0,,0,
10630485,10,2003-10-24,ROIPE,0,,0,
10630485,11,2003-10-24,COMP,0,,0,
10630485,12,2003-10-24,WROIPE,0,,0,
10630485,13,2003-11-17,WIDS,0,,0,
10630485,13.7,2003-11-17,M844,0,,0,
10630485,23,2003-11-17,IDSC,0,,0,
10630485,14,2004-05-05,PA..,0,,0,
10630485,15,2004-05-05,C.AD,0,,0,
10630485,16,2004-07-21,DOCK,0,,0,
10630485,17,2004-07-21,TSSCOMP,0,,0,
10630485,18,2005-02-07,LET.,0,,0,
