application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12695433,25,2012-12-04,FWDX,0,,0,
12695433,27,2012-12-26,N/=.,0,,0,
12695433,28,2012-12-26,DVER,0,,0,
12695433,31,2012-12-28,MN/=.,0,,0,
12695433,.5,2010-01-28,EFILE,0,,0,
12695433,35,2013-03-06,N084,0,,0,
13242049,2,2011-09-23,SCAN,0,,0,
13242049,3,2011-09-23,WIDS,0,,0,
13242049,11,2011-09-23,RCAP,0,,0,
13242049,12,2011-09-23,M844,0,,0,
13242049,17,2011-09-23,IDSC,0,,0,
13242049,4,2011-09-27,L198,0,,0,
13242049,5,2011-09-27,L128,0,,0,
13242049,7,2011-10-07,OIPE,0,,0,
13242049,6,2011-10-11,FLRCPT.O,0,,0,
13242049,8,2011-10-11,PA..,0,,0,
13242049,9,2011-10-11,EML_NTR,0,,0,
13242049,10,2011-10-11,EML_NTR,0,,0,
13242049,13,2011-10-11,COMP,0,,0,
13242049,14,2012-01-19,PG-ISSUE,0,,0,
13242049,15,2012-01-20,EML_NTR,0,,0,
13242049,16,2012-04-26,DOCK,0,,0,
13242049,18,2012-06-17,CTNF,0,,0,
13242049,20,2012-06-26,MCTNF,0,,0,
13242049,21,2012-06-26,EML_NTF,0,,0,
13242049,22,2012-06-26,ELC_RVW,0,,0,
13242049,23,2012-09-26,A...,0,,0,
13242049,25,2012-09-26,DIST,0,APPL,23,
13242049,24,2012-09-28,FWDX,0,,0,
13242049,26,2012-10-09,P574,0,,0,
13242049,30,2012-12-08,DVER,0,,0,
13242049,31,2012-12-10,N/=.,0,,0,
13242049,33,2012-12-13,MN/=.,0,,0,
13242049,.5,2011-09-23,EFILE,0,,0,
13242049,38,2013-03-11,IFEE,0,,0,
13242049,39,2013-03-11,N084,0,,0,
13242049,40,2013-03-13,PILS,0,,0,
13242049,41,2013-03-13,D1935,0,,0,
13242049,43,2013-04-09,PTAC,0,,0,
13242049,43.5,2013-04-09,PTA36M,0,PTO,.5,
12782763,16,2011-09-18,DOCK,0,,0,
12782763,17,2011-11-25,PG-ISSUE,0,,0,
12782763,18,2011-11-25,EML_NTR,0,,0,
12782763,21,2012-07-30,CTNF,0,,0,
12782763,23,2012-08-06,MCTNF,384,PTO,.5,
12782763,24,2012-08-06,EML_NTF,0,,0,
12782763,25,2012-08-06,ELC_RVW,0,,0,
12782763,26,2012-10-15,EXAT,0,,0,
12782763,27,2012-10-15,EXIA,0,,0,
12782763,30,2012-10-19,MEXAT,0,,0,
12782763,31,2012-11-09,XT/G,0,,0,
12782763,32,2012-11-09,A...,3,APPL,23,
12782763,33,2012-11-13,FWDX,0,,0,
12782763,38,2012-12-03,N/=.,0,,0,
12782763,39,2012-12-03,DVER,0,,0,
12782763,42,2012-12-06,MN/=.,0,,0,
12782763,.5,2010-05-19,EFILE,0,,0,
12782763,47,2013-03-06,IFEE,0,,0,
12782763,48,2013-03-06,N084,0,,0,
12782763,49,2013-03-15,PILS,0,,0,
12782763,50,2013-03-15,D1935,0,,0,
12782763,51,2013-04-09,PTAC,0,,0,
12782763,51.5,2013-04-09,PTA36M,0,PTO,.5,
12912316,1,2010-10-26,IEXX,0,,0,
12912316,2,2010-10-26,SCAN,0,,0,
12912316,3,2010-10-28,L194,0,,0,
12912316,5,2010-11-05,PGPC,0,,0,
12912316,4,2010-11-08,FLRCPT.O,0,,0,
12912316,6,2010-11-08,PA..,0,,0,
12912316,7,2010-11-08,EML_NTR,0,,0,
12912316,8,2010-11-08,EML_NTR,0,,0,
12912316,9,2010-11-08,COMP,0,,0,
12912316,10,2010-11-19,WIDS,0,,0,
12912316,12,2010-11-19,M844,0,,0,
12912316,13,2010-11-19,RCAP,0,,0,
12912316,37,2010-11-19,IDSC,0,,0,
12912316,11,2010-12-01,OIPE,0,,0,
12912316,14,2011-01-11,DOCK,0,,0,
12912316,15,2012-03-21,DOCK,0,,0,
12912316,16,2012-04-26,PG-ISSUE,0,,0,
12912316,17,2012-04-27,EML_NTR,0,,0,
12912316,18,2012-07-27,C.AD,0,,0,
12912316,20,2012-07-27,CTNF,0,,0,
12912316,19,2012-07-30,PA..,0,,0,
12912316,22,2012-07-30,EML_NTR,0,,0,
12912316,23,2012-08-01,MCTNF,219,PTO,.5,
12912316,24,2012-08-01,EML_NTF,0,,0,
12912316,25,2012-08-01,ELC_RVW,0,,0,
12912316,26,2012-11-14,XT/G,0,,0,
12912316,27,2012-11-14,A...,13,APPL,23,
12912316,28,2012-11-19,FWDX,0,,0,
12912316,29,2012-11-19,NFEE,0,,0,
12912316,30,2012-11-21,MNFEE,0,,0,
12912316,32,2012-11-22,EML_NTF,0,,0,
12912316,34,2012-11-22,FEE.,0,,0,
12912316,33,2012-11-26,ELC_RVW,0,,0,
12912316,36,2012-11-26,BIG.,0,,0,
12912316,41,2012-11-26,LET.,0,,0,
12912316,35,2012-11-27,FWDX,0,,0,
12912316,43,2012-12-05,N/=.,0,,0,
12912316,44,2012-12-05,DVER,0,,0,
12912316,47,2012-12-10,MN/=.,0,,0,
12569334,60,2013-03-08,MN271,0,,0,
12569334,62,2013-03-08,TCPB,0,,0,
12569334,63,2013-03-13,D1935,0,,0,
