application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11642065,21,2006-12-20,IDSC,0,,0,
11642065,2,2007-01-02,SCAN,0,,0,
11642065,3,2007-01-06,L198,0,,0,
11642065,4,2007-01-14,L128,0,,0,
11642065,6,2007-01-24,OIPE,0,,0,
11642065,5,2007-01-25,COMP,0,,0,
11642065,9,2007-02-01,TSSCOMP,0,,0,
11642065,11,2007-04-02,TI1050,0,,0,
11642065,12,2007-04-10,TI1050,0,,0,
11642065,13,2007-04-11,DOCK,0,,0,
11642065,14,2007-06-28,PG-ISSUE,0,,0,
11642065,16,2008-01-11,DOCK,0,,0,
11642065,22,2008-03-03,CTNF,0,,0,
11642065,23,2008-03-17,MCTNF,26,PTO,-1,
11642065,24,2008-06-17,A...,0,,0,
11642065,25,2008-07-12,FWDX,0,,0,
11642065,37,2008-07-15,EXIN,0,,0,
11642065,36,2008-07-17,EX.A,0,,0,
11642065,38,2008-07-18,DVER,0,,0,
11642065,39,2008-07-18,N/=.,0,,0,
11642065,41,2008-07-21,MN/=.,0,,0,
11822231,1,2007-07-03,IEXX,0,,0,
11264744,1,2005-11-01,IEXX,0,,0,
11264744,2,2005-11-24,SCAN,0,,0,
11264744,3,2005-12-07,L198,0,,0,
11264744,4,2005-12-20,L196,0,,0,
11264744,6,2005-12-22,INCD,0,,0,
11264744,7,2005-12-22,ML196,0,,0,
11264744,12,2005-12-22,W/OA,0,,0,
11264744,13,2006-02-28,FLFEE,0,,0,
11264744,17,2006-02-28,CORRDRW,0,,0,
11264744,8,2006-07-19,L197,0,,0,
11264744,9,2006-07-19,L130,0,,0,
11264744,14,2006-08-29,INCD,0,,0,
11264744,15,2006-08-29,W/OA,0,,0,
11264744,25,2006-09-29,M844,0,,0,
11264744,29,2006-09-29,WIDS,0,,0,
11264744,30,2006-09-29,IDSC,0,,0,
11264744,16,2007-04-17,ADDFLFEE,139,APPL,14,
11264744,18,2007-04-17,INCD,0,,0,
11264744,19,2007-05-08,CORRDRW,0,,0,
11264744,20,2007-05-08,OATHDECL,0,,0,
11264744,21,2007-05-08,ADDFLFEE,0,,0,
11264744,22,2007-09-27,COMP,0,,0,
11264744,23,2007-09-27,PGPC,0,,0,
11264744,24,2007-10-11,OIPE,0,,0,
11264744,26,2007-10-15,TSSCOMP,0,,0,
