application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11205802,24,2008-06-03,DOCK,0,,0,
11205802,25,2008-07-14,WIDS,0,,0,
11463940,18,2007-05-31,MCTNF,0,,0,
11463940,19,2007-07-20,A...,0,,0,
11463940,20,2007-07-23,FWDX,0,,0,
11463940,21,2007-08-20,CTFR,0,,0,
11463940,22,2007-08-21,MCTFR,0,,0,
11463940,23,2007-08-23,DOCK,0,,0,
11463940,24,2007-10-05,DOCK,0,,0,
11463940,25,2007-10-19,BRCE,0,,0,
11463940,30,2007-10-19,RCEX,0,,0,
11463940,26,2007-10-24,C.AD,0,,0,
11463940,28,2007-10-24,FWDX,0,,0,
11463940,29,2007-10-24,ABN9,0,,0,
11463940,31,2007-10-24,FWDX,0,,0,
11463940,35,2007-11-26,CTNF,0,,0,
11463940,36,2007-11-29,MCTNF,0,,0,
11463940,37,2008-02-05,A...,0,,0,
11463940,38,2008-02-18,FWDX,0,,0,
11463940,39,2008-03-10,CTFR,0,,0,
11463940,40,2008-03-17,MCTFR,0,,0,
11463940,41,2008-06-18,XT/G,0,,0,
11463940,42,2008-06-18,C602,0,,0,
11463940,43,2008-06-18,A.NE,0,,0,
11463940,44,2008-06-29,FWDX,0,,0,
11463940,45,2008-07-03,CTAV,0,,0,
11463940,46,2008-07-09,MCTAV,0,,0,
11463940,47,2008-08-15,BRCE,0,,0,
11463940,48,2008-08-15,XT/G,0,,0,
11463940,50,2008-08-15,RCEX,59,APPL,40,
11463940,49,2008-08-18,ABN9,0,,0,
11463940,51,2008-08-18,FWDX,0,,0,
11463940,53,2008-08-18,FWDX,0,,0,
11463940,54,2008-10-06,CTNF,0,,0,
11463940,55,2008-10-08,MCTNF,0,,0,
11463940,56,2009-01-05,A...,0,,0,
11463940,57,2009-01-09,FWDX,0,,0,
11463940,58,2009-01-31,CTFR,0,,0,
11463940,59,2009-02-03,MCTFR,0,,0,
11463940,60,2009-05-04,BRCE,0,,0,
11463940,62,2009-05-04,RCEX,1,APPL,59,
11463940,61,2009-05-05,ABN9,0,,0,
11463940,63,2009-05-05,FWDX,0,,0,
11463940,65,2009-05-05,FWDX,0,,0,
12311680,41,2012-05-28,TCPB,0,,0,
12311680,44,2012-07-10,IFEE,0,,0,
12311680,45,2012-07-10,N084,0,,0,
12311680,46,2012-07-13,C.AD,0,,0,
12311680,47,2012-07-13,PILS,0,,0,
12311680,49,2012-07-14,D1935,0,,0,
12311680,48,2012-07-14,D1935,0,,0,
12311680,51,2012-08-14,PTAC,0,,0,
12311680,51.5,2012-08-14,PTA36M,128,PTO,51.4,
12311680,51.4,2009-04-08,COMMN,0,,0,
11205802,28,2008-07-14,M844,0,,0,
11205802,29,2008-07-14,RCAP,0,,0,
11205802,35,2008-07-14,IDSC,0,,0,
11205802,26,2008-07-21,CTRS,0,,0,
11205802,27,2008-07-29,MCTRS,651,PTO,.5,
11205802,30,2008-09-30,XT/G,0,,0,
11205802,31,2008-09-30,ELC.,0,,0,
11205802,32,2008-10-18,FWDX,0,,0,
11205802,39,2008-10-25,CTNF,0,,0,
11205802,40,2008-10-27,MCTNF,0,,0,
11205802,41,2009-03-05,XT/G,0,,0,
11205802,42,2009-03-05,A...,37,APPL,40,
11205802,43,2009-03-19,FWDX,0,,0,
11205802,44,2009-05-28,DOCK,0,,0,
11205802,45,2009-05-28,WIDS,0,,0,
11205802,46,2009-05-28,IDSC,0,,0,
11205802,49,2009-05-28,M844,84,APPL,42,
11205802,47,2009-06-05,CTFR,0,,0,
11205802,48,2009-06-08,MCTFR,0,,0,
11205802,50,2009-08-28,A.NE,0,,0,
11205802,51,2009-09-02,FWDX,0,,0,
11205802,52,2009-10-26,CTNF,0,,0,
11205802,53,2009-10-28,MCTNF,0,,0,
11205802,54,2010-03-26,XT/G,0,,0,
11205802,55,2010-03-26,A...,57,APPL,53,
11205802,56,2010-04-20,FWDX,0,,0,
11205802,57,2010-07-02,CTFR,0,,0,
11205802,58,2010-07-08,MCTFR,0,,0,
11205802,59,2010-07-08,EML_NTF,0,,0,
11205802,60,2010-07-08,ELC_RVW,0,,0,
11205802,61,2010-10-07,BRCE,0,,0,
11205802,65,2010-10-07,RCEX,0,,0,
11205802,63,2010-10-08,FWDX,0,,0,
11205802,64,2010-10-08,ABN9,0,,0,
11205802,66,2010-12-23,WIDS,0,,0,
11205802,67,2010-12-23,M844,0,,0,
11205802,68,2010-12-23,IDSC,0,,0,
11205802,69,2011-06-20,CTNF,0,,0,
11205802,71,2011-06-23,MCTNF,136,PTO,65,
11205802,72,2011-06-23,EML_NTF,0,,0,
11205802,73,2011-06-23,ELC_RVW,0,,0,
11205802,74,2011-09-22,A...,0,,0,
11205802,75,2011-09-25,FWDX,0,,0,
12380185,15,2009-02-23,A.PE,0,,0,
12380185,1,2009-02-25,IEXX,0,,0,
12380185,2,2009-03-03,SCAN,0,,0,
12380185,3,2009-03-07,L194,0,,0,
12380185,4,2009-03-18,INCD,0,,0,
12380185,5,2009-03-18,FLRCPT.O,0,,0,
12380185,6,2009-05-21,CORRSPEC,0,,0,
12380185,7,2009-05-21,CORRDRW,0,,0,
12380185,8,2009-05-21,OATHDECL,0,,0,
12380185,9,2009-05-21,FLFEE,0,,0,
12380185,10,2009-06-10,FLRCPT.U,0,,0,
12380185,11,2009-06-10,PGPC,0,,0,
12380185,12,2009-06-10,PA..,0,,0,
12380185,13,2009-06-15,OIPE,0,,0,
12380185,14,2009-07-14,WIDS,0,,0,
12380185,16,2009-07-14,M844,0,,0,
12380185,17,2009-07-14,RCAP,0,,0,
12380185,30,2009-07-14,IDSC,0,,0,
12380185,18,2009-08-27,TSSCOMP,0,,0,
12380185,19,2009-09-17,PG-ISSUE,0,,0,
12380185,20,2010-06-09,DOCK,0,,0,
12380185,21,2010-08-16,CTRS,0,,0,
12380185,22,2010-08-19,MCTRS,118,PTO,.5,
12380185,23,2010-08-23,WIDS,0,,0,
12380185,24,2010-08-23,M844,0,,0,
12380185,25,2010-08-23,RCAP,0,,0,
12380185,31,2010-08-23,IDSC,0,,0,
12380185,26,2010-09-17,ELC.,0,,0,
12380185,27,2010-09-21,FWDX,0,,0,
12380185,32,2010-11-22,CTNF,0,,0,
11205802,76,2012-01-05,CTFR,0,,0,
11205802,78,2012-01-10,MCTFR,0,,0,
11205802,79,2012-01-10,EML_NTF,0,,0,
11205802,80,2012-01-10,ELC_RVW,0,,0,
11205802,81,2012-04-04,A.NE,0,,0,
11205802,82,2012-04-05,FWDX,0,,0,
11205802,87,2012-04-09,EX.A,0,,0,
11205802,88,2012-04-11,N/=.,0,,0,
11205802,91,2012-04-11,DVER,0,,0,
11205802,93,2012-04-13,MN/=.,0,,0,
11205802,.5,2005-08-17,EFILE,0,,0,
11205802,97,2012-05-21,M327-D,0,,0,
11205802,98,2012-05-23,MM327-D,0,,0,
11205802,99,2012-05-23,EML_NTR,0,,0,
11205802,100,2012-06-05,PUBTC,0,,0,
11205802,101,2012-06-06,TCPB,0,,0,
11205802,102,2012-06-06,M327,0,,0,
11205802,104,2012-06-06,TCPB,0,,0,
11205802,105,2012-06-07,DRWF,7,APPL,106,
11205802,108,2012-06-13,EML_NTR,0,,0,
11205802,106,2012-06-13,MM327,0,,0,
11205802,111,2012-06-20,N084,0,,0,
11205802,109,2012-06-20,IFEE,0,,0,
11205802,113,2012-06-20,LET.,56,APPL,106,
11205802,112,2012-06-21,PILS,0,,0,
11205802,114,2012-07-06,D1935,0,,0,
11205802,115,2012-07-06,D1935,0,,0,
11205802,117,2012-08-14,PTAC,0,,0,
11205802,117.5,2010-10-06,PTA36M,780,PTO,.5,
12380185,33,2010-11-26,MCTNF,0,,0,
12380185,34,2011-03-23,XT/G,0,,0,
12380185,35,2011-03-23,A...,25,APPL,33,
12380185,36,2011-03-29,FWDX,0,,0,
12380185,37,2011-05-06,CTFR,0,,0,
12380185,38,2011-05-09,MCTFR,0,,0,
12380185,39,2011-08-08,N/AP,0,,0,
12380185,40,2011-09-23,BRCE,0,,0,
12380185,41,2011-09-23,WIDS,0,,0,
12380185,43,2011-09-23,RCEX,46,,39,
12380185,46,2011-09-23,M844,0,APPL,43,
12380185,47,2011-09-23,RCAP,0,,0,
12380185,48,2011-09-23,IDSC,0,,0,
12380185,42,2011-09-29,ABN9,0,,0,
12380185,45,2011-09-29,FWDX,0,,0,
12380185,49,2011-10-11,CTNF,0,,0,
12380185,53,2011-10-24,MCTNF,0,,0,
12380185,54,2012-01-12,EXIN,0,,0,
12380185,55,2012-01-12,EXIA,0,,0,
12380185,58,2012-01-17,MEXIN,0,,0,
12380185,59,2012-01-23,A...,0,,0,
12380185,60,2012-01-25,FWDX,0,,0,
12380185,64,2012-03-20,EX.A,0,,0,
12380185,65,2012-03-20,EX.R,0,,0,
12380185,66,2012-03-22,N/=.,0,,0,
12380185,67,2012-03-22,DVER,0,,0,
12380185,72,2012-03-22,MN/=.,0,,0,
12380185,.5,2009-02-23,EFILE,0,,0,
12380185,74,2012-04-28,PUBTC,0,,0,
12380185,75,2012-05-16,CNOA,0,,0,
12380185,77,2012-05-17,MCNOA,0,,0,
12380185,78,2012-05-17,TCPB,0,,0,
