application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12860204,14,2010-09-08,M844,0,,0,
12860204,15,2010-09-08,RCAP,0,,0,
12860204,25,2010-09-08,IDSC,0,,0,
12860204,10,2010-09-21,OIPE,0,,0,
12860204,16,2011-01-30,DOCK,0,,0,
12860204,17,2011-02-24,PG-ISSUE,0,,0,
12860204,18,2011-02-25,EML_NTR,0,,0,
12860204,19,2011-10-14,DOCK,0,,0,
12860204,20,2012-03-14,DOCK,0,,0,
12860204,21,2012-03-16,DOCK,0,,0,
12860204,22,2012-03-19,DOCK,0,,0,
12860204,23,2012-05-04,DOCK,0,,0,
12860204,29,2012-06-29,CTNF,0,,0,
12860204,31,2012-07-06,MCTNF,260,PTO,.5,
12860204,32,2012-07-06,EML_NTF,0,,0,
12860204,33,2012-07-06,ELC_RVW,0,,0,
12860204,34,2012-09-24,A...,0,,0,
12860204,35,2012-10-06,FWDX,0,,0,
12860204,37,2012-10-29,CTFR,0,,0,
12860204,39,2012-11-06,MCTFR,0,,0,
12860204,40,2012-11-06,EML_NTF,0,,0,
12860204,41,2012-11-06,ELC_RVW,0,,0,
12860204,42,2012-12-18,A.NE,0,,0,
12860204,43,2013-01-02,FWDX,0,,0,
12711814,42,2012-12-18,RCAP,0,,0,
12711814,48,2012-12-18,IDSC,0,,0,
12711814,39,2013-01-16,WIDS,0,,0,
12711814,43,2013-01-16,M844,0,,0,
12711814,44,2013-01-16,RCAP,0,,0,
12711814,47,2013-01-16,IDSC,0,,0,
12711814,45,2013-02-11,A...,0,,0,
12711814,46,2013-02-14,FWDX,0,,0,
12711814,52,2013-03-11,EX.R,0,,0,
12711814,53,2013-03-11,N/=.,0,,0,
12711814,54,2013-03-11,DVER,0,,0,
12711814,58,2013-03-14,MN/=.,0,,0,
12711814,.5,2010-02-24,EFILE,0,,0,
12711814,65,2013-04-01,IDSC,0,,0,
