application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13474258,40,2013-04-18,N/=.,0,,0,
13474258,41,2013-04-18,DVER,0,,0,
13474258,49,2013-04-19,EX.A,0,,0,
13474258,50,2013-04-23,MN/=.,0,,0,
13474258,.5,2012-05-17,EFILE,0,,0,
13474258,54,2013-04-25,ELC_RVW,0,,0,
13474258,56,2013-06-13,PUBTC,0,,0,
13474258,58,2013-06-14,EX.A,0,,0,
13474258,57,2013-06-14,CNOA,0,,0,
13474258,63,2013-06-19,EML_NTR,0,,0,
13474258,62,2013-06-19,TCPB,0,,0,
13474258,61,2013-06-19,MCNOA,0,,0,
13474258,64,2013-06-25,IFEE,0,,0,
13474258,65,2013-06-25,N084,0,,0,
13474258,66,2013-06-27,PILS,0,,0,
13474258,67,2013-07-08,D1935,0,,0,
13474258,70,2013-08-06,PTAC,0,,0,
13474258,70.5,2013-08-06,PTA36M,0,PTO,.5,
13132964,7,2011-07-29,OATHDECL,0,,0,
13132964,11,2011-07-29,371COMP,0,,0,
13132964,10,2011-08-16,PGPC,0,,0,
13132964,8,2011-08-17,M903,0,,0,
13132964,9,2011-08-17,FLRCPT.O,0,,0,
13132964,12,2011-08-17,EML_NTR,0,,0,
13132964,13,2011-08-17,EML_NTR,0,,0,
13132964,14,2011-09-07,OIPE,0,,0,
13132964,18,2011-10-05,DOCK,0,,0,
13132964,19,2011-11-25,PG-ISSUE,0,,0,
13494243,37,2013-07-09,PILS,0,,0,
13494243,38,2013-07-09,D1935,0,,0,
13494243,40,2013-08-06,PTAC,0,,0,
13494243,40.5,2013-08-06,PTA36M,0,PTO,.5,
12948783,19,2011-06-01,IDSC,0,,0,
12948783,14,2011-08-24,DOCK,0,,0,
12948783,15,2011-11-17,PG-ISSUE,0,,0,
12948783,16,2011-11-18,EML_NTR,0,,0,
12948783,17,2012-01-20,DOCK,0,,0,
12948783,22,2012-06-13,CTNF,0,,0,
12948783,24,2012-06-18,MCTNF,152,PTO,.5,
12948783,25,2012-06-18,EML_NTF,0,,0,
12948783,26,2012-06-19,ELC_RVW,0,,0,
12948783,27,2012-08-22,A...,0,,0,
12948783,28,2012-08-22,FWDX,0,,0,
12948783,29,2012-09-17,CTFR,0,,0,
12948783,31,2012-09-24,MCTFR,0,,0,
12948783,32,2012-09-24,EML_NTF,0,,0,
12948783,33,2012-09-25,ELC_RVW,0,,0,
12948783,34,2012-12-19,BRCE,0,,0,
12948783,36,2012-12-19,RCEX,0,,0,
12948783,35,2013-01-09,ABN9,0,,0,
12948783,38,2013-01-09,FWDX,0,,0,
12948783,39,2013-02-04,CTNF,0,,0,
12948783,41,2013-02-08,MCTNF,0,,0,
12948783,42,2013-02-08,EML_NTF,0,,0,
12948783,43,2013-02-14,ELC_RVW,0,,0,
12948783,44,2013-04-23,EXAT,0,,0,
12948783,45,2013-04-23,EXIA,0,,0,
12948783,48,2013-05-01,MEXAT,0,,0,
12948783,49,2013-05-01,A...,0,,0,
12948783,50,2013-05-01,FWDX,0,,0,
12948783,54,2013-05-03,EX.R,0,,0,
12948783,55,2013-05-08,DVER,0,,0,
12948783,56,2013-05-08,DOCK,0,,0,
12948783,57,2013-05-13,DVER,0,,0,
12948783,58,2013-05-13,N/=.,0,,0,
12948783,62,2013-05-15,MN/=.,0,,0,
12948783,.5,2010-11-18,EFILE,0,,0,
12948783,67,2013-05-31,N084,0,,0,
12298723,7,2009-02-02,OATHDECL,0,,0,
12298723,8,2009-02-02,ADDFLFEE,0,,0,
12298723,12,2009-02-02,371COMP,0,,0,
12298723,19,2009-02-02,C602,0,,0,
12298723,9,2009-05-11,M903,0,,0,
12298723,10,2009-05-11,FLRCPT.O,0,,0,
12298723,11,2009-05-11,PGPC,0,,0,
12298723,13,2009-06-02,OIPE,0,,0,
12298723,14,2009-08-20,PG-ISSUE,0,,0,
12298723,20,2010-02-08,DOCK,0,,0,
12298723,21,2010-03-23,DOCK,0,,0,
12298723,22,2010-05-24,CTRS,0,,0,
12298723,23,2010-05-26,MCTRS,54,PTO,12,
12298723,24,2010-06-14,ELC.,0,,0,
12298723,25,2010-06-15,FWDX,0,,0,
12298723,28,2010-07-06,CTNF,0,,0,
12298723,29,2010-07-08,MCTNF,0,,0,
12298723,30,2010-10-14,XT/G,0,,0,
12298723,31,2010-10-14,A...,6,APPL,29,
12298723,32,2010-10-18,FWDX,0,,0,
12298723,33,2010-12-20,CTFR,0,,0,
12298723,34,2010-12-27,MCTFR,0,,0,
12298723,35,2011-03-28,A.NE,0,,0,
12298723,36,2011-03-30,FWDX,0,,0,
12298723,38,2011-04-01,EIDS.,0,,0,
12298723,39,2011-04-01,RCAP,0,,0,
12298723,41,2011-04-01,WIDS,0,,0,
12298723,50,2011-04-01,IDSC,0,,0,
12298723,42,2011-04-06,CTAV,0,,0,
12298723,43,2011-04-07,MCTAV,0,,0,
12298723,44,2011-04-27,BRCE,0,,0,
12298723,45,2011-04-27,XT/G,0,,0,
12298723,47,2011-04-27,RCEX,31,APPL,34,
12298723,46,2011-04-28,ABN9,0,,0,
12298723,49,2011-04-28,FWDX,0,,0,
12298723,51,2012-04-16,CTNF,0,,0,
13132964,20,2011-11-25,EML_NTR,0,,0,
13132964,21,2012-07-26,C.AD,0,,0,
13132964,22,2012-07-27,PA..,0,,0,
