application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09742165,29,2005-08-26,EXIN,0,,0,
09742165,30,2005-08-30,MEXIN,0,,0,
09742165,31,2005-09-14,BRCE,0,,0,
09742165,32,2005-09-14,LET.,0,,0,
09742165,33,2005-09-14,XT/G,0,,0,
09742165,35,2005-09-14,RCEX,95,APPL,22,
09742165,34,2005-09-21,ABN9,0,,0,
09742165,36,2005-09-21,FWDX,0,,0,
09742165,37,2005-10-31,CTNF,0,,0,
09742165,38,2005-11-04,MCTNF,0,,0,
09742165,39,2006-03-23,DOCK,0,,0,
11476023,1,2006-06-28,IEXX,0,,0,
11476023,9,2006-06-28,WIDS,0,,0,
09742165,40,2006-05-04,DOCK,0,,0,
09742165,41,2006-05-04,XT/G,0,,0,
09742165,42,2006-05-04,A...,89,APPL,38,
09742165,43,2006-05-22,FWDX,0,,0,
09742165,44,2006-07-24,CTFR,0,,0,
09742165,45,2006-07-26,MCTFR,0,,0,
09742165,46,2006-09-18,A.NE,0,,0,
09742165,47,2006-09-19,FWDX,0,,0,
09742165,48,2006-10-02,CTAV,0,,0,
09742165,49,2006-10-06,MCTAV,0,,0,
09742165,50,2006-10-25,N/AP,0,,0,
09742165,51,2006-12-14,AP.B,0,,0,
09742165,52,2007-01-12,FWDX,0,,0,
09742165,53,2007-01-12,APBR,0,,0,
09742165,54,2007-03-19,CTFR,0,,0,
09742165,55,2007-03-22,MCTFR,0,,0,
09742165,58,2007-07-23,XT/G,0,,0,
09742165,59,2007-07-23,A.NE,0,,0,
09742165,60,2007-08-02,FWDX,0,,0,
09742165,61,2007-08-20,CTAV,0,,0,
09742165,62,2007-08-21,MCTAV,0,,0,
09742165,64,2007-08-23,C.AD,0,,0,
09742165,63,2007-08-24,PA..,0,,0,
09742165,65,2007-08-28,XT/G,0,,0,
09742165,66,2007-08-28,N/AP,67,APPL,55,
09742165,67,2007-09-18,AP.B,0,,0,
09742165,68,2007-10-09,FWDX,0,,0,
09742165,69,2007-10-09,APBR,0,,0,
09742165,74,2007-12-05,EXIN,0,,0,
09742165,75,2008-01-09,EX.A,0,,0,
09742165,76,2008-01-09,DVER,0,,0,
09742165,78,2008-01-09,N/=.,0,,0,
09742165,79,2008-01-10,MEX.A,0,,0,
09742165,80,2008-01-10,MN/=.,0,,0,
11490050,25,2008-01-10,MN/=.,111,PTO,-1,
11476023,9.7,2006-06-28,M844,0,,0,
11476023,10,2006-06-28,RCAP,0,,0,
11476023,11,2006-06-28,RQPR,0,,0,
11476023,32,2006-06-28,IDSC,0,,0,
11476023,2,2006-07-11,SCAN,0,,0,
11476023,3,2006-07-15,L194,0,,0,
11476023,5,2006-08-03,OATHDECL,0,,0,
11476023,6,2006-08-03,ADDFLFEE,0,,0,
11476023,7,2006-08-21,COMP,0,,0,
11476023,8,2006-08-21,OIPE,0,,0,
11476023,12,2006-08-30,TSSCOMP,0,,0,
11476023,13,2007-01-25,PG-ISSUE,0,,0,
11476023,15,2007-02-15,WIDS,0,,0,
11476023,15.7,2007-02-15,M844,0,,0,
11476023,31,2007-02-15,IDSC,0,,0,
11476023,14,2007-02-18,DOCK,0,,0,
