application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11313905,59,2010-05-25,PET1,0,,0,
11313905,60,2010-05-27,P034,0,,0,
11313905,55.5,2009-02-11,PTA36M,53,PTO,0,
10717102,34,2008-02-04,CTRS,0,,0,
10717102,35,2008-02-05,MCTRS,0,,0,
10717102,36,2008-02-28,ELC.,0,,0,
10717102,37,2008-03-09,FWDX,0,,0,
10717102,38,2008-05-12,CTNF,0,,0,
10717102,39,2008-05-14,MCTNF,0,,0,
10717102,40,2008-08-19,XT/G,0,,0,
10717102,41,2008-08-19,A...,5,APPL,39,
10717102,41.1,2008-08-19,A.I.,0,,0,
10717102,43,2008-08-19,AF/D,0,,0,
10717102,42,2008-08-27,FWDX,0,,0,
10717102,44,2008-08-28,NINA,0,,0,
10717102,46,2008-09-08,A...,20,APPL,41,
10717102,45,2008-10-06,DOCK,0,,0,
10717102,47,2008-10-20,FWDX,0,,0,
10717102,48,2008-11-13,C.ADB,0,,0,
10717102,49,2008-12-21,CTNF,0,,0,
10717102,50,2008-12-23,MCTNF,0,,0,
10717102,51,2009-02-12,A...,0,,0,
10717102,52,2009-03-18,FWDX,0,,0,
10717102,53,2009-05-26,CTNF,0,,0,
10717102,54,2009-05-27,MCTNF,0,,0,
10717102,55,2009-08-11,A...,0,,0,
10717102,56,2009-09-13,FWDX,0,,0,
10717102,57,2009-10-08,DOCK,0,,0,
10717102,59,2009-11-24,DVER,0,,0,
10717102,60,2009-11-24,N/=.,0,,0,
10717102,62,2009-12-09,EX.A,0,,0,
10717102,64,2009-12-14,MN/=.,0,PTO,55,
10717102,66,2009-12-23,IFEE,0,,0,
10717102,68,2009-12-23,N084,0,,0,
10717102,69,2010-01-05,PILS,0,,0,
10717102,70,2010-01-05,D1935,0,,0,
10717102,74,2010-01-27,WPIR,0,,0,
10717102,75,2010-02-05,WIDS,0,,0,
10717102,77,2010-02-05,EIDS.,12,APPL,0,
10717102,76,2010-02-16,PGM/,0,,0,
10717102,73,2010-02-16,PTAC,0,,0,
10717102,78,2010-05-25,PET1,0,,0,
11618500,71,2009-11-06,RU47,0,,0,
11618500,63,2009-11-06,C600,20,APPL,67,
11618500,66,2009-11-21,M327,0,,0,
11618500,67,2009-11-25,MM327,0,,0,
11618500,68,2009-11-25,EML_NTR,0,,0,
11618500,69,2009-11-27,FLRCPT.C,0,,0,
11618500,70,2009-11-27,EML_NTR,0,,0,
11618500,73,2009-12-28,IFEE,0,,0,
11618500,74,2009-12-28,N084,0,,0,
11618500,75,2010-01-06,PILS,0,,0,
11618500,76,2010-01-07,D1935,0,,0,
11618500,79,2010-02-03,WPIR,0,,0,
11618500,80,2010-02-04,EML_NTR,0,,0,
11618500,82,2010-02-12,LET.,12,APPL,67,
11618500,81,2010-02-23,PGM/,0,,0,
11618500,78,2010-02-23,PTAC,0,,0,
11618500,83,2010-05-24,PET1,0,,0,
11618500,84,2010-05-27,P034,0,,0,
11618500,78.5,2009-08-13,PTA36M,0,PTO,0,
11562350,58,2009-09-23,TCPB,0,,0,
11562350,61,2009-10-09,IFEE,0,,0,
11562350,62,2009-10-09,N084,0,,0,
11562350,63,2009-10-16,PILS,0,,0,
11562350,64,2009-10-16,D1935,0,,0,
11562350,67,2009-11-04,WPIR,0,,0,
11562350,66,2009-11-24,PTAC,0,,0,
11562350,68,2009-11-24,PGM/,0,,0,
11562350,69,2010-05-24,PET1,0,,0,
11562350,70,2010-05-27,P034,0,,0,
11562350,66.5,2009-06-30,PTA36M,0,PTO,0,
12248544,19,2009-09-09,A...,0,,0,
12248544,21,2009-09-09,M844,0,APPL,19,
12248544,22,2009-09-09,RCAP,0,,0,
12248544,23,2009-09-09,IDSC,0,,0,
12248544,20,2009-10-04,FWDX,0,,0,
12248544,30,2009-10-16,DVER,0,,0,
12248544,31,2009-10-19,DOCK,0,,0,
12248544,32,2009-10-19,N/=.,0,,0,
12248544,34,2009-10-20,MN/=.,0,,0,
12248544,37,2010-01-07,IFEE,0,,0,
12248544,38,2010-01-07,N084,0,,0,
12248544,39,2010-01-13,PILS,0,,0,
12248544,40,2010-01-14,D1935,0,,0,
12248544,43,2010-02-03,WPIR,0,,0,
12248544,44,2010-02-23,PGM/,0,,0,
12248544,42,2010-02-23,PTAC,0,,0,
12248544,45,2010-05-25,PET1,0,,0,
12248544,46,2010-05-27,P034,0,,0,
12248544,42.5,2010-02-23,PTA36M,0,PTO,0,
10717102,79,2010-05-27,P034,0,,0,
10717102,73.5,2010-02-16,PTA36M,1185,PTO,0,
10717102,30,2007-08-08,MCTNF,262,,-1,
10717102,64,2009-12-14,MN/=.,3,,55,
10812075,1,2004-03-30,IEXX,0,,0,
10812075,2,2004-04-06,SCAN,0,,0,
10812075,4,2004-04-23,L194,0,,0,
10812075,6,2004-06-10,INCD,0,,0,
10812075,7,2004-08-09,OATHDECL,0,,0,
10812075,8,2004-08-09,ADDFLFEE,0,,0,
10812075,9,2004-09-02,COMP,0,,0,
10812075,10,2004-09-02,OIPE,0,,0,
10812075,11,2004-09-02,ROIPE,0,,0,
10812075,12,2004-09-02,W/OA,0,,0,
10812075,13,2004-09-02,COMP,0,,0,
10812075,14,2004-09-02,WROIPE,0,,0,
10812075,15,2004-09-02,ROIPE,0,,0,
10812075,16,2004-09-02,WROIPE,0,,0,
10812075,17,2004-09-17,DOCK,0,,0,
10812075,18,2004-09-17,TSSCOMP,0,,0,
10812075,20,2006-07-10,C.ADB,0,,0,
10812075,21,2006-09-18,CTRS,0,,0,
10812075,22,2006-09-22,MCTRS,480,PTO,-1,
11419455,1,2006-05-19,IEXX,0,,0,
11419455,2,2006-05-19,SCAN,0,,0,
11419455,3,2006-05-25,L194,0,,0,
11419455,4,2006-07-12,COMP,0,,0,
